Date,Open,High,Low,Close,Volume
1998-09-21,100.56,106.19,100.56,106.19,0
1998-09-28,107.42,107.75,107.15,107.15,0
1998-10-05,107.35,110.09,107.35,110.09,0
1998-10-12,110.95,111.05,109.85,111.05,0
1998-10-19,111.77,112.73,110.35,112.73,0
1998-10-26,111.62,111.62,111.01,111.01,0
1998-11-02,111.0,111.0,104.9,104.9,0
1998-11-09,103.74,103.74,99.35,99.35,0
1998-11-16,98.31,98.31,94.44,96.14,0
1998-11-23,95.4,96.85,95.4,96.85,0
1998-11-30,97.06,97.8,97.06,97.8,0
1998-12-07,97.81,97.81,97.46,97.46,0
1998-12-14,98.3,98.3,97.56,97.73,0
1998-12-21,97.66,97.66,97.47,97.66,0
1998-12-28,97.18,97.77,97.18,97.77,0
1999-01-04,98.05,98.05,98.04,98.04,0
1999-01-11,97.87,97.91,97.36,97.36,0
1999-01-18,97.38,97.38,96.84,96.84,0
1999-01-25,96.68,96.92,96.68,96.73,0
1999-02-01,96.54,96.75,96.54,96.61,0
1999-02-08,95.33,95.33,94.77,94.77,0
1999-02-15,94.84,94.84,94.26,94.26,0
1999-02-22,93.93,93.93,92.83,92.83,0
1999-03-01,93.46,93.93,93.46,93.93,0
1999-03-08,94.0,94.0,93.77,93.77,0
1999-03-15,94.49,94.49,94.41,94.41,0
1999-03-22,94.44,94.44,94.24,94.24,0
1999-03-29,94.44,95.65,94.44,95.65,0
1999-04-12,95.23,99.4,95.23,99.4,0
1999-04-19,98.93,100.9,98.78,100.9,0
1999-04-26,98.2,98.2,96.56,96.56,0
1999-05-03,95.71,95.71,92.77,92.77,0
1999-05-10,94.54,95.66,94.54,95.66,0
1999-05-17,96.13,96.61,96.13,96.28,0
1999-05-24,96.52,96.52,96.21,96.21,0
1999-05-31,95.93,96.22,95.93,96.02,0
1999-06-07,96.06,96.4,96.06,96.4,0
1999-06-14,96.62,97.4,96.49,97.4,0
1999-06-21,97.86,98.58,97.86,98.58,0
1999-06-28,98.09,98.1,98.05,98.05,0
1999-07-05,97.78,97.78,95.7,95.7,0
1999-07-12,93.8,93.8,92.7,93.36,0
1999-07-19,91.59,91.59,90.05,90.08,0
1999-07-26,89.44,90.24,89.44,90.24,0
1999-08-02,89.97,89.97,89.53,89.81,0
1999-08-09,90.3,90.3,89.9,89.9,0
1999-08-16,89.14,89.14,88.97,88.97,0
1999-08-23,88.63,88.63,88.29,88.29,0
1999-08-30,87.83,87.83,87.32,87.35,0
1999-09-06,87.44,87.85,87.44,87.85,0
1999-09-13,87.7,87.7,87.4,87.4,0
1999-09-20,87.06,87.06,86.99,86.99,0
1999-09-27,87.26,87.26,87.14,87.14,0
1999-10-04,87.13,87.13,86.02,86.02,0
1999-10-11,87.5,87.5,87.15,87.32,0
1999-10-18,87.96,88.03,87.9,88.03,0
1999-10-25,88.08,88.25,87.77,87.77,0
1999-11-01,87.64,87.68,87.64,87.68,0
1999-11-08,87.36,87.53,87.27,87.53,0
1999-11-15,87.86,87.86,87.68,87.68,0
1999-11-22,86.87,87.47,86.87,87.47,0
1999-11-29,87.77,87.77,87.7,87.7,0
1999-12-06,87.64,87.64,87.23,87.55,0
1999-12-13,87.96,87.96,87.76,87.76,0
1999-12-20,87.7,88.37,87.7,88.37,0
1999-12-27,88.72,89.0,88.72,89.0,0
2000-01-03,89.8,91.34,89.8,91.34,0
2000-01-10,91.28,91.28,90.2,90.2,0
2000-01-17,89.26,89.26,88.31,88.31,0
2000-01-24,88.42,88.42,87.8,87.8,0
2000-01-31,86.85,86.85,86.25,86.25,0
2000-02-07,85.61,85.66,85.48,85.48,0
2000-02-14,85.41,85.41,85.37,85.37,0
2000-02-21,85.47,85.47,85.25,85.25,0
2000-02-28,85.26,85.26,84.83,84.83,0
2000-03-06,84.88,84.99,84.66,84.66,0
2000-03-13,84.63,84.63,83.7,83.7,0
2000-03-20,83.68,83.68,83.68,83.68,0
2000-03-27,84.09,84.09,83.71,83.71,0
2000-04-03,83.16,83.55,83.16,83.55,0
2000-04-10,83.5,83.5,83.43,83.43,0
2000-04-17,83.24,83.24,82.84,82.84,0
2000-04-24,82.84,82.84,82.83,82.83,0
2000-05-01,82.74,82.74,82.74,82.74,0
2000-05-08,82.75,83.09,82.75,83.09,0
2000-05-15,83.27,83.27,83.24,83.24,0
2000-05-22,83.04,83.04,82.81,82.85,0
2000-05-29,82.79,82.79,82.2,82.2,0
2000-06-05,82.19,82.66,82.19,82.66,0
2000-06-12,82.15,82.71,82.15,82.71,0
2000-06-19,82.7,82.71,82.7,82.71,0
2000-06-26,82.7,82.72,82.26,82.26,0
2000-07-03,82.15,82.16,81.95,81.95,0
2000-07-10,81.56,81.56,81.29,81.29,0
2000-07-17,81.44,81.49,81.44,81.45,0
2000-07-24,81.07,81.07,80.1,80.1,0
2000-07-31,79.4,80.0,79.4,80.0,0
2000-08-07,78.97,78.97,78.29,78.29,0
2000-08-14,77.05,77.05,76.16,76.16,0
2000-08-21,75.01,75.01,74.93,74.93,0
2000-08-28,74.99,75.59,74.99,75.59,0
2000-09-04,75.4,75.4,75.34,75.37,0
2000-09-11,75.37,75.37,75.19,75.21,0
2000-09-18,75.23,75.23,75.19,75.19,0
2000-09-25,72.99,74.73,72.99,74.54,0
2000-10-02,73.53,73.53,73.3,73.38,0
2000-10-09,73.14,73.8,73.14,73.8,0
2000-10-16,73.35,73.35,72.93,72.93,0
2000-10-23,72.7,73.12,72.7,73.12,0
2000-10-30,73.76,74.66,73.68,73.68,0
2000-11-06,73.66,73.66,73.18,73.66,0
2000-11-13,73.63,73.63,73.21,73.62,0
2000-11-20,73.05,73.44,72.99,72.99,0
2000-11-27,72.98,73.47,72.98,73.19,0
2000-12-04,73.92,73.92,73.51,73.51,0
2000-12-11,73.36,74.48,73.36,74.48,0
2000-12-18,74.48,74.99,74.16,74.16,0
2000-12-25,74.43,74.55,74.43,74.55,0
2001-01-01,74.81,74.81,74.54,74.76,0
2001-01-08,74.88,74.88,74.24,74.24,0
2001-01-15,74.33,74.69,74.33,74.69,0
2001-01-22,74.21,74.21,73.86,73.86,0
2001-01-29,73.66,73.66,73.02,73.02,0
2001-02-05,73.01,73.04,73.01,73.04,0
2001-02-12,73.03,73.03,71.97,71.97,0
2001-02-19,71.79,71.79,71.79,71.79,0
2001-02-26,71.97,71.97,71.64,71.64,0
2001-03-05,71.66,71.66,71.65,71.65,0
2001-03-12,71.53,71.77,71.53,71.77,0
2001-03-19,71.95,71.95,71.29,71.3,0
2001-03-26,71.31,71.4,71.31,71.39,0
2001-04-02,71.52,71.95,71.52,71.95,0
2001-04-09,71.86,71.86,71.61,71.61,0
2001-04-16,71.57,71.57,71.55,71.55,0
2001-04-23,71.57,71.88,71.57,71.88,0
2001-04-30,71.23,71.38,71.23,71.38,0
2001-05-07,71.4,71.4,71.28,71.28,0
2001-05-14,71.58,71.77,71.58,71.77,0
2001-05-21,71.99,73.23,71.99,73.23,0
2001-05-28,74.04,77.56,74.04,77.56,0
2001-06-04,77.88,77.88,77.8,77.8,0
2001-06-11,77.8,78.51,77.8,78.07,0
2001-06-18,77.75,77.75,76.37,76.37,0
2001-06-25,75.53,75.53,74.11,74.11,0
2001-07-02,73.8,75.16,73.8,75.16,0
2001-07-09,74.95,74.97,74.86,74.97,0
2001-07-16,73.95,73.95,71.84,71.84,0
2001-07-23,71.76,71.76,69.9,69.9,0
2001-07-30,69.79,69.79,69.63,69.63,0
2001-08-06,69.34,69.49,69.34,69.49,0
2001-08-13,69.49,69.49,69.38,69.38,0
2001-08-20,68.52,68.57,68.52,68.57,0
2001-08-27,68.52,68.71,68.52,68.71,0
2001-09-03,68.62,70.46,68.62,70.46,0
2001-09-10,69.28,69.28,68.36,68.36,0
2001-09-17,68.34,69.02,68.34,69.02,0
2001-09-24,69.3,69.3,68.83,68.9,0
2001-10-01,68.62,68.65,68.41,68.41,0
2001-10-08,68.43,68.43,68.26,68.26,0
2001-10-15,68.2,68.2,68.17,68.17,0
2001-10-22,67.8,67.99,67.73,67.99,0
2001-10-29,68.09,68.23,68.09,68.23,0
2001-11-05,68.03,68.11,68.03,68.11,0
2001-11-12,67.93,67.93,67.75,67.75,0
2001-11-19,67.69,67.84,67.62,67.84,0
2001-11-26,67.89,67.89,67.51,67.51,0
2001-12-03,67.51,67.54,67.46,67.46,0
2001-12-10,67.48,67.48,67.33,67.33,0
2001-12-17,67.33,67.72,67.31,67.72,0
2001-12-24,68.06,71.37,68.06,71.37,0
2001-12-31,73.02,77.46,73.02,77.46,0
2002-01-07,77.39,77.39,77.25,77.3,0
2002-01-14,77.2,77.2,76.2,76.2,0
2002-01-21,76.2,76.71,74.99,74.99,0
2002-01-28,74.93,74.93,74.39,74.39,0
2002-02-04,73.57,73.59,72.98,72.98,0
2002-02-11,72.94,74.04,72.94,74.04,0
2002-02-18,72.6,72.6,72.32,72.32,0
2002-02-25,72.45,72.62,72.28,72.35,0
2002-03-04,72.32,72.32,71.39,71.39,0
2002-03-11,71.31,71.31,70.75,71.04,0
2002-03-18,70.99,70.99,69.71,70.16,0
2002-03-25,70.38,71.23,70.38,70.38,0
2002-04-01,70.31,70.44,70.11,70.11,0
2002-04-08,70.34,70.39,69.94,69.94,0
2002-04-15,70.0,70.91,69.8,69.8,0
2002-04-22,69.79,70.29,69.76,70.29,0
2002-04-29,70.23,70.25,69.73,69.73,0
2002-05-06,70.09,70.21,69.58,69.58,0
2002-05-13,69.7,70.09,69.7,69.99,0
2002-05-20,70.26,70.74,70.26,70.63,0
2002-05-27,70.62,71.56,70.62,71.31,0
2002-06-03,71.78,72.09,71.37,71.37,0
