Date,Open,High,Low,Close,Volume
1998-12-31,100.56,112.73,94.44,98.05,0
1999-12-31,98.04,100.9,86.02,91.34,0
2000-12-31,91.28,91.28,72.7,74.76,0
2001-12-31,74.88,78.51,67.31,77.46,0
2002-12-31,77.39,77.39,66.28,74.34,0
2003-12-31,74.33,76.53,64.93,76.53,0
2004-12-31,76.97,87.61,73.42,87.61,0
2005-12-31,87.61,112.68,83.68,112.68,0
2006-12-31,112.68,178.01,112.65,112.65,0
2007-12-31,112.7,200.67,110.89,199.45,0
2008-12-31,199.22,246.73,173.79,178.17,0
2009-12-31,175.65,176.27,125.85,132.05,0
2010-12-31,134.38,159.89,129.93,159.1,0
2011-12-31,159.32,174.89,134.37,138.88,0
2012-12-31,139.76,166.58,139.37,166.58,0
2013-12-31,164.98,232.02,164.98,232.02,0
2014-12-31,230.89,258.54,219.81,258.08,0
2015-12-31,256.5,308.52,248.29,303.93,0
2016-12-31,302.43,320.3,267.98,292.17,0
2017-12-31,278.36,290.44,219.65,243.06,0
2018-12-31,238.19,244.77,164.02,172.24,0
2019-12-31,171.73,179.15,139.04,159.24,0
2020-12-31,157.49,157.49,122.19,145.37,0
2021-12-31,141.57,202.28,130.87,202.28,0
2022-12-31,202.08,220.98,190.23,203.22,0
2023-12-31,206.34,216.07,194.89,214.15,0
2024-12-31,212.77,276.02,207.16,276.02,0
2025-12-31,276.13,354.14,270.09,345.75,0
2026-12-31,344.48,519.59,339.85,519.59,0
