Date,Open,High,Low,Close,Volume
1999-06-16,100.4,100.4,100.4,100.4,
1999-06-18,100.04,100.04,100.04,100.04,
1999-06-21,100.04,100.04,100.04,100.04,
1999-06-23,98.67,98.67,98.67,98.67,
1999-06-25,97.03,97.03,97.03,97.03,
1999-06-28,97.03,97.03,97.03,97.03,
1999-06-30,95.69,95.69,95.69,95.69,
1999-07-02,95.69,95.69,95.69,95.69,
1999-07-05,95.69,95.69,95.69,95.69,
1999-07-07,95.7,95.7,95.7,95.7,
1999-07-09,96.23,96.23,96.23,96.23,
1999-07-12,95.86,95.86,95.86,95.86,
1999-07-14,93.66,93.66,93.66,93.66,
1999-07-16,91.14,91.14,91.14,91.14,
1999-07-19,91.13,91.13,91.13,91.13,
1999-07-21,91.13,91.13,91.13,91.13,
1999-07-23,90.49,90.49,90.49,90.49,
1999-07-26,90.51,90.51,90.51,90.51,
1999-07-28,90.49,90.49,90.49,90.49,
1999-07-30,89.69,89.69,89.69,89.69,
1999-08-02,87.91,87.91,87.91,87.91,
1999-08-04,87.49,87.49,87.49,87.49,
1999-08-06,87.49,87.49,87.49,87.49,
1999-08-09,87.49,87.49,87.49,87.49,
1999-08-11,87.49,87.49,87.49,87.49,
1999-08-13,86.92,86.92,86.92,86.92,
1999-08-16,86.6,86.6,86.6,86.6,
1999-08-18,86.59,86.59,86.59,86.59,
1999-08-20,86.6,86.6,86.6,86.6,
1999-08-23,86.6,86.6,86.6,86.6,
1999-08-25,88.6,88.6,88.6,88.6,
1999-08-27,88.6,88.6,88.6,88.6,
1999-08-30,86.28,86.28,86.28,86.28,
1999-09-01,86.52,86.52,86.52,86.52,
1999-09-03,86.46,86.46,86.46,86.46,
1999-09-06,85.75,85.75,85.75,85.75,
1999-09-08,85.73,85.73,85.73,85.73,
1999-09-10,85.67,85.67,85.67,85.67,
1999-09-13,84.57,84.57,84.57,84.57,
1999-09-15,84.95,84.95,84.95,84.95,
1999-09-17,85.01,85.01,85.01,85.01,
1999-09-20,85.01,85.01,85.01,85.01,
1999-09-22,85.01,85.01,85.01,85.01,
1999-09-24,85.01,85.01,85.01,85.01,
1999-09-27,84.25,84.25,84.25,84.25,
1999-09-29,84.17,84.17,84.17,84.17,
1999-10-01,84.15,84.15,84.15,84.15,
1999-10-06,84.15,84.15,84.15,84.15,
1999-10-08,84.15,84.15,84.15,84.15,
1999-10-11,84.11,84.11,84.11,84.11,
1999-10-13,84.95,84.95,84.95,84.95,
1999-10-15,84.88,84.88,84.88,84.88,
1999-10-18,84.88,84.88,84.88,84.88,
1999-10-20,85.28,85.28,85.28,85.28,
1999-10-22,85.32,85.32,85.32,85.32,
1999-10-25,86.39,86.39,86.39,86.39,
1999-10-27,86.46,86.46,86.46,86.46,
1999-10-29,86.43,86.43,86.43,86.43,
1999-11-03,85.69,85.69,85.69,85.69,
1999-11-05,85.59,85.59,85.59,85.59,
1999-11-08,85.79,85.79,85.79,85.79,
1999-11-10,85.79,85.79,85.79,85.79,
1999-11-12,85.65,85.65,85.65,85.65,
1999-11-17,85.86,85.86,85.86,85.86,
1999-11-19,85.61,85.61,85.61,85.61,
1999-11-22,85.62,85.62,85.62,85.62,
1999-11-24,85.46,85.46,85.46,85.46,
1999-11-26,85.74,85.74,85.74,85.74,
1999-11-29,85.74,85.74,85.74,85.74,
1999-12-01,85.78,85.78,85.78,85.78,
1999-12-03,86.1,86.1,86.1,86.1,
1999-12-06,85.94,85.94,85.94,85.94,
1999-12-08,86.32,86.32,86.32,86.32,
1999-12-10,86.33,86.33,86.33,86.33,
1999-12-13,86.82,86.82,86.82,86.82,
1999-12-15,86.82,86.82,86.82,86.82,
1999-12-17,85.45,85.45,85.45,85.45,
1999-12-20,85.45,85.45,85.45,85.45,
1999-12-22,85.84,85.84,85.84,85.84,
1999-12-27,85.8,85.8,85.8,85.8,
1999-12-29,85.8,85.8,85.8,85.8,
1999-12-31,85.8,85.8,85.8,85.8,
2000-01-05,85.82,85.82,85.82,85.82,
2000-01-07,87.1,87.1,87.1,87.1,
2000-01-10,87.27,87.27,87.27,87.27,
2000-01-12,86.95,86.95,86.95,86.95,
2000-01-14,86.95,86.95,86.95,86.95,
2000-01-17,86.95,86.95,86.95,86.95,
2000-01-19,86.95,86.95,86.95,86.95,
2000-01-21,86.95,86.95,86.95,86.95,
2000-01-24,86.95,86.95,86.95,86.95,
2000-01-26,86.97,86.97,86.97,86.97,
2000-01-28,86.97,86.97,86.97,86.97,
2000-01-31,86.97,86.97,86.97,86.97,
2000-02-02,86.97,86.97,86.97,86.97,
2000-02-04,86.97,86.97,86.97,86.97,
2000-02-07,86.97,86.97,86.97,86.97,
2000-02-09,86.95,86.95,86.95,86.95,
2000-02-11,86.95,86.95,86.95,86.95,
2000-02-14,86.95,86.95,86.95,86.95,
2000-02-16,87.89,87.89,87.89,87.89,
2000-02-18,87.89,87.89,87.89,87.89,
2000-02-21,86.75,86.75,86.75,86.75,
2000-02-23,86.75,86.75,86.75,86.75,
2000-02-25,86.75,86.75,86.75,86.75,
2000-02-28,86.79,86.79,86.79,86.79,
2000-03-01,86.43,86.43,86.43,86.43,
2000-03-03,86.69,86.69,86.69,86.69,
2000-03-06,86.65,86.65,86.65,86.65,
2000-03-08,86.65,86.65,86.65,86.65,
2000-03-10,86.65,86.65,86.65,86.65,
2000-03-13,86.65,86.65,86.65,86.65,
2000-03-15,86.69,86.69,86.69,86.69,
2000-03-17,86.69,86.69,86.69,86.69,
2000-03-20,86.65,86.65,86.65,86.65,
2000-03-22,86.61,86.61,86.61,86.61,
2000-03-24,86.61,86.61,86.61,86.61,
2000-03-27,86.61,86.61,86.61,86.61,
2000-03-29,86.23,86.23,86.23,86.23,
2000-03-31,86.61,86.61,86.61,86.61,
2000-04-03,86.04,86.04,86.04,86.04,
2000-04-05,86.04,86.04,86.04,86.04,
2000-04-07,86.04,86.04,86.04,86.04,
2000-04-10,85.66,85.66,85.66,85.66,
2000-04-12,84.97,84.97,84.97,84.97,
2000-04-14,83.72,83.72,83.72,83.72,
2000-04-17,83.65,83.65,83.65,83.65,
2000-04-19,83.64,83.64,83.64,83.64,
2000-04-21,83.46,83.46,83.46,83.46,
2000-04-26,83.0,83.0,83.0,83.0,
2000-04-28,82.99,82.99,82.99,82.99,
2000-05-03,83.09,83.09,83.09,83.09,
2000-05-05,83.09,83.09,83.09,83.09,
2000-05-08,83.09,83.09,83.09,83.09,
2000-05-10,83.09,83.09,83.09,83.09,
2000-05-12,82.95,82.95,82.95,82.95,
2000-05-15,82.95,82.95,82.95,82.95,
2000-05-17,82.95,82.95,82.95,82.95,
2000-05-19,82.95,82.95,82.95,82.95,
2000-05-22,82.95,82.95,82.95,82.95,
2000-05-24,82.95,82.95,82.95,82.95,
2000-05-26,82.95,82.95,82.95,82.95,
2000-05-29,82.95,82.95,82.95,82.95,
2000-05-31,82.95,82.95,82.95,82.95,
2000-06-02,82.95,82.95,82.95,82.95,
2000-06-05,82.95,82.95,82.95,82.95,
2000-06-07,82.95,82.95,82.95,82.95,
2000-06-09,83.29,83.29,83.29,83.29,
2000-06-16,83.29,83.29,83.29,83.29,
2000-06-19,83.3,83.3,83.3,83.3,
2000-06-21,83.0,83.0,83.0,83.0,
2000-06-23,82.65,82.65,82.65,82.65,
2000-06-26,82.65,82.65,82.65,82.65,
2000-06-28,82.65,82.65,82.65,82.65,
2000-06-30,82.65,82.65,82.65,82.65,
2000-07-03,82.65,82.65,82.65,82.65,
2000-07-07,82.65,82.65,82.65,82.65,
2000-07-10,82.65,82.65,82.65,82.65,
2000-07-12,82.72,82.72,82.72,82.72,
2000-07-14,82.72,82.72,82.72,82.72,
2000-07-17,81.76,81.76,81.76,81.76,
2000-07-19,81.76,81.76,81.76,81.76,
2000-07-21,81.42,81.42,81.42,81.42,
2000-07-26,81.42,81.42,81.42,81.42,
2000-07-31,81.62,81.62,81.62,81.62,
2000-08-04,80.98,80.98,80.98,80.98,
2000-08-09,80.7,80.7,80.7,80.7,
2000-08-11,80.69,80.69,80.69,80.69,
2000-08-14,80.69,80.69,80.69,80.69,
2000-08-16,80.63,80.63,80.63,80.63,
2000-08-18,80.7,80.7,80.7,80.7,
2000-08-21,80.7,80.7,80.7,80.7,
2000-08-28,80.57,80.57,80.57,80.57,
2000-08-30,80.57,80.57,80.57,80.57,
2000-09-01,80.57,80.57,80.57,80.57,
2000-09-04,80.57,80.57,80.57,80.57,
2000-09-06,80.57,80.57,80.57,80.57,
2000-09-08,80.57,80.57,80.57,80.57,
2000-09-11,80.57,80.57,80.57,80.57,
2000-09-13,80.57,80.57,80.57,80.57,
2000-09-15,80.57,80.57,80.57,80.57,
2000-09-20,79.21,79.21,79.21,79.21,
2000-09-22,79.7,79.7,79.7,79.7,
2000-09-27,79.7,79.7,79.7,79.7,
2000-09-29,79.7,79.7,79.7,79.7,
2000-10-02,79.7,79.7,79.7,79.7,
2000-10-09,79.7,79.7,79.7,79.7,
2000-10-11,79.71,79.71,79.71,79.71,
2000-10-13,79.71,79.71,79.71,79.71,
2000-10-16,79.36,79.36,79.36,79.36,
2000-10-18,79.36,79.36,79.36,79.36,
2000-10-20,79.86,79.86,79.86,79.86,
2000-10-27,79.68,79.68,79.68,79.68,
2000-10-30,79.52,79.52,79.52,79.52,
2000-11-02,79.52,79.52,79.52,79.52,
2000-11-03,79.52,79.52,79.52,79.52,
2000-11-06,79.52,79.52,79.52,79.52,
2000-11-08,79.53,79.53,79.53,79.53,
2000-11-10,79.53,79.53,79.53,79.53,
2000-11-13,79.53,79.53,79.53,79.53,
2000-11-16,79.21,79.21,79.21,79.21,
2000-11-17,79.21,79.21,79.21,79.21,
2000-11-20,79.21,79.21,79.21,79.21,
2000-11-22,79.21,79.21,79.21,79.21,
2000-11-24,79.21,79.21,79.21,79.21,
2000-11-27,79.21,79.21,79.21,79.21,
2000-11-29,79.21,79.21,79.21,79.21,
2000-12-01,79.21,79.21,79.21,79.21,
2000-12-04,79.21,79.21,79.21,79.21,
2000-12-06,79.34,79.34,79.34,79.34,
2000-12-08,79.31,79.31,79.31,79.31,
2000-12-11,79.31,79.31,79.31,79.31,
2000-12-13,79.31,79.31,79.31,79.31,
2000-12-15,79.24,79.24,79.24,79.24,
2000-12-18,78.75,78.75,78.75,78.75,
2000-12-20,78.5,78.5,78.5,78.5,
2000-12-22,78.46,78.46,78.46,78.46,
2000-12-26,78.46,78.46,78.46,78.46,
2000-12-28,78.46,78.46,78.46,78.46,
2000-12-29,78.46,78.46,78.46,78.46,
2001-01-02,78.46,78.46,78.46,78.46,
2001-01-03,77.99,77.99,77.99,77.99,
2001-01-05,77.99,77.99,77.99,77.99,
2001-01-08,77.99,77.99,77.99,77.99,
2001-01-10,77.99,77.99,77.99,77.99,
2001-01-12,77.99,77.99,77.99,77.99,
2001-01-15,77.99,77.99,77.99,77.99,
2001-01-17,77.99,77.99,77.99,77.99,
2001-01-19,77.47,77.47,77.47,77.47,
2001-01-22,77.47,77.47,77.47,77.47,
2001-01-24,77.12,77.12,77.12,77.12,
2001-01-26,77.11,77.11,77.11,77.11,
2001-01-29,77.11,77.11,77.11,77.11,
2001-01-31,77.08,77.08,77.08,77.08,
2001-02-02,77.08,77.08,77.08,77.08,
2001-02-05,77.08,77.08,77.08,77.08,
2001-02-07,77.01,77.01,77.01,77.01,
2001-02-09,77.01,77.01,77.01,77.01,
2001-02-12,75.3,75.3,75.3,75.3,
2001-02-14,75.26,75.26,75.26,75.26,
2001-02-16,76.14,76.14,76.14,76.14,
2001-02-19,76.14,76.14,76.14,76.14,
2001-02-21,76.14,76.14,76.14,76.14,
2001-02-23,76.14,76.14,76.14,76.14,
2001-02-26,76.14,76.14,76.14,76.14,
2001-02-28,75.92,75.92,75.92,75.92,
2001-03-02,75.92,75.92,75.92,75.92,
2001-03-06,75.92,75.92,75.92,75.92,
2001-03-07,76.76,76.76,76.76,76.76,
2001-03-09,76.76,76.76,76.76,76.76,
2001-03-12,76.76,76.76,76.76,76.76,
2001-03-14,76.76,76.76,76.76,76.76,
2001-03-16,76.76,76.76,76.76,76.76,
2001-03-19,76.76,76.76,76.76,76.76,
2001-03-21,76.76,76.76,76.76,76.76,
2001-03-23,76.76,76.76,76.76,76.76,
2001-03-26,76.76,76.76,76.76,76.76,
2001-03-28,77.11,77.11,77.11,77.11,
2001-03-30,77.11,77.11,77.11,77.11,
2001-04-02,77.11,77.11,77.11,77.11,
2001-04-04,76.95,76.95,76.95,76.95,
2001-04-06,76.95,76.95,76.95,76.95,
2001-04-09,76.95,76.95,76.95,76.95,
2001-04-11,76.8,76.8,76.8,76.8,
2001-04-13,76.64,76.64,76.64,76.64,
2001-04-17,76.64,76.64,76.64,76.64,
2001-04-18,76.64,76.64,76.64,76.64,
2001-04-20,76.64,76.64,76.64,76.64,
2001-04-23,76.77,76.77,76.77,76.77,
2001-04-25,76.84,76.84,76.84,76.84,
2001-04-27,76.87,76.87,76.87,76.87,
2001-04-30,76.87,76.87,76.87,76.87,
2001-05-02,76.87,76.87,76.87,76.87,
2001-05-04,76.87,76.87,76.87,76.87,
2001-05-07,76.98,76.98,76.98,76.98,
2001-05-09,76.92,76.92,76.92,76.92,
2001-05-11,76.92,76.92,76.92,76.92,
2001-05-14,76.91,76.91,76.91,76.91,
2001-05-16,76.91,76.91,76.91,76.91,
2001-05-18,77.26,77.26,77.26,77.26,
2001-05-21,77.22,77.22,77.22,77.22,
2001-05-23,77.91,77.91,77.91,77.91,
2001-05-25,78.07,78.07,78.07,78.07,
2001-05-28,78.07,78.07,78.07,78.07,
2001-05-30,78.06,78.06,78.06,78.06,
2001-06-01,77.57,77.57,77.57,77.57,
2001-06-05,77.57,77.57,77.57,77.57,
2001-06-06,77.57,77.57,77.57,77.57,
2001-06-08,77.56,77.56,77.56,77.56,
2001-06-11,77.56,77.56,77.56,77.56,
2001-06-13,77.36,77.36,77.36,77.36,
2001-06-15,77.36,77.36,77.36,77.36,
2001-06-18,76.53,76.53,76.53,76.53,
2001-06-20,76.19,76.19,76.19,76.19,
2001-06-22,76.19,76.19,76.19,76.19,
2001-06-25,76.19,76.19,76.19,76.19,
2001-06-27,76.19,76.19,76.19,76.19,
2001-06-29,73.89,73.89,73.89,73.89,
2001-07-02,73.89,73.89,73.89,73.89,
2001-07-04,73.89,73.89,73.89,73.89,
2001-07-06,73.89,73.89,73.89,73.89,
2001-07-09,73.89,73.89,73.89,73.89,
2001-07-11,73.89,73.89,73.89,73.89,
2001-07-13,73.89,73.89,73.89,73.89,
2001-07-16,73.85,73.85,73.85,73.85,
2001-07-18,73.83,73.83,73.83,73.83,
2001-07-20,73.74,73.74,73.74,73.74,
2001-07-23,73.8,73.8,73.8,73.8,
2001-07-25,73.8,73.8,73.8,73.8,
2001-07-27,73.8,73.8,73.8,73.8,
2001-07-30,73.49,73.49,73.49,73.49,
2001-08-01,73.49,73.49,73.49,73.49,
2001-08-03,74.18,74.18,74.18,74.18,
2001-08-08,74.18,74.18,74.18,74.18,
2001-08-10,74.18,74.18,74.18,74.18,
2001-08-13,76.39,76.39,76.39,76.39,
2001-08-16,76.38,76.38,76.38,76.38,
2001-08-17,75.83,75.83,75.83,75.83,
2001-08-20,65.65,65.65,65.65,65.65,
2001-08-22,65.5,65.5,65.5,65.5,
2001-08-24,65.47,65.47,65.47,65.47,
2001-08-27,65.16,65.16,65.16,65.16,
2001-08-29,65.16,65.16,65.16,65.16,
2001-08-31,64.81,64.81,64.81,64.81,
2001-09-03,64.81,64.81,64.81,64.81,
2001-09-05,64.78,64.78,64.78,64.78,
2001-09-07,64.75,64.75,64.75,64.75,
2001-09-10,64.75,64.75,64.75,64.75,
2001-09-12,64.75,64.75,64.75,64.75,
2001-09-14,64.75,64.75,64.75,64.75,
2001-09-17,64.74,64.74,64.74,64.74,
2001-09-19,64.73,64.73,64.73,64.73,
2001-09-21,64.16,64.16,64.16,64.16,
2001-09-24,63.47,63.47,63.47,63.47,
2001-09-26,62.27,62.27,62.27,62.27,
2001-09-28,62.2,62.2,62.2,62.2,
2001-10-01,62.2,62.2,62.2,62.2,
2001-10-03,62.16,62.16,62.16,62.16,
2001-10-05,71.62,71.62,71.62,71.62,
2001-10-08,71.56,71.56,71.56,71.56,
2001-10-10,71.56,71.56,71.56,71.56,
2001-10-12,71.27,71.27,71.27,71.27,
2001-10-15,71.27,71.27,71.27,71.27,
2001-10-17,71.27,71.27,71.27,71.27,
2001-10-19,71.56,71.56,71.56,71.56,
2001-10-22,71.56,71.56,71.56,71.56,
2001-10-24,72.16,72.16,72.16,72.16,
2001-10-26,72.61,72.61,72.61,72.61,
2001-10-29,72.61,72.61,72.61,72.61,
2001-10-31,72.49,72.49,72.49,72.49,
2001-11-02,72.49,72.49,72.49,72.49,
2001-11-05,72.49,72.49,72.49,72.49,
2001-11-07,71.35,71.35,71.35,71.35,
2001-11-09,71.35,71.35,71.35,71.35,
2001-11-12,71.35,71.35,71.35,71.35,
2001-11-13,71.35,71.35,71.35,71.35,
2001-11-14,71.35,71.35,71.35,71.35,
2001-11-16,71.35,71.35,71.35,71.35,
2001-11-19,71.34,71.34,71.34,71.34,
2001-11-20,71.34,71.34,71.34,71.34,
2001-11-21,71.34,71.34,71.34,71.34,
2001-11-22,71.34,71.34,71.34,71.34,
2001-11-23,70.68,70.68,70.68,70.68,
2001-11-26,70.67,70.67,70.67,70.67,
2001-11-27,70.67,70.67,70.67,70.67,
2001-11-28,70.67,70.67,70.67,70.67,
2001-11-29,70.67,70.67,70.67,70.67,
2001-11-30,70.48,70.48,70.48,70.48,
2001-12-03,70.48,70.48,70.48,70.48,
2001-12-04,70.48,70.48,70.48,70.48,
2001-12-05,70.2,70.2,70.2,70.2,
2001-12-06,70.2,70.2,70.2,70.2,
2001-12-07,70.2,70.2,70.2,70.2,
2001-12-10,70.2,70.2,70.2,70.2,
2001-12-11,70.2,70.2,70.2,70.2,
2001-12-13,70.17,70.17,70.17,70.17,
2001-12-14,70.15,70.15,70.15,70.15,
2001-12-17,70.15,70.15,70.15,70.15,
2001-12-18,70.15,70.15,70.15,70.15,
2001-12-19,70.15,70.15,70.15,70.15,
2001-12-20,70.15,70.15,70.15,70.15,
2001-12-21,70.15,70.15,70.15,70.15,
2001-12-24,70.15,70.15,70.15,70.15,
2001-12-26,70.15,70.15,70.15,70.15,
2001-12-27,70.15,70.15,70.15,70.15,
2001-12-28,69.55,69.55,69.55,69.55,
2001-12-31,69.55,69.55,69.55,69.55,
2002-01-02,69.47,69.47,69.47,69.47,
2002-01-03,68.87,68.87,68.87,68.87,
2002-01-04,68.87,68.87,68.87,68.87,
2002-01-07,68.87,68.87,68.87,68.87,
2002-01-08,68.87,68.87,68.87,68.87,
2002-01-09,68.87,68.87,68.87,68.87,
2002-01-10,68.83,68.83,68.83,68.83,
2002-01-11,68.83,68.83,68.83,68.83,
2002-01-14,68.86,68.86,68.86,68.86,
2002-01-15,68.86,68.86,68.86,68.86,
2002-01-16,68.8,68.8,68.8,68.8,
2002-01-17,68.8,68.8,68.8,68.8,
2002-01-18,68.8,68.8,68.8,68.8,
2002-01-21,68.77,68.77,68.77,68.77,
2002-01-22,68.23,68.23,68.23,68.23,
2002-01-23,68.23,68.23,68.23,68.23,
2002-01-24,68.23,68.23,68.23,68.23,
2002-01-25,68.23,68.23,68.23,68.23,
2002-01-28,67.9,67.9,67.9,67.9,
2002-01-29,67.9,67.9,67.9,67.9,
2002-01-30,67.9,67.9,67.9,67.9,
2002-01-31,67.9,67.9,67.9,67.9,
2002-02-01,67.9,67.9,67.9,67.9,
2002-02-04,67.9,67.9,67.9,67.9,
2002-02-05,67.9,67.9,67.9,67.9,
2002-02-06,67.9,67.9,67.9,67.9,
2002-02-07,67.9,67.9,67.9,67.9,
2002-02-08,67.9,67.9,67.9,67.9,
2002-02-12,67.9,67.9,67.9,67.9,
2002-02-13,67.87,67.87,67.87,67.87,
2002-02-14,67.87,67.87,67.87,67.87,
2002-02-15,67.87,67.87,67.87,67.87,
2002-02-18,67.86,67.86,67.86,67.86,
2002-02-19,67.86,67.86,67.86,67.86,
2002-02-20,67.86,67.86,67.86,67.86,
2002-02-21,67.86,67.86,67.86,67.86,
2002-02-25,67.86,67.86,67.86,67.86,
2002-02-26,67.86,67.86,67.86,67.86,
2002-02-27,67.86,67.86,67.86,67.86,
2002-02-28,66.66,66.66,66.66,66.66,
2002-03-01,66.66,66.66,66.66,66.66,
2002-03-04,66.39,66.39,66.39,66.39,
2002-03-05,66.39,66.39,66.39,66.39,
2002-03-06,66.43,66.43,66.43,66.43,
2002-03-07,66.68,66.68,66.68,66.68,
2002-03-08,66.34,66.34,66.34,66.34,
2002-03-11,66.22,66.22,66.22,66.22,
2002-03-12,66.22,66.22,66.22,66.22,
2002-03-13,65.92,65.92,65.92,65.92,
2002-03-14,65.86,65.86,65.86,65.86,
2002-03-15,65.86,65.86,65.86,65.86,
2002-03-18,65.86,65.86,65.86,65.86,
2002-03-19,65.86,65.86,65.86,65.86,
2002-03-20,65.86,65.86,65.86,65.86,
2002-03-22,69.36,69.36,69.36,69.36,
2002-03-25,69.91,69.91,69.91,69.91,
