Date,Open,High,Low,Close,Volume
1999-06-30,100.4,100.4,95.69,95.69,
1999-07-31,95.69,96.23,89.69,89.69,
1999-08-31,87.91,88.6,86.28,86.28,
1999-09-30,86.52,86.52,84.17,84.17,
1999-10-31,84.15,86.46,84.11,86.43,
1999-11-30,85.69,85.86,85.46,85.74,
1999-12-31,85.78,86.82,85.45,85.8,
2000-01-31,85.82,87.27,85.82,86.97,
2000-02-29,86.97,87.89,86.75,86.79,
2000-03-31,86.43,86.69,86.23,86.61,
2000-04-30,86.04,86.04,82.99,82.99,
2000-05-31,83.09,83.09,82.95,82.95,
2000-06-30,82.95,83.3,82.65,82.65,
2000-07-31,82.65,82.72,81.42,81.62,
2000-08-31,80.98,80.98,80.57,80.57,
2000-09-30,80.57,80.57,79.21,79.7,
2000-10-31,79.7,79.86,79.36,79.52,
2000-11-30,79.52,79.53,79.21,79.21,
2000-12-31,79.21,79.34,78.46,78.46,
2001-01-31,78.46,78.46,77.08,77.08,
2001-02-28,77.08,77.08,75.26,75.92,
2001-03-31,75.92,77.11,75.92,77.11,
2001-04-30,77.11,77.11,76.64,76.87,
2001-05-31,76.87,78.07,76.87,78.06,
2001-06-30,77.57,77.57,73.89,73.89,
2001-07-31,73.89,73.89,73.49,73.49,
2001-08-31,73.49,76.39,64.81,64.81,
2001-09-30,64.81,64.81,62.2,62.2,
2001-10-31,62.2,72.61,62.16,72.49,
2001-11-30,72.49,72.49,70.48,70.48,
2001-12-31,70.48,70.48,69.55,69.55,
2002-01-31,69.47,69.47,67.9,67.9,
2002-02-28,67.9,67.9,66.66,66.66,
2002-03-31,66.66,71.39,65.86,71.21,
2002-04-30,70.01,71.2,70.01,70.31,
2002-05-31,70.91,71.19,70.78,70.87,
2002-06-30,70.87,70.87,70.7,70.7,
2002-07-31,70.7,72.19,70.24,71.01,
2002-08-31,69.84,69.84,66.72,66.87,
2002-09-30,66.87,67.18,66.87,67.18,
2002-10-31,67.48,67.6,66.71,66.71,
2002-11-30,66.71,67.62,66.08,67.62,
2002-12-31,68.35,71.3,67.18,70.11,
2003-01-31,70.08,70.08,68.5,68.5,
2003-02-28,68.5,68.5,66.97,66.97,
2003-03-31,66.97,66.97,62.39,62.39,
2003-04-30,62.39,63.69,60.67,63.39,
2003-05-31,63.38,63.75,63.38,63.49,
2003-06-30,63.49,65.53,62.85,65.53,
2003-07-31,65.53,65.59,64.34,64.34,
2003-08-31,62.52,64.04,60.18,64.04,
2003-09-30,64.04,65.91,62.53,64.69,
2003-10-31,64.69,67.67,64.69,67.67,
2003-11-30,67.67,67.67,64.03,64.35,
2003-12-31,64.35,64.35,62.7,63.75,
2004-01-31,63.75,64.03,61.82,64.03,
2004-02-29,63.86,64.47,62.65,64.34,
2004-03-31,64.7,65.06,63.55,65.06,
2004-04-30,65.07,66.76,64.95,66.76,
2004-05-31,67.85,70.35,67.85,69.48,
2004-06-30,69.48,71.41,69.48,71.41,
2004-07-31,71.41,71.65,69.23,69.24,
2004-08-31,69.24,71.44,67.43,71.08,
2004-09-30,71.08,71.44,65.72,65.72,
2004-10-31,65.72,65.72,64.6,64.96,
2004-11-30,64.96,68.14,64.96,68.14,
2004-12-31,68.14,68.14,65.73,66.87,
2005-01-31,66.87,68.13,66.39,68.13,
