Date,Open,High,Low,Close,Volume
1999-06-30,100.4,100.4,95.69,95.69,
1999-09-30,95.69,96.23,84.17,84.17,
1999-12-31,84.15,86.82,84.11,85.8,
2000-03-31,85.82,87.89,85.82,86.61,
2000-06-30,86.04,86.04,82.65,82.65,
2000-09-30,82.65,82.72,79.21,79.7,
2000-12-31,79.7,79.86,78.46,78.46,
2001-03-31,78.46,78.46,75.26,77.11,
2001-06-30,77.11,78.07,73.89,73.89,
2001-09-30,73.89,76.39,62.2,62.2,
2001-12-31,62.2,72.61,62.16,69.55,
2002-03-31,69.47,71.39,65.86,71.21,
2002-06-30,70.01,71.2,70.01,70.7,
2002-09-30,70.7,72.19,66.72,67.18,
2002-12-31,67.48,71.3,66.08,70.11,
2003-03-31,70.08,70.08,62.39,62.39,
2003-06-30,62.39,65.53,60.67,65.53,
2003-09-30,65.53,65.91,60.18,64.69,
2003-12-31,64.69,67.67,62.7,63.75,
2004-03-31,63.75,65.06,61.82,65.06,
2004-06-30,65.07,71.41,64.95,71.41,
2004-09-30,71.41,71.65,65.72,65.72,
2004-12-31,65.72,68.14,64.6,66.87,
2005-03-31,66.87,69.06,66.39,68.06,
2005-06-30,68.06,69.15,67.12,68.98,
2005-09-30,68.98,68.98,63.76,64.37,
2005-12-31,64.41,68.08,63.95,68.08,
2006-03-31,68.08,88.68,68.08,88.68,
2006-06-30,88.68,89.28,75.55,78.14,
2006-09-30,78.19,82.06,76.99,79.3,
2006-12-31,79.31,83.19,79.31,81.83,
2007-03-31,81.83,82.37,81.79,82.37,
2007-06-30,82.37,101.8,82.37,101.8,
2007-09-30,101.8,109.58,95.27,109.58,
2007-12-31,109.96,126.53,109.96,121.25,
2008-03-31,121.25,124.68,121.25,123.99,
2008-06-30,124.01,156.75,124.01,156.29,
2008-09-30,157.84,260.4,157.84,220.48,
2008-12-31,216.59,216.59,149.13,149.13,
2009-03-31,149.4,163.86,148.44,159.54,
2009-06-30,153.5,153.5,131.44,139.0,
2009-09-30,141.42,157.12,137.15,137.15,
2009-12-31,137.15,137.15,123.06,130.62,
2010-03-31,129.65,129.95,109.93,109.93,
2010-06-30,109.93,124.55,109.92,111.12,
2010-09-30,114.36,116.55,106.42,114.37,
2010-12-31,113.84,125.04,109.21,123.57,
2011-03-31,123.57,125.29,121.76,122.46,
2011-06-30,122.46,122.46,109.4,111.81,
2011-09-30,112.32,115.17,101.36,102.96,
2011-12-31,102.96,108.09,102.38,106.28,
2012-03-31,106.28,118.77,101.15,118.77,
2012-06-30,118.78,131.37,114.26,131.34,
2012-09-30,131.34,172.34,127.79,170.43,
2012-12-31,171.21,176.18,163.37,176.18,
2013-03-31,176.18,204.95,174.94,201.14,
2013-06-30,201.14,201.14,183.23,186.32,
2013-09-30,186.83,205.21,186.83,196.74,
2013-12-31,197.26,268.89,193.45,268.89,
2014-03-31,269.72,282.09,239.39,245.05,
2014-06-30,245.59,268.89,237.42,249.87,
2014-09-30,249.49,272.67,244.94,272.67,
2014-12-31,274.76,296.96,271.29,296.96,
2015-03-31,302.15,396.02,296.19,389.2,
2015-06-30,394.19,496.23,359.01,480.63,
2015-09-30,482.12,561.27,467.47,549.94,
2015-12-31,550.3,603.23,550.3,579.46,
2016-03-31,564.13,737.88,556.37,722.12,
2016-06-30,732.78,786.55,646.01,786.55,
2016-09-30,762.31,762.31,662.48,690.76,
2016-12-31,674.6,674.6,565.65,600.89,
2017-03-31,581.25,581.25,466.75,469.71,
2017-06-30,468.09,468.22,386.3,407.15,
2017-09-30,404.27,416.47,285.09,303.44,
2017-12-31,300.31,340.45,277.83,340.45,
2018-03-31,336.08,394.61,308.12,360.1,
2018-06-30,368.32,376.73,288.45,334.07,
2018-09-30,336.18,337.19,269.81,271.34,
2018-12-31,269.47,271.89,226.57,267.82,
2019-03-31,268.34,268.34,228.87,260.45,
2019-06-30,256.38,272.99,235.65,239.35,
2019-09-30,236.79,245.73,211.16,213.74,
2019-12-31,213.55,253.26,207.21,253.26,
2020-03-31,257.11,257.11,214.13,214.13,
2020-06-30,215.47,235.31,200.41,235.31,
2020-09-30,234.57,234.57,191.06,198.41,
2020-12-31,192.75,229.44,184.46,226.43,
2021-03-31,223.48,223.48,192.9,204.14,
2021-06-30,206.47,284.18,202.35,273.46,
2021-09-30,273.09,340.8,273.09,333.0,
2021-12-31,334.26,444.1,333.89,407.43,
2022-03-31,392.4,446.01,392.4,432.37,
2022-06-30,439.97,439.97,361.64,380.49,
2022-09-30,380.81,383.78,370.76,375.59,
2022-12-31,369.92,390.5,356.1,358.54,
2023-03-31,357.38,372.51,332.9,352.02,
2023-06-30,348.91,364.04,331.14,364.04,
2023-09-30,359.05,392.75,354.92,363.62,
2023-12-31,367.06,367.06,318.07,328.21,
2024-03-31,331.6,331.6,298.12,316.33,
2024-06-30,319.12,334.88,313.68,332.47,
2024-09-30,327.73,365.39,325.48,337.51,
2024-12-31,339.61,347.16,321.32,330.96,
2025-03-31,335.32,402.9,319.66,389.37,
2025-06-30,386.79,404.35,332.76,373.88,
2025-09-30,370.99,433.62,354.23,422.5,
2025-12-31,429.88,633.8,429.88,494.78,
