Date,Open,High,Low,Close,Volume
1999-06-21,100.4,100.4,100.04,100.04,
1999-06-28,98.67,98.67,97.03,97.03,
1999-07-05,95.69,95.69,95.69,95.69,
1999-07-12,95.7,96.23,95.7,95.86,
1999-07-19,93.66,93.66,91.13,91.13,
1999-07-26,91.13,91.13,90.49,90.51,
1999-08-02,90.49,90.49,87.91,87.91,
1999-08-09,87.49,87.49,87.49,87.49,
1999-08-16,87.49,87.49,86.6,86.6,
1999-08-23,86.59,86.6,86.59,86.6,
1999-08-30,88.6,88.6,86.28,86.28,
1999-09-06,86.52,86.52,85.75,85.75,
1999-09-13,85.73,85.73,84.57,84.57,
1999-09-20,84.95,85.01,84.95,85.01,
1999-09-27,85.01,85.01,84.25,84.25,
1999-10-04,84.17,84.17,84.15,84.15,
1999-10-11,84.15,84.15,84.11,84.11,
1999-10-18,84.95,84.95,84.88,84.88,
1999-10-25,85.28,86.39,85.28,86.39,
1999-11-01,86.46,86.46,86.43,86.43,
1999-11-08,85.69,85.79,85.59,85.79,
1999-11-15,85.79,85.79,85.65,85.65,
1999-11-22,85.86,85.86,85.61,85.62,
1999-11-29,85.46,85.74,85.46,85.74,
1999-12-06,85.78,86.1,85.78,85.94,
1999-12-13,86.32,86.82,86.32,86.82,
1999-12-20,86.82,86.82,85.45,85.45,
1999-12-27,85.84,85.84,85.8,85.8,
2000-01-03,85.8,85.8,85.8,85.8,
2000-01-10,85.82,87.27,85.82,87.27,
2000-01-17,86.95,86.95,86.95,86.95,
2000-01-24,86.95,86.95,86.95,86.95,
2000-01-31,86.97,86.97,86.97,86.97,
2000-02-07,86.97,86.97,86.97,86.97,
2000-02-14,86.95,86.95,86.95,86.95,
2000-02-21,87.89,87.89,86.75,86.75,
2000-02-28,86.75,86.79,86.75,86.79,
2000-03-06,86.43,86.69,86.43,86.65,
2000-03-13,86.65,86.65,86.65,86.65,
2000-03-20,86.69,86.69,86.65,86.65,
2000-03-27,86.61,86.61,86.61,86.61,
2000-04-03,86.23,86.61,86.04,86.04,
2000-04-10,86.04,86.04,85.66,85.66,
2000-04-17,84.97,84.97,83.65,83.65,
2000-04-24,83.64,83.64,83.46,83.46,
2000-05-01,83.0,83.0,82.99,82.99,
2000-05-08,83.09,83.09,83.09,83.09,
2000-05-15,83.09,83.09,82.95,82.95,
2000-05-22,82.95,82.95,82.95,82.95,
2000-05-29,82.95,82.95,82.95,82.95,
2000-06-05,82.95,82.95,82.95,82.95,
2000-06-12,82.95,83.29,82.95,83.29,
2000-06-19,83.29,83.3,83.29,83.3,
2000-06-26,83.0,83.0,82.65,82.65,
2000-07-03,82.65,82.65,82.65,82.65,
2000-07-10,82.65,82.65,82.65,82.65,
2000-07-17,82.72,82.72,81.76,81.76,
2000-07-24,81.76,81.76,81.42,81.42,
2000-07-31,81.42,81.62,81.42,81.62,
2000-08-07,80.98,80.98,80.98,80.98,
2000-08-14,80.7,80.7,80.69,80.69,
2000-08-21,80.63,80.7,80.63,80.7,
2000-08-28,80.57,80.57,80.57,80.57,
2000-09-04,80.57,80.57,80.57,80.57,
2000-09-11,80.57,80.57,80.57,80.57,
2000-09-18,80.57,80.57,80.57,80.57,
2000-09-25,79.21,79.7,79.21,79.7,
2000-10-02,79.7,79.7,79.7,79.7,
2000-10-09,79.7,79.7,79.7,79.7,
2000-10-16,79.71,79.71,79.36,79.36,
2000-10-23,79.36,79.86,79.36,79.86,
2000-10-30,79.68,79.68,79.52,79.52,
2000-11-06,79.52,79.52,79.52,79.52,
2000-11-13,79.53,79.53,79.53,79.53,
2000-11-20,79.21,79.21,79.21,79.21,
2000-11-27,79.21,79.21,79.21,79.21,
2000-12-04,79.21,79.21,79.21,79.21,
2000-12-11,79.34,79.34,79.31,79.31,
2000-12-18,79.31,79.31,78.75,78.75,
2000-12-25,78.5,78.5,78.46,78.46,
2001-01-01,78.46,78.46,78.46,78.46,
2001-01-08,78.46,78.46,77.99,77.99,
2001-01-15,77.99,77.99,77.99,77.99,
2001-01-22,77.99,77.99,77.47,77.47,
2001-01-29,77.12,77.12,77.11,77.11,
2001-02-05,77.08,77.08,77.08,77.08,
2001-02-12,77.01,77.01,75.3,75.3,
2001-02-19,75.26,76.14,75.26,76.14,
2001-02-26,76.14,76.14,76.14,76.14,
2001-03-05,75.92,75.92,75.92,75.92,
2001-03-12,75.92,76.76,75.92,76.76,
2001-03-19,76.76,76.76,76.76,76.76,
2001-03-26,76.76,76.76,76.76,76.76,
2001-04-02,77.11,77.11,77.11,77.11,
2001-04-09,76.95,76.95,76.95,76.95,
2001-04-16,76.8,76.8,76.64,76.64,
2001-04-23,76.64,76.77,76.64,76.77,
2001-04-30,76.84,76.87,76.84,76.87,
2001-05-07,76.87,76.98,76.87,76.98,
2001-05-14,76.92,76.92,76.91,76.91,
2001-05-21,76.91,77.26,76.91,77.22,
2001-05-28,77.91,78.07,77.91,78.07,
2001-06-04,78.06,78.06,77.57,77.57,
2001-06-11,77.57,77.57,77.56,77.56,
2001-06-18,77.36,77.36,76.53,76.53,
2001-06-25,76.19,76.19,76.19,76.19,
2001-07-02,76.19,76.19,73.89,73.89,
2001-07-09,73.89,73.89,73.89,73.89,
2001-07-16,73.89,73.89,73.85,73.85,
2001-07-23,73.83,73.83,73.74,73.8,
2001-07-30,73.8,73.8,73.49,73.49,
2001-08-06,73.49,74.18,73.49,74.18,
2001-08-13,74.18,76.39,74.18,76.39,
2001-08-20,76.38,76.38,65.65,65.65,
2001-08-27,65.5,65.5,65.16,65.16,
2001-09-03,65.16,65.16,64.81,64.81,
2001-09-10,64.78,64.78,64.75,64.75,
2001-09-17,64.75,64.75,64.74,64.74,
2001-09-24,64.73,64.73,63.47,63.47,
2001-10-01,62.27,62.27,62.2,62.2,
2001-10-08,62.16,71.62,62.16,71.56,
2001-10-15,71.56,71.56,71.27,71.27,
2001-10-22,71.27,71.56,71.27,71.56,
2001-10-29,72.16,72.61,72.16,72.61,
2001-11-05,72.49,72.49,72.49,72.49,
2001-11-12,71.35,71.35,71.35,71.35,
2001-11-19,71.35,71.35,71.34,71.34,
2001-11-26,71.34,71.34,70.67,70.67,
2001-12-03,70.67,70.67,70.48,70.48,
2001-12-10,70.48,70.48,70.2,70.2,
2001-12-17,70.2,70.2,70.15,70.15,
2001-12-24,70.15,70.15,70.15,70.15,
2001-12-31,70.15,70.15,69.55,69.55,
2002-01-07,69.47,69.47,68.87,68.87,
2002-01-14,68.87,68.87,68.83,68.86,
2002-01-21,68.86,68.86,68.77,68.77,
2002-01-28,68.23,68.23,67.9,67.9,
2002-02-04,67.9,67.9,67.9,67.9,
2002-02-11,67.9,67.9,67.9,67.9,
2002-02-18,67.9,67.9,67.86,67.86,
2002-02-25,67.86,67.86,67.86,67.86,
2002-03-04,67.86,67.86,66.39,66.39,
2002-03-11,66.39,66.68,66.22,66.22,
2002-03-18,66.22,66.22,65.86,65.86,
2002-03-25,65.86,69.91,65.86,69.91,
2002-04-01,69.94,71.39,69.94,71.21,
2002-04-08,70.01,70.01,70.01,70.01,
2002-04-15,70.31,70.31,70.25,70.25,
2002-04-22,70.25,71.15,70.25,71.15,
2002-04-29,71.15,71.2,70.3,70.31,
2002-05-06,70.31,71.13,70.31,71.13,
2002-05-13,71.13,71.19,71.13,71.19,
2002-05-20,70.88,71.08,70.82,71.08,
2002-05-27,71.08,71.08,71.08,71.08,
2002-06-03,70.78,70.87,70.78,70.87,
2002-06-10,70.81,70.81,70.81,70.81,
2002-06-17,70.81,70.81,70.71,70.71,
2002-06-24,70.71,70.71,70.71,70.71,
2002-07-01,70.71,70.71,70.7,70.7,
2002-07-08,70.99,72.19,70.99,72.19,
2002-07-15,72.19,72.19,70.56,70.56,
2002-07-22,70.56,70.77,70.47,70.47,
2002-07-29,70.25,70.34,70.24,70.34,
2002-08-05,70.24,71.01,68.68,68.68,
2002-08-12,68.53,68.53,68.46,68.52,
