Date,Open,High,Low,Close,Volume
1999-12-31,100.4,100.4,84.11,85.8,
2000-12-31,85.82,87.89,78.46,78.46,
2001-12-31,78.46,78.46,62.16,69.55,
2002-12-31,69.47,72.19,65.86,70.11,
2003-12-31,70.08,70.08,60.18,63.75,
2004-12-31,63.75,71.65,61.82,66.87,
2005-12-31,66.87,69.15,63.76,68.08,
2006-12-31,68.08,89.28,68.08,81.83,
2007-12-31,81.83,126.53,81.79,121.25,
2008-12-31,121.25,260.4,121.25,149.13,
2009-12-31,149.4,163.86,123.06,130.62,
2010-12-31,129.65,129.95,106.42,123.57,
2011-12-31,123.57,125.29,101.36,106.28,
2012-12-31,106.28,176.18,101.15,176.18,
2013-12-31,176.18,268.89,174.94,268.89,
2014-12-31,269.72,296.96,237.42,296.96,
2015-12-31,302.15,603.23,296.19,579.46,
2016-12-31,564.13,786.55,556.37,600.89,
2017-12-31,581.25,581.25,277.83,340.45,
2018-12-31,336.08,394.61,226.57,267.82,
2019-12-31,268.34,272.99,207.21,253.26,
2020-12-31,257.11,257.11,184.46,226.43,
2021-12-31,223.48,444.1,192.9,407.43,
2022-12-31,392.4,446.01,356.1,358.54,
2023-12-31,357.38,392.75,318.07,328.21,
2024-12-31,331.6,365.39,298.12,330.96,
2025-12-31,335.32,633.8,319.66,494.78,
