Date,Open,High,Low,Close,Volume
1999-06-16,100.1,100.1,100.1,100.1,
1999-06-18,101.46,101.46,101.46,101.46,
1999-06-21,105.96,105.96,105.96,105.96,
1999-06-23,104.69,104.69,104.69,104.69,
1999-06-25,104.69,104.69,104.69,104.69,
1999-06-28,104.69,104.69,104.69,104.69,
1999-06-30,104.69,104.69,104.69,104.69,
1999-07-02,104.28,104.28,104.28,104.28,
1999-07-05,102.08,102.08,102.08,102.08,
1999-07-07,102.27,102.27,102.27,102.27,
1999-07-09,102.26,102.26,102.26,102.26,
1999-07-12,102.28,102.28,102.28,102.28,
1999-07-14,104.28,104.28,104.28,104.28,
1999-07-16,101.87,101.87,101.87,101.87,
1999-07-19,101.87,101.87,101.87,101.87,
1999-07-21,101.87,101.87,101.87,101.87,
1999-07-23,101.67,101.67,101.67,101.67,
1999-07-26,101.67,101.67,101.67,101.67,
1999-07-28,101.67,101.67,101.67,101.67,
1999-07-30,101.67,101.67,101.67,101.67,
1999-08-02,101.46,101.46,101.46,101.46,
1999-08-04,105.92,105.92,105.92,105.92,
1999-08-06,105.92,105.92,105.92,105.92,
1999-08-09,106.59,106.59,106.59,106.59,
1999-08-11,106.59,106.59,106.59,106.59,
1999-08-13,106.59,106.59,106.59,106.59,
1999-08-16,106.57,106.57,106.57,106.57,
1999-08-18,105.42,105.42,105.42,105.42,
1999-08-20,104.62,104.62,104.62,104.62,
1999-08-23,103.8,103.8,103.8,103.8,
1999-08-25,102.72,102.72,102.72,102.72,
1999-08-27,102.5,102.5,102.5,102.5,
1999-08-30,102.49,102.49,102.49,102.49,
1999-09-01,102.49,102.49,102.49,102.49,
1999-09-03,102.49,102.49,102.49,102.49,
1999-09-06,102.49,102.49,102.49,102.49,
1999-09-08,102.49,102.49,102.49,102.49,
1999-09-10,101.45,101.45,101.45,101.45,
1999-09-13,101.45,101.45,101.45,101.45,
1999-09-15,101.45,101.45,101.45,101.45,
1999-09-17,101.45,101.45,101.45,101.45,
1999-09-20,101.45,101.45,101.45,101.45,
1999-09-22,101.45,101.45,101.45,101.45,
1999-09-24,101.45,101.45,101.45,101.45,
1999-09-27,101.45,101.45,101.45,101.45,
1999-09-29,101.45,101.45,101.45,101.45,
1999-10-01,101.45,101.45,101.45,101.45,
1999-10-06,101.45,101.45,101.45,101.45,
1999-10-08,101.45,101.45,101.45,101.45,
1999-10-11,101.45,101.45,101.45,101.45,
1999-10-13,101.45,101.45,101.45,101.45,
1999-10-15,101.45,101.45,101.45,101.45,
1999-10-18,101.45,101.45,101.45,101.45,
1999-10-20,101.45,101.45,101.45,101.45,
1999-10-22,101.45,101.45,101.45,101.45,
1999-10-25,101.45,101.45,101.45,101.45,
1999-10-27,101.45,101.45,101.45,101.45,
1999-10-29,101.45,101.45,101.45,101.45,
