Date,Open,High,Low,Close,Volume
1999-06-30,100.1,105.96,100.1,104.69,
1999-07-31,104.28,104.28,101.67,101.67,
1999-08-31,101.46,106.59,101.46,102.49,
1999-09-30,102.49,102.49,101.45,101.45,
1999-10-31,101.45,101.45,101.45,101.45,
1999-11-30,94.31,110.38,94.31,105.92,
1999-12-31,105.92,125.12,105.9,125.12,
2000-01-31,125.12,125.12,115.72,115.72,
2000-02-29,115.72,115.72,115.21,115.21,
2000-03-31,115.21,115.21,105.03,107.09,
2000-04-30,107.09,107.09,107.07,107.07,
2000-05-31,107.07,107.07,107.07,107.07,
2000-06-30,107.07,107.07,107.05,107.05,
2000-07-31,107.05,107.5,106.36,106.36,
2000-08-31,106.36,106.36,106.3,106.3,
2000-09-30,106.3,106.3,98.0,102.04,
2000-10-31,102.04,102.04,98.01,98.01,
2000-11-30,98.01,98.27,94.81,98.21,
2000-12-31,96.57,107.95,96.57,106.95,
2001-01-31,106.95,107.57,106.29,107.57,
2001-02-28,107.57,108.38,107.57,108.38,
2001-03-31,108.14,108.14,99.77,99.77,
2001-04-30,99.77,101.95,99.77,101.95,
2001-05-31,101.95,103.65,101.95,103.65,
2001-06-30,103.65,103.89,93.46,93.53,
2001-07-31,95.24,95.24,86.71,86.72,
2001-08-31,86.7,92.01,86.67,90.26,
2001-09-30,92.01,92.01,87.38,87.38,
2001-10-31,87.38,90.28,87.38,90.28,
2001-11-30,90.28,90.44,90.28,90.44,
2001-12-31,90.44,133.7,90.44,133.7,
2002-01-31,133.7,133.93,125.14,125.14,
2002-02-28,125.14,125.78,125.14,125.78,
2002-03-31,125.78,125.79,115.44,115.95,
2002-04-30,114.92,115.06,112.18,113.47,
2002-05-31,113.47,113.47,107.05,107.05,
2002-06-30,107.06,108.77,107.05,108.77,
2002-07-31,108.77,108.77,105.13,105.13,
2002-08-31,105.13,105.13,104.83,104.83,
2002-09-30,104.83,104.94,104.81,104.81,
2002-10-31,104.81,104.81,99.73,99.73,
2002-11-30,99.73,101.89,99.42,100.76,
2002-12-31,101.07,140.08,101.07,134.98,
2003-01-31,134.95,134.95,134.34,134.34,
2003-02-28,134.95,134.95,124.74,127.45,
2003-03-31,127.45,127.45,105.71,105.71,
2003-04-30,111.77,122.61,111.77,122.45,
2003-05-31,122.45,122.45,119.56,119.56,
2003-06-30,119.56,119.68,107.25,107.56,
2003-07-31,105.5,105.5,105.08,105.5,
2003-08-31,105.5,105.5,100.16,100.16,
2003-09-30,100.16,112.13,98.6,112.13,
2003-10-31,112.07,112.13,112.07,112.13,
2003-11-30,113.82,119.73,112.27,119.73,
2003-12-31,119.73,138.83,119.73,138.83,
2004-01-31,138.83,139.21,126.61,126.61,
2004-02-29,126.62,126.63,126.62,126.63,
2004-03-31,124.81,124.86,124.71,124.86,
2004-04-30,124.71,124.93,124.71,124.78,
2004-05-31,124.78,124.86,123.64,124.58,
2004-06-30,124.55,124.58,120.74,121.04,
2004-07-31,121.04,121.52,121.04,121.52,
2004-08-31,121.52,121.52,115.47,115.58,
2004-09-30,115.58,115.58,101.99,102.72,
2004-10-31,102.72,103.06,102.72,103.06,
2004-11-30,103.06,111.39,102.69,111.39,
2004-12-31,111.39,131.68,111.39,131.68,
2005-01-31,131.68,131.68,117.09,117.09,
2005-02-28,119.75,120.0,116.75,120.0,
2005-03-31,120.0,120.0,115.14,117.51,
2005-04-30,117.3,131.61,117.21,131.61,
2005-05-31,131.61,136.55,131.61,134.04,
2005-06-30,134.04,134.04,126.72,126.72,
2005-07-31,126.72,127.06,122.65,123.36,
2005-08-31,123.36,123.36,113.93,113.94,
2005-09-30,113.94,114.09,112.92,112.92,
2005-10-31,112.92,115.6,112.42,115.6,
2005-11-30,115.6,121.99,112.62,121.99,
2005-12-31,124.86,142.82,124.86,142.82,
2006-01-31,142.82,142.82,132.89,132.89,
2006-02-28,132.0,134.36,127.49,134.33,
2006-03-31,134.33,145.96,133.68,145.96,
2006-04-30,145.96,164.2,145.96,164.2,
2006-05-31,164.27,170.77,153.23,153.23,
2006-06-30,153.22,153.22,143.4,144.07,
2006-07-31,144.07,146.62,134.97,135.78,
2006-08-31,135.78,135.78,128.73,128.73,
2006-09-30,128.76,228.33,128.76,197.96,
2006-10-31,160.45,160.45,99.01,104.91,
2006-11-30,104.91,104.91,83.07,83.07,
2006-12-31,82.69,82.69,75.11,75.48,
2007-01-31,75.48,79.5,74.32,74.32,
2007-02-28,70.2,88.45,70.2,88.45,
2007-03-31,91.44,107.44,91.44,102.94,
2007-04-30,102.94,102.94,97.5,102.75,
2007-05-31,101.26,102.75,94.71,96.9,
2007-06-30,96.7,118.32,94.56,118.32,
2007-07-31,118.32,118.32,101.05,101.21,
2007-08-31,101.21,104.28,96.57,104.28,
2007-09-30,104.28,104.28,96.11,96.39,
2007-10-31,96.4,98.26,95.26,96.58,
2007-11-30,97.15,103.24,97.15,98.62,
2007-12-31,97.14,98.86,95.64,97.36,
2008-01-31,95.8,101.48,95.8,101.48,
2008-02-29,97.67,115.31,97.67,115.31,
2008-03-31,114.6,144.48,113.84,143.12,
2008-04-30,140.44,140.44,117.63,138.56,
2008-05-31,138.56,151.06,137.98,151.06,
2008-06-30,156.59,163.47,138.4,138.4,
2008-07-31,130.46,142.3,122.54,142.3,
2008-08-31,150.08,150.43,128.6,131.98,
2008-09-30,128.17,136.21,128.17,132.08,
2008-10-31,132.08,135.89,123.51,123.59,
2008-11-30,123.59,127.39,112.55,112.55,
2008-12-31,112.55,112.55,94.39,94.43,
2009-01-31,94.43,101.12,79.24,97.3,
2009-02-28,97.3,97.59,89.71,93.79,
2009-03-31,93.75,93.75,66.86,67.23,
2009-04-30,67.23,67.23,61.42,61.61,
2009-05-31,61.61,61.62,52.44,52.44,
2009-06-30,49.63,77.41,49.63,74.11,
2009-07-31,74.6,74.6,54.31,62.45,
2009-08-31,59.97,63.57,58.31,60.99,
2009-09-30,60.15,61.25,56.09,57.67,
2009-10-31,57.66,57.85,55.98,57.85,
2009-11-30,57.85,57.85,52.89,52.89,
2009-12-31,52.73,55.87,52.73,53.3,
2010-01-31,54.12,54.59,52.06,54.54,
2010-02-28,54.54,56.11,52.99,54.27,
2010-03-31,54.27,60.14,54.27,60.14,
2010-04-30,59.21,71.77,58.85,67.03,
2010-05-31,67.04,70.76,66.2,70.76,
2010-06-30,71.02,73.5,63.27,63.27,
2010-07-31,62.49,64.52,57.62,63.29,
2010-08-31,63.37,65.94,61.61,63.43,
2010-09-30,64.98,64.98,61.42,61.47,
2010-10-31,61.45,62.64,59.43,61.26,
2010-11-30,61.29,63.77,60.51,62.11,
2010-12-31,62.16,64.72,59.63,64.22,
2011-01-31,64.21,67.29,64.21,64.64,
2011-02-28,63.83,64.63,62.58,62.58,
2011-03-31,62.56,63.5,61.7,61.7,
2011-04-30,61.7,61.7,57.69,57.69,
2011-05-31,57.69,59.95,57.67,59.95,
2011-06-30,58.69,61.16,58.08,58.08,
2011-07-31,58.31,58.34,55.9,57.56,
2011-08-31,59.17,63.41,59.17,61.76,
2011-09-30,62.9,62.9,56.66,59.34,
2011-10-31,59.34,59.34,56.17,57.46,
2011-11-30,57.46,57.55,53.7,53.7,
2011-12-31,53.7,53.7,51.56,51.83,
2012-01-31,53.77,53.89,52.34,52.34,
2012-02-29,52.48,53.76,51.94,53.76,
2012-03-31,54.69,56.83,52.69,55.78,
2012-04-30,59.31,61.21,59.23,61.07,
2012-05-31,61.07,61.17,55.63,55.65,
2012-06-30,55.65,60.16,55.65,58.32,
2012-07-31,59.21,59.21,56.66,56.66,
2012-08-31,56.66,58.39,54.76,56.24,
2012-09-30,57.13,57.13,55.47,55.82,
2012-10-31,55.9,55.9,52.68,54.88,
2012-11-30,55.86,58.68,55.47,57.05,
2012-12-31,57.16,57.71,54.5,57.35,
2013-01-31,57.46,58.05,55.46,57.86,
2013-02-28,57.86,78.94,57.71,78.94,
2013-03-31,78.07,84.77,74.21,75.25,
2013-04-30,75.23,78.28,74.97,75.04,
2013-05-31,75.81,95.71,75.16,95.71,
2013-06-30,97.45,101.97,82.95,87.14,
2013-07-31,82.99,88.23,78.7,83.38,
2013-08-31,83.34,87.59,81.5,81.5,
2013-09-30,81.51,81.51,76.54,78.59,
2013-10-31,78.29,83.75,77.12,78.13,
2013-11-30,78.77,82.9,78.77,81.01,
2013-12-31,80.66,82.58,79.66,82.04,
2014-01-31,81.75,83.28,80.45,83.18,
2014-02-28,82.63,84.66,82.28,82.28,
2014-03-31,83.32,85.96,81.29,82.68,
2014-04-30,82.99,82.99,76.39,77.0,
2014-05-31,75.12,76.09,71.22,75.92,
2014-06-30,74.94,82.55,74.26,82.55,
2014-07-31,81.55,81.62,77.2,80.3,
2014-08-31,80.22,84.78,80.21,83.74,
2014-09-30,84.08,99.31,84.08,98.65,
2014-10-31,100.06,100.06,90.18,92.05,
2014-11-30,92.41,92.77,90.18,90.28,
2014-12-31,90.45,93.48,87.15,93.48,
2015-01-31,93.89,93.89,90.44,93.52,
2015-02-28,93.21,93.7,90.25,91.9,
2015-03-31,91.26,94.27,89.77,94.27,
2015-04-30,95.45,103.69,94.49,102.55,
2015-05-31,102.24,104.07,101.54,101.84,
2015-06-30,102.24,103.73,99.27,103.73,
2015-07-31,102.59,113.46,101.72,103.66,
2015-08-31,104.72,110.39,104.72,109.63,
2015-09-30,109.07,109.08,106.81,108.1,
2015-10-31,108.58,113.13,108.36,109.32,
2015-11-30,110.56,110.56,104.51,105.78,
2015-12-31,104.34,106.5,99.34,106.5,
2016-01-31,104.97,106.05,102.25,104.11,
2016-02-29,103.8,108.78,102.49,108.52,
2016-03-31,108.72,123.29,107.38,110.47,
2016-04-30,109.99,111.11,106.27,107.87,
2016-05-31,106.82,110.02,104.1,106.02,
2016-06-30,108.69,110.85,106.08,106.08,
2016-07-31,103.35,104.53,95.94,96.94,
2016-08-31,96.32,97.45,88.78,97.45,
2016-09-30,97.89,101.92,91.29,93.94,
2016-10-31,91.62,92.69,86.76,91.49,
2016-11-30,93.83,97.98,90.31,93.99,
2016-12-31,93.2,97.79,91.16,97.79,
2017-01-31,97.45,98.27,95.56,98.27,
2017-02-28,97.51,106.65,97.38,106.63,
2017-03-31,108.89,110.06,103.25,109.54,
2017-04-30,109.24,109.5,104.81,105.8,
2017-05-31,104.19,104.75,101.46,103.84,
2017-06-30,101.4,101.73,91.95,98.51,
2017-07-31,95.3,98.75,90.07,92.15,
2017-08-31,91.64,92.14,86.8,86.8,
2017-09-30,87.09,87.09,83.28,84.87,
2017-10-31,83.72,87.16,82.22,82.49,
2017-11-30,83.16,83.16,80.47,81.86,
2017-12-31,80.86,87.56,80.74,87.56,
2018-01-31,86.35,86.35,81.94,82.2,
2018-02-28,83.03,86.23,82.98,86.23,
2018-03-31,86.93,87.82,85.03,86.32,
2018-04-30,85.56,86.56,82.42,86.56,
2018-05-31,86.76,86.76,78.84,79.64,
2018-06-30,79.38,80.46,77.81,80.46,
2018-07-31,79.08,79.88,77.96,78.99,
2018-08-31,78.99,78.99,75.35,75.57,
2018-09-30,74.76,75.34,69.34,70.1,
2018-10-31,69.76,69.76,62.92,63.38,
2018-11-30,62.49,62.49,57.47,58.41,
2018-12-31,57.76,68.12,57.2,67.36,
2019-01-31,66.44,66.44,59.24,62.31,
2019-02-28,62.21,63.05,61.16,62.66,
2019-03-31,63.17,63.42,59.64,59.95,
2019-05-31,59.15,59.35,59.11,59.24,
2019-06-30,58.45,58.94,57.51,58.68,
2019-07-31,58.85,58.94,57.03,57.66,
2019-08-31,57.13,57.16,55.55,56.06,
2019-09-30,55.08,56.36,53.82,54.44,
2019-10-31,54.04,54.84,53.04,54.59,
2019-11-30,53.75,55.49,53.23,55.49,
2019-12-31,55.7,60.99,55.39,60.99,
2020-01-31,59.74,59.74,56.83,58.58,
2020-02-29,57.7,58.48,54.99,55.42,
2020-03-31,55.61,55.66,52.94,52.94,
2020-04-30,53.24,53.61,52.29,53.21,
2020-05-31,53.12,53.72,52.15,52.49,
2020-06-30,52.79,54.9,52.79,54.19,
2020-07-31,54.03,54.03,51.6,52.39,
2020-08-31,51.69,52.62,51.2,52.62,
2020-09-30,52.73,52.73,51.22,52.48,
2020-10-31,51.84,53.62,50.38,53.62,
2020-11-30,53.62,56.63,52.57,56.63,
2020-12-31,57.53,59.99,56.03,59.99,
2021-01-31,58.31,58.31,53.84,56.48,
2021-02-28,56.54,57.45,54.02,54.97,
2021-03-31,55.85,56.33,54.84,55.67,
2021-04-30,56.17,58.36,55.79,58.36,
2021-05-31,58.77,58.95,56.88,58.94,
2021-06-30,58.68,59.76,58.28,59.7,
2021-07-31,59.25,61.15,58.82,60.84,
2021-08-31,60.81,64.91,60.76,64.91,
2021-09-30,64.61,70.61,64.61,70.61,
2021-10-31,70.38,71.54,70.16,71.54,
2021-11-30,71.6,73.26,69.61,73.12,
2021-12-31,72.73,77.13,71.94,77.13,
2022-01-31,77.92,79.65,75.14,76.96,
