Date,Open,High,Low,Close,Volume
1999-06-30,100.1,105.96,100.1,104.69,
1999-09-30,104.28,106.59,101.45,101.45,
1999-12-31,101.45,125.12,94.31,125.12,
2000-03-31,125.12,125.12,105.03,107.09,
2000-06-30,107.09,107.09,107.05,107.05,
2000-09-30,107.05,107.5,98.0,102.04,
2000-12-31,102.04,107.95,94.81,106.95,
2001-03-31,106.95,108.38,99.77,99.77,
2001-06-30,99.77,103.89,93.46,93.53,
2001-09-30,95.24,95.24,86.67,87.38,
2001-12-31,87.38,133.7,87.38,133.7,
2002-03-31,133.7,133.93,115.44,115.95,
2002-06-30,114.92,115.06,107.05,108.77,
2002-09-30,108.77,108.77,104.81,104.81,
2002-12-31,104.81,140.08,99.42,134.98,
2003-03-31,134.95,134.95,105.71,105.71,
2003-06-30,111.77,122.61,107.25,107.56,
2003-09-30,105.5,112.13,98.6,112.13,
2003-12-31,112.07,138.83,112.07,138.83,
2004-03-31,138.83,139.21,124.71,124.86,
2004-06-30,124.71,124.93,120.74,121.04,
2004-09-30,121.04,121.52,101.99,102.72,
2004-12-31,102.72,131.68,102.69,131.68,
2005-03-31,131.68,131.68,115.14,117.51,
2005-06-30,117.3,136.55,117.21,126.72,
2005-09-30,126.72,127.06,112.92,112.92,
2005-12-31,112.92,142.82,112.42,142.82,
2006-03-31,142.82,145.96,127.49,145.96,
2006-06-30,145.96,170.77,143.4,144.07,
2006-09-30,144.07,228.33,128.73,197.96,
2006-12-31,160.45,160.45,75.11,75.48,
2007-03-31,75.48,107.44,70.2,102.94,
2007-06-30,102.94,118.32,94.56,118.32,
2007-09-30,118.32,118.32,96.11,96.39,
2007-12-31,96.4,103.24,95.26,97.36,
2008-03-31,95.8,144.48,95.8,143.12,
2008-06-30,140.44,163.47,117.63,138.4,
2008-09-30,130.46,150.43,122.54,132.08,
2008-12-31,132.08,135.89,94.39,94.43,
2009-03-31,94.43,101.12,66.86,67.23,
2009-06-30,67.23,77.41,49.63,74.11,
2009-09-30,74.6,74.6,54.31,57.67,
2009-12-31,57.66,57.85,52.73,53.3,
2010-03-31,54.12,60.14,52.06,60.14,
2010-06-30,59.21,73.5,58.85,63.27,
2010-09-30,62.49,65.94,57.62,61.47,
2010-12-31,61.45,64.72,59.43,64.22,
2011-03-31,64.21,67.29,61.7,61.7,
2011-06-30,61.7,61.7,57.67,58.08,
2011-09-30,58.31,63.41,55.9,59.34,
2011-12-31,59.34,59.34,51.56,51.83,
2012-03-31,53.77,56.83,51.94,55.78,
2012-06-30,59.31,61.21,55.63,58.32,
2012-09-30,59.21,59.21,54.76,55.82,
2012-12-31,55.9,58.68,52.68,57.35,
2013-03-31,57.46,84.77,55.46,75.25,
2013-06-30,75.23,101.97,74.97,87.14,
2013-09-30,82.99,88.23,76.54,78.59,
2013-12-31,78.29,83.75,77.12,82.04,
2014-03-31,81.75,85.96,80.45,82.68,
2014-06-30,82.99,82.99,71.22,82.55,
2014-09-30,81.55,99.31,77.2,98.65,
2014-12-31,100.06,100.06,87.15,93.48,
2015-03-31,93.89,94.27,89.77,94.27,
2015-06-30,95.45,104.07,94.49,103.73,
2015-09-30,102.59,113.46,101.72,108.1,
2015-12-31,108.58,113.13,99.34,106.5,
2016-03-31,104.97,123.29,102.25,110.47,
2016-06-30,109.99,111.11,104.1,106.08,
2016-09-30,103.35,104.53,88.78,93.94,
2016-12-31,91.62,97.98,86.76,97.79,
2017-03-31,97.45,110.06,95.56,109.54,
2017-06-30,109.24,109.5,91.95,98.51,
2017-09-30,95.3,98.75,83.28,84.87,
2017-12-31,83.72,87.56,80.47,87.56,
2018-03-31,86.35,87.82,81.94,86.32,
2018-06-30,85.56,86.76,77.81,80.46,
2018-09-30,79.08,79.88,69.34,70.1,
2018-12-31,69.76,69.76,57.2,67.36,
2019-03-31,66.44,66.44,59.24,59.95,
2019-06-30,59.15,59.35,57.51,58.68,
2019-09-30,58.85,58.94,53.82,54.44,
2019-12-31,54.04,60.99,53.04,60.99,
2020-03-31,59.74,59.74,52.94,52.94,
2020-06-30,53.24,54.9,52.15,54.19,
2020-09-30,54.03,54.03,51.2,52.48,
2020-12-31,51.84,59.99,50.38,59.99,
2021-03-31,58.31,58.31,53.84,55.67,
2021-06-30,56.17,59.76,55.79,59.7,
2021-09-30,59.25,70.61,58.82,70.61,
2021-12-31,70.38,77.13,69.61,77.13,
2022-03-31,77.92,80.65,75.14,79.08,
2022-06-30,79.35,80.13,75.74,76.63,
2022-09-30,76.44,79.78,75.95,77.37,
2022-12-31,76.97,76.97,70.31,75.51,
2023-03-31,75.27,78.5,71.55,75.02,
2023-06-30,74.67,78.37,73.92,78.37,
2023-09-30,78.55,86.27,78.48,84.22,
2023-12-31,84.46,86.42,83.82,86.42,
2024-03-31,85.85,88.05,83.64,87.81,
2024-06-30,88.0,93.65,86.47,92.39,
2024-09-30,92.48,100.24,91.21,99.12,
2024-12-31,99.66,102.06,99.05,100.62,
2025-03-31,101.31,115.67,97.74,114.86,
2025-06-30,113.51,124.56,112.66,123.39,
2025-09-30,123.03,135.92,120.31,135.92,
2025-12-31,135.92,150.14,135.15,148.41,
