Date,Open,High,Low,Close,Volume
1999-06-21,100.1,105.96,100.1,105.96,
1999-06-28,104.69,104.69,104.69,104.69,
1999-07-05,104.69,104.69,102.08,102.08,
1999-07-12,102.27,102.28,102.26,102.28,
1999-07-19,104.28,104.28,101.87,101.87,
1999-07-26,101.87,101.87,101.67,101.67,
1999-08-02,101.67,101.67,101.46,101.46,
1999-08-09,105.92,106.59,105.92,106.59,
1999-08-16,106.59,106.59,106.57,106.57,
1999-08-23,105.42,105.42,103.8,103.8,
1999-08-30,102.72,102.72,102.49,102.49,
1999-09-06,102.49,102.49,102.49,102.49,
1999-09-13,102.49,102.49,101.45,101.45,
1999-09-20,101.45,101.45,101.45,101.45,
1999-09-27,101.45,101.45,101.45,101.45,
1999-10-04,101.45,101.45,101.45,101.45,
1999-10-11,101.45,101.45,101.45,101.45,
1999-10-18,101.45,101.45,101.45,101.45,
1999-10-25,101.45,101.45,101.45,101.45,
1999-11-01,101.45,101.45,101.45,101.45,
1999-11-08,94.31,101.77,94.31,101.77,
1999-11-15,105.92,110.38,105.92,110.38,
1999-11-22,105.92,105.96,105.92,105.96,
1999-11-29,105.92,105.92,105.92,105.92,
1999-12-06,105.92,105.92,105.9,105.9,
1999-12-13,107.9,109.6,107.9,108.01,
1999-12-20,108.01,108.83,108.01,108.83,
1999-12-27,111.83,112.83,111.83,112.83,
2000-01-03,116.87,125.12,116.87,125.12,
2000-01-10,125.12,125.12,125.12,125.12,
2000-01-17,115.72,115.72,115.72,115.72,
2000-01-24,115.72,115.72,115.72,115.72,
2000-01-31,115.72,115.72,115.72,115.72,
2000-02-07,115.72,115.72,115.21,115.21,
2000-02-14,115.21,115.21,115.21,115.21,
2000-02-21,115.21,115.21,115.21,115.21,
2000-02-28,115.21,115.21,115.21,115.21,
2000-03-06,115.21,115.21,115.21,115.21,
2000-03-13,115.21,115.21,105.03,105.03,
2000-03-20,105.03,105.06,105.03,105.06,
2000-03-27,105.03,105.05,105.03,105.05,
2000-04-03,105.05,107.09,105.05,107.09,
2000-04-10,107.09,107.09,107.09,107.09,
2000-04-17,107.09,107.09,107.09,107.09,
2000-04-24,107.09,107.09,107.09,107.09,
2000-05-01,107.07,107.07,107.07,107.07,
2000-05-08,107.07,107.07,107.07,107.07,
2000-05-15,107.07,107.07,107.07,107.07,
2000-05-22,107.07,107.07,107.07,107.07,
2000-05-29,107.07,107.07,107.07,107.07,
2000-06-05,107.07,107.07,107.07,107.07,
2000-06-12,107.07,107.07,107.07,107.07,
2000-06-19,107.07,107.07,107.07,107.07,
2000-06-26,107.07,107.07,107.07,107.07,
2000-07-03,107.07,107.07,107.05,107.05,
2000-07-10,107.5,107.5,106.39,106.39,
2000-07-17,106.39,106.39,106.39,106.39,
2000-07-24,106.39,106.39,106.39,106.39,
2000-07-31,106.39,106.39,106.36,106.36,
2000-08-07,106.36,106.36,106.36,106.36,
2000-08-14,106.36,106.36,106.36,106.36,
2000-08-21,106.36,106.36,106.32,106.32,
2000-08-28,106.3,106.3,106.3,106.3,
2000-09-04,106.3,106.3,106.3,106.3,
2000-09-11,106.3,106.3,106.17,106.17,
2000-09-18,106.04,106.04,106.04,106.04,
2000-09-25,98.0,106.04,98.0,106.04,
2000-10-02,102.04,102.04,102.04,102.04,
2000-10-09,102.04,102.04,102.04,102.04,
2000-10-16,102.04,102.04,98.03,98.03,
2000-10-23,98.03,98.03,98.01,98.01,
2000-10-30,98.01,98.01,98.01,98.01,
2000-11-06,98.01,98.01,98.0,98.0,
2000-11-13,98.0,98.0,98.0,98.0,
2000-11-20,98.0,98.0,98.0,98.0,
2000-11-27,97.79,98.27,94.81,94.81,
2000-12-04,98.21,98.21,96.57,96.57,
2000-12-11,100.1,107.95,100.1,107.95,
2000-12-18,107.72,107.72,106.95,106.95,
2000-12-25,106.95,106.95,106.95,106.95,
2001-01-01,106.95,106.95,106.95,106.95,
2001-01-08,106.95,106.95,106.95,106.95,
2001-01-15,106.95,107.19,106.29,107.19,
2001-01-22,107.43,107.43,107.43,107.43,
2001-01-29,107.43,107.44,107.43,107.44,
2001-02-05,107.57,107.57,107.57,107.57,
2001-02-12,107.57,107.76,107.57,107.76,
2001-02-19,107.81,107.91,107.81,107.91,
2001-02-26,108.15,108.38,108.15,108.38,
2001-03-05,108.38,108.38,108.14,108.14,
2001-03-12,108.14,108.14,107.9,108.14,
2001-03-19,108.14,108.14,99.77,99.77,
2001-03-26,99.77,99.77,99.77,99.77,
2001-04-02,99.77,99.77,99.77,99.77,
2001-04-09,99.77,99.77,99.77,99.77,
2001-04-16,99.77,99.82,99.77,99.82,
2001-04-23,99.82,100.24,99.82,100.24,
2001-04-30,100.25,101.95,100.25,101.95,
2001-05-07,101.95,102.97,101.95,102.97,
2001-05-14,103.65,103.65,103.65,103.65,
