Date,Open,High,Low,Close,Volume
1999-12-31,100.1,125.12,94.31,125.12,
2000-12-31,125.12,125.12,94.81,106.95,
2001-12-31,106.95,133.7,86.67,133.7,
2002-12-31,133.7,140.08,99.42,134.98,
2003-12-31,134.95,138.83,98.6,138.83,
2004-12-31,138.83,139.21,101.99,131.68,
2005-12-31,131.68,142.82,112.42,142.82,
2006-12-31,142.82,228.33,75.11,75.48,
2007-12-31,75.48,118.32,70.2,97.36,
2008-12-31,95.8,163.47,94.39,94.43,
2009-12-31,94.43,101.12,49.63,53.3,
2010-12-31,54.12,73.5,52.06,64.22,
2011-12-31,64.21,67.29,51.56,51.83,
2012-12-31,53.77,61.21,51.94,57.35,
2013-12-31,57.46,101.97,55.46,82.04,
2014-12-31,81.75,100.06,71.22,93.48,
2015-12-31,93.89,113.46,89.77,106.5,
2016-12-31,104.97,123.29,86.76,97.79,
2017-12-31,97.45,110.06,80.47,87.56,
2018-12-31,86.35,87.82,57.2,67.36,
2019-12-31,66.44,66.44,53.04,60.99,
2020-12-31,59.74,59.99,50.38,59.99,
2021-12-31,58.31,77.13,53.84,77.13,
2022-12-31,77.92,80.65,70.31,75.51,
2023-12-31,75.27,86.42,71.55,86.42,
2024-12-31,85.85,102.06,83.64,100.62,
2025-12-31,101.31,150.14,97.74,148.41,
