Date,Open,High,Low,Close,Volume
1999-06-16,100.01,100.01,100.01,100.01,
1999-06-18,100.1,100.1,100.1,100.1,
1999-06-21,100.25,100.25,100.25,100.25,
1999-06-23,100.08,100.08,100.08,100.08,
1999-06-25,100.66,100.66,100.66,100.66,
1999-06-28,100.75,100.75,100.75,100.75,
1999-06-30,101.7,101.7,101.7,101.7,
1999-07-02,97.78,97.78,97.78,97.78,
1999-07-05,97.52,97.52,97.52,97.52,
1999-07-07,93.47,93.47,93.47,93.47,
1999-07-09,95.84,95.84,95.84,95.84,
1999-07-12,97.11,97.11,97.11,97.11,
1999-07-14,94.16,94.16,94.16,94.16,
1999-07-16,94.0,94.0,94.0,94.0,
1999-07-19,93.92,93.92,93.92,93.92,
1999-07-21,93.14,93.14,93.14,93.14,
1999-07-23,94.15,94.15,94.15,94.15,
1999-07-26,94.27,94.27,94.27,94.27,
1999-07-28,94.52,94.52,94.52,94.52,
1999-07-30,94.52,94.52,94.52,94.52,
1999-08-02,94.15,94.15,94.15,94.15,
1999-08-04,94.83,94.83,94.83,94.83,
1999-08-06,94.83,94.83,94.83,94.83,
1999-08-09,94.84,94.84,94.84,94.84,
1999-08-11,93.35,93.35,93.35,93.35,
1999-08-13,93.18,93.18,93.18,93.18,
1999-08-16,93.39,93.39,93.39,93.39,
1999-08-18,93.38,93.38,93.38,93.38,
1999-08-20,93.12,93.12,93.12,93.12,
1999-08-23,93.27,93.27,93.27,93.27,
1999-08-25,92.46,92.46,92.46,92.46,
1999-08-27,91.75,91.75,91.75,91.75,
1999-08-30,91.99,91.99,91.99,91.99,
1999-09-01,92.14,92.14,92.14,92.14,
1999-09-03,93.03,93.03,93.03,93.03,
1999-09-06,93.41,93.41,93.41,93.41,
1999-09-08,93.08,93.08,93.08,93.08,
1999-09-10,92.9,92.9,92.9,92.9,
1999-09-13,92.79,92.79,92.79,92.79,
1999-09-15,91.84,91.84,91.84,91.84,
1999-09-17,91.81,91.81,91.81,91.81,
1999-09-20,91.75,91.75,91.75,91.75,
1999-09-22,92.43,92.43,92.43,92.43,
1999-09-24,92.27,92.27,92.27,92.27,
1999-09-27,92.43,92.43,92.43,92.43,
1999-09-29,92.43,92.43,92.43,92.43,
1999-10-01,92.22,92.22,92.22,92.22,
1999-10-06,93.4,93.4,93.4,93.4,
1999-10-08,92.53,92.53,92.53,92.53,
1999-10-11,92.46,92.46,92.46,92.46,
1999-10-13,93.52,93.52,93.52,93.52,
1999-10-15,93.38,93.38,93.38,93.38,
1999-10-18,93.63,93.63,93.63,93.63,
1999-10-20,93.99,93.99,93.99,93.99,
1999-10-22,94.38,94.38,94.38,94.38,
1999-10-25,94.45,94.45,94.45,94.45,
1999-10-27,94.29,94.29,94.29,94.29,
1999-10-29,94.42,94.42,94.42,94.42,
1999-11-03,94.95,94.95,94.95,94.95,
1999-11-05,94.15,94.15,94.15,94.15,
1999-11-08,94.12,94.12,94.12,94.12,
1999-11-10,94.02,94.02,94.02,94.02,
1999-11-12,92.54,92.54,92.54,92.54,
1999-11-17,91.03,91.03,91.03,91.03,
1999-11-19,92.25,92.25,92.25,92.25,
1999-11-22,92.02,92.02,92.02,92.02,
1999-11-24,92.18,92.18,92.18,92.18,
1999-11-26,92.2,92.2,92.2,92.2,
1999-11-29,92.18,92.18,92.18,92.18,
1999-12-01,92.18,92.18,92.18,92.18,
1999-12-03,91.08,91.08,91.08,91.08,
1999-12-06,91.01,91.01,91.01,91.01,
1999-12-08,91.01,91.01,91.01,91.01,
1999-12-10,91.11,91.11,91.11,91.11,
1999-12-13,91.11,91.11,91.11,91.11,
1999-12-15,91.11,91.11,91.11,91.11,
1999-12-17,90.68,90.68,90.68,90.68,
1999-12-20,90.69,90.69,90.69,90.69,
1999-12-22,90.69,90.69,90.69,90.69,
1999-12-27,91.32,91.32,91.32,91.32,
1999-12-29,92.45,92.45,92.45,92.45,
1999-12-31,94.27,94.27,94.27,94.27,
2000-01-05,94.28,94.28,94.28,94.28,
2000-01-07,93.65,93.65,93.65,93.65,
2000-01-10,91.1,91.1,91.1,91.1,
2000-01-12,90.42,90.42,90.42,90.42,
2000-01-14,90.31,90.31,90.31,90.31,
2000-01-17,90.02,90.02,90.02,90.02,
2000-01-19,90.19,90.19,90.19,90.19,
2000-01-21,89.78,89.78,89.78,89.78,
2000-01-24,89.75,89.75,89.75,89.75,
2000-01-26,87.46,87.46,87.46,87.46,
2000-01-28,86.92,86.92,86.92,86.92,
2000-01-31,86.23,86.23,86.23,86.23,
2000-02-02,84.57,84.57,84.57,84.57,
2000-02-04,84.77,84.77,84.77,84.77,
2000-02-07,84.38,84.38,84.38,84.38,
2000-02-09,84.35,84.35,84.35,84.35,
2000-02-11,84.31,84.31,84.31,84.31,
2000-02-14,84.31,84.31,84.31,84.31,
2000-02-16,84.46,84.46,84.46,84.46,
2000-02-18,84.33,84.33,84.33,84.33,
2000-02-21,84.33,84.33,84.33,84.33,
2000-02-23,84.33,84.33,84.33,84.33,
2000-02-25,84.34,84.34,84.34,84.34,
2000-02-28,84.32,84.32,84.32,84.32,
2000-03-01,84.64,84.64,84.64,84.64,
2000-03-03,84.65,84.65,84.65,84.65,
2000-03-06,84.04,84.04,84.04,84.04,
2000-03-08,83.97,83.97,83.97,83.97,
2000-03-10,83.91,83.91,83.91,83.91,
2000-03-13,83.91,83.91,83.91,83.91,
2000-03-15,83.9,83.9,83.9,83.9,
2000-03-17,83.9,83.9,83.9,83.9,
2000-03-20,84.17,84.17,84.17,84.17,
2000-03-22,85.53,85.53,85.53,85.53,
2000-03-24,85.53,85.53,85.53,85.53,
2000-03-27,85.53,85.53,85.53,85.53,
2000-03-29,84.38,84.38,84.38,84.38,
2000-03-31,84.39,84.39,84.39,84.39,
2000-04-03,85.46,85.46,85.46,85.46,
2000-04-05,85.3,85.3,85.3,85.3,
2000-04-07,85.17,85.17,85.17,85.17,
2000-04-10,85.24,85.24,85.24,85.24,
2000-04-12,85.04,85.04,85.04,85.04,
2000-04-14,84.82,84.82,84.82,84.82,
2000-04-17,84.77,84.77,84.77,84.77,
2000-04-19,84.77,84.77,84.77,84.77,
2000-04-21,84.77,84.77,84.77,84.77,
2000-04-26,84.77,84.77,84.77,84.77,
2000-04-28,84.81,84.81,84.81,84.81,
2000-05-03,84.89,84.89,84.89,84.89,
2000-05-05,84.86,84.86,84.86,84.86,
2000-05-08,84.86,84.86,84.86,84.86,
2000-05-10,84.86,84.86,84.86,84.86,
2000-05-12,84.81,84.81,84.81,84.81,
2000-05-15,84.81,84.81,84.81,84.81,
2000-05-17,84.88,84.88,84.88,84.88,
2000-05-19,84.2,84.2,84.2,84.2,
2000-05-22,84.33,84.33,84.33,84.33,
2000-05-24,84.29,84.29,84.29,84.29,
2000-05-26,83.97,83.97,83.97,83.97,
2000-05-29,83.97,83.97,83.97,83.97,
2000-05-31,93.96,93.96,93.96,93.96,
2000-06-02,83.96,83.96,83.96,83.96,
2000-06-05,83.96,83.96,83.96,83.96,
2000-06-07,84.04,84.04,84.04,84.04,
2000-06-09,84.14,84.14,84.14,84.14,
2000-06-16,84.14,84.14,84.14,84.14,
2000-06-19,84.14,84.14,84.14,84.14,
2000-06-21,84.14,84.14,84.14,84.14,
2000-06-23,84.18,84.18,84.18,84.18,
2000-06-26,84.07,84.07,84.07,84.07,
2000-06-28,84.07,84.07,84.07,84.07,
2000-06-30,84.1,84.1,84.1,84.1,
2000-07-03,84.14,84.14,84.14,84.14,
2000-07-07,83.28,83.28,83.28,83.28,
2000-07-10,82.22,82.22,82.22,82.22,
2000-07-12,82.31,82.31,82.31,82.31,
2000-07-14,82.44,82.44,82.44,82.44,
2000-07-17,82.38,82.38,82.38,82.38,
2000-07-19,81.4,81.4,81.4,81.4,
2000-07-21,80.17,80.17,80.17,80.17,
2000-07-26,80.08,80.08,80.08,80.08,
2000-07-31,81.6,81.6,81.6,81.6,
2000-08-04,79.83,79.83,79.83,79.83,
2000-08-09,79.53,79.53,79.53,79.53,
2000-08-11,78.4,78.4,78.4,78.4,
2000-08-14,77.4,77.4,77.4,77.4,
2000-08-16,77.15,77.15,77.15,77.15,
2000-08-18,78.01,78.01,78.01,78.01,
2000-08-21,77.15,77.15,77.15,77.15,
2000-08-28,78.73,78.73,78.73,78.73,
2000-08-30,78.5,78.5,78.5,78.5,
2000-09-01,78.63,78.63,78.63,78.63,
2000-09-04,78.63,78.63,78.63,78.63,
2000-09-06,78.63,78.63,78.63,78.63,
2000-09-08,78.17,78.17,78.17,78.17,
2000-09-11,78.17,78.17,78.17,78.17,
2000-09-13,78.15,78.15,78.15,78.15,
2000-09-15,78.55,78.55,78.55,78.55,
2000-09-20,77.06,77.06,77.06,77.06,
2000-09-22,77.43,77.43,77.43,77.43,
2000-09-27,77.37,77.37,77.37,77.37,
2000-09-29,76.45,76.45,76.45,76.45,
2000-10-02,76.08,76.08,76.08,76.08,
2000-10-09,75.55,75.55,75.55,75.55,
2000-10-11,75.55,75.55,75.55,75.55,
