Date,Open,High,Low,Close,Volume
1999-06-30,100.01,101.7,100.01,101.7,
1999-07-31,97.78,97.78,93.14,94.52,
1999-08-31,94.15,94.84,91.75,91.99,
1999-09-30,92.14,93.41,91.75,92.43,
1999-10-31,92.22,94.45,92.22,94.42,
1999-11-30,94.95,94.95,91.03,92.18,
1999-12-31,92.18,94.27,90.68,94.27,
2000-01-31,94.28,94.28,86.23,86.23,
2000-02-29,84.57,84.77,84.31,84.32,
2000-03-31,84.64,85.53,83.9,84.39,
2000-04-30,85.46,85.46,84.77,84.81,
2000-05-31,84.89,93.96,83.97,93.96,
2000-06-30,83.96,84.18,83.96,84.1,
2000-07-31,84.14,84.14,80.08,81.6,
2000-08-31,79.83,79.83,77.15,78.5,
2000-09-30,78.63,78.63,76.45,76.45,
2000-10-31,76.08,76.6,75.55,76.42,
2000-11-30,76.37,77.44,76.29,77.28,
2000-12-31,77.54,78.44,77.53,78.31,
2001-01-31,78.41,78.41,75.56,75.56,
2001-02-28,75.63,76.2,75.57,76.2,
2001-03-31,76.11,76.75,76.04,76.75,
2001-04-30,76.75,77.34,75.47,75.49,
2001-05-31,75.48,80.98,75.42,80.98,
2001-06-30,80.87,80.87,76.66,76.66,
2001-07-31,76.66,76.66,74.16,74.16,
2001-08-31,73.9,73.9,71.65,71.76,
2001-09-30,71.76,73.62,71.76,73.46,
2001-10-31,72.95,72.95,72.55,72.63,
2001-11-30,72.63,72.85,72.01,72.01,
2001-12-31,72.01,80.23,71.45,80.23,
2002-01-31,80.23,80.23,74.59,74.59,
2002-02-28,74.59,74.59,71.29,71.29,
2002-03-31,71.29,71.29,69.13,70.36,
2002-04-30,71.11,71.18,70.21,70.21,
2002-05-31,70.09,72.51,70.09,71.86,
2002-06-30,71.69,71.9,69.89,70.26,
2002-07-31,70.11,70.17,68.54,69.36,
2002-08-31,68.8,68.8,68.11,68.11,
2002-09-30,68.13,68.67,68.07,68.55,
2002-10-31,68.42,69.19,67.5,68.82,
2002-11-30,68.82,72.39,68.82,72.39,
2002-12-31,72.4,76.32,72.31,75.96,
2003-01-31,75.96,75.96,73.25,73.9,
2003-02-28,73.9,73.9,73.05,73.05,
2003-03-31,73.05,73.05,68.18,68.18,
2003-04-30,67.89,67.89,66.27,66.64,
2003-05-31,66.64,67.01,66.41,66.78,
2003-06-30,66.13,68.87,65.6,65.6,
2003-07-31,65.61,66.5,64.2,66.5,
2003-08-31,66.23,66.26,64.39,64.89,
2003-09-30,64.67,67.47,64.67,67.47,
2003-10-31,66.63,67.93,66.12,67.93,
2003-11-30,67.93,67.93,66.16,66.65,
2003-12-31,66.66,75.29,66.53,75.29,
2004-01-31,75.29,75.46,70.92,70.92,
2004-02-29,70.93,70.93,68.2,68.2,
2004-03-31,68.2,72.38,68.2,71.69,
2004-04-30,71.69,71.69,68.58,68.58,
2004-05-31,68.58,68.69,65.65,67.3,
2004-06-30,68.22,68.69,66.11,66.99,
2004-07-31,66.99,66.99,66.28,66.69,
2004-08-31,66.69,68.24,66.23,68.24,
2004-09-30,68.24,68.55,65.82,66.75,
2004-10-31,67.45,67.45,64.69,64.96,
2004-11-30,65.06,65.3,64.44,65.17,
2004-12-31,65.17,72.73,65.17,72.73,
2005-01-31,72.73,72.83,67.37,67.37,
2005-02-28,67.37,67.84,66.58,67.84,
2005-03-31,67.96,70.44,66.96,69.84,
2005-04-30,69.73,69.73,68.76,69.07,
2005-05-31,69.07,69.35,65.83,69.35,
2005-06-30,69.52,69.52,65.74,66.31,
2005-07-31,66.73,66.8,65.8,66.67,
2005-08-31,66.25,66.35,65.12,65.23,
2005-09-30,65.38,67.28,65.38,66.31,
2005-10-31,66.34,67.21,63.95,63.97,
2005-11-30,63.92,65.03,63.49,64.02,
2005-12-31,65.44,66.54,65.04,65.93,
2006-01-31,65.93,65.93,64.93,64.93,
2006-02-28,64.93,64.93,64.23,64.23,
2006-03-31,64.23,66.84,62.7,66.84,
2006-04-30,66.89,66.89,65.19,65.19,
2006-05-31,65.19,65.25,58.75,58.75,
2006-06-30,59.28,59.28,56.45,56.45,
2006-07-31,56.29,56.29,54.76,55.62,
2006-08-31,56.38,60.51,56.35,60.51,
2006-09-30,60.51,61.55,60.51,61.48,
2006-10-31,61.48,64.64,61.48,64.33,
2006-11-30,64.35,64.35,64.0,64.08,
2006-12-31,63.97,64.11,63.77,63.77,
2007-01-31,63.77,64.02,63.34,63.35,
2007-02-28,63.38,64.73,63.38,64.73,
2007-03-31,64.73,72.26,64.73,71.83,
2007-04-30,71.83,73.02,67.86,68.29,
2007-05-31,68.3,77.96,68.21,77.96,
2007-06-30,78.79,103.88,77.62,103.88,
2007-07-31,104.9,111.11,104.9,111.11,
2007-08-31,111.31,133.72,111.31,133.72,
2007-09-30,135.22,146.27,135.02,142.61,
2007-10-31,142.14,142.14,138.96,139.36,
2007-11-30,139.27,139.74,136.12,139.63,
2007-12-31,139.79,141.67,139.61,140.7,
2008-01-31,140.7,142.31,140.51,142.31,
2008-02-29,142.56,143.6,142.41,143.6,
2008-03-31,143.28,145.48,143.28,145.37,
2008-04-30,145.37,145.81,143.93,143.93,
2008-05-31,144.08,149.91,138.27,138.36,
2008-06-30,138.46,139.89,135.81,139.86,
2008-07-31,140.71,154.83,140.71,154.83,
2008-08-31,154.5,169.49,154.5,169.49,
2008-09-30,169.76,170.73,160.87,160.87,
2008-10-31,160.15,160.15,148.82,148.82,
2008-11-30,148.82,148.82,140.92,141.93,
2008-12-31,142.27,142.27,135.95,140.44,
2009-01-31,132.43,132.43,131.12,131.12,
2009-02-28,131.11,131.11,128.63,128.85,
2009-03-31,128.48,128.48,122.89,122.89,
2009-04-30,122.89,123.09,120.37,123.09,
2009-05-31,123.09,133.64,123.09,123.78,
2009-06-30,123.68,123.68,105.93,114.31,
2009-07-31,114.07,115.92,109.14,109.84,
2009-08-31,109.5,109.86,104.44,104.8,
2009-09-30,101.9,101.9,94.58,94.67,
2009-10-31,94.53,94.53,92.06,92.06,
2009-11-30,91.38,96.46,91.33,96.46,
2009-12-31,96.46,96.46,93.57,96.01,
2010-01-31,95.39,95.39,88.59,89.13,
2010-02-28,89.06,90.31,87.75,89.74,
2010-03-31,89.74,94.05,89.12,91.96,
2010-04-30,93.11,93.93,88.73,91.5,
2010-05-31,91.52,91.57,91.22,91.22,
2010-06-30,90.75,90.76,84.42,85.44,
2010-07-31,85.55,85.55,74.31,74.89,
2010-08-31,74.96,80.07,74.96,77.49,
2010-09-30,77.5,84.92,77.5,83.35,
2010-10-31,83.31,96.63,83.31,95.73,
2010-11-30,95.63,95.63,93.3,93.3,
2010-12-31,93.29,94.36,91.68,93.06,
2011-01-31,93.06,93.06,90.66,90.66,
2011-02-28,90.73,90.73,89.26,89.26,
2011-03-31,90.23,90.24,90.17,90.17,
2011-04-30,90.17,90.17,90.17,90.17,
2011-05-31,90.17,90.17,82.56,82.59,
2011-06-30,82.06,83.7,80.84,82.67,
2011-07-31,82.67,82.99,78.23,79.4,
2011-08-31,79.4,82.5,79.4,80.97,
2011-09-30,82.01,82.24,79.18,79.41,
2011-10-31,79.75,80.54,78.29,78.29,
2011-11-30,78.12,79.43,77.48,78.7,
2011-12-31,79.24,79.24,77.02,77.54,
2012-01-31,77.49,78.4,77.11,78.37,
2012-02-29,78.38,78.38,77.72,77.96,
2012-03-31,78.18,83.92,77.97,83.27,
2012-04-30,83.47,83.47,80.69,80.77,
2012-05-31,80.77,81.36,80.07,81.34,
2012-06-30,81.43,81.82,81.09,81.48,
2012-07-31,81.55,84.71,81.55,83.57,
2012-08-31,84.43,85.51,83.14,84.54,
2012-09-30,83.77,85.33,83.77,85.33,
2012-10-31,85.33,88.99,84.91,87.63,
2012-11-30,87.63,98.74,87.6,93.47,
2012-12-31,93.4,94.64,92.09,94.64,
2013-01-31,94.72,101.5,94.24,101.42,
2013-02-28,101.63,106.31,101.63,106.31,
2013-03-31,105.43,106.03,101.28,104.02,
2013-04-30,105.0,107.54,104.66,106.89,
2013-05-31,106.89,113.32,104.48,113.15,
2013-06-30,113.18,114.55,110.81,113.78,
2013-07-31,115.21,115.25,113.75,114.3,
2013-08-31,114.67,115.16,111.92,113.68,
2013-09-30,117.33,123.2,117.33,122.98,
2013-10-31,122.6,128.57,122.6,127.57,
2013-11-30,127.44,136.67,127.44,136.67,
2013-12-31,138.21,147.38,136.93,147.38,
2014-01-31,147.23,154.7,145.66,154.7,
2014-02-28,153.48,160.44,153.48,159.12,
2014-03-31,158.29,161.25,155.79,159.72,
2014-04-30,159.78,169.78,159.77,167.83,
2014-05-31,167.65,169.26,161.84,168.87,
2014-06-30,170.31,170.57,168.19,168.46,
2014-07-31,168.48,168.48,159.48,161.41,
2014-08-31,161.71,161.71,157.94,159.16,
2014-09-30,159.93,167.91,158.92,165.97,
2014-10-31,167.31,167.31,148.31,148.31,
2014-11-30,142.67,156.19,135.6,155.99,
2014-12-31,154.77,161.13,154.77,161.13,
2015-01-31,161.13,161.35,154.31,161.08,
2015-02-28,160.65,166.6,160.65,164.29,
2015-03-31,162.97,165.54,158.19,158.19,
2015-04-30,157.59,159.46,148.28,159.03,
2015-05-31,159.91,163.57,156.35,161.92,
2015-06-30,162.32,175.11,161.11,165.24,
2015-07-31,165.7,166.25,160.98,160.98,
2015-08-31,161.15,165.69,161.15,162.42,
2015-09-30,164.2,165.24,160.81,162.88,
2015-10-31,164.63,165.51,161.33,163.35,
2015-11-30,162.76,176.4,162.76,176.4,
2015-12-31,176.82,177.72,167.99,174.11,
2016-01-31,173.73,173.73,165.37,169.35,
2016-02-29,169.51,180.82,169.51,170.86,
2016-03-31,169.78,183.13,169.78,183.13,
2016-04-30,182.7,196.67,182.7,193.27,
2016-05-31,190.81,194.02,185.51,185.51,
2016-06-30,183.52,188.98,179.71,188.98,
2016-07-31,188.67,189.12,172.26,181.31,
2016-08-31,182.3,183.62,175.02,175.3,
2016-09-30,175.0,176.1,163.04,167.96,
2016-10-31,165.91,165.91,155.46,156.85,
2016-11-30,156.72,156.72,150.82,153.52,
2016-12-31,151.0,156.91,149.72,156.91,
2017-01-31,146.51,155.86,145.02,145.71,
2017-02-28,145.29,147.0,142.61,143.82,
2017-03-31,144.65,144.65,135.95,138.6,
2017-04-30,138.25,138.25,126.87,126.87,
2017-05-31,131.45,134.16,128.03,132.8,
2017-06-30,130.85,130.85,119.81,119.81,
2017-07-31,118.66,118.66,112.68,116.3,
2017-08-31,116.11,116.32,108.55,108.55,
2017-09-30,107.24,113.44,107.24,113.44,
2017-10-31,114.41,118.74,109.17,111.01,
2017-11-30,113.39,113.39,99.85,102.04,
2017-12-31,103.58,104.48,101.87,103.0,
2018-01-31,103.2,103.2,96.18,97.61,
2018-02-28,96.11,97.75,93.45,97.75,
2018-03-31,94.76,106.1,94.76,105.6,
2018-04-30,104.76,105.72,93.74,94.58,
2018-05-31,92.57,92.57,83.62,83.62,
2018-06-30,83.29,83.44,78.62,83.02,
2018-07-31,82.57,82.86,75.66,77.94,
2018-08-31,78.06,78.06,70.48,72.9,
2018-09-30,71.64,71.87,65.75,65.75,
2018-10-31,65.79,65.79,56.67,57.01,
2018-11-30,56.89,56.89,53.3,53.71,
2018-12-31,53.45,57.27,52.69,57.27,
2019-01-31,58.55,58.55,53.81,55.0,
2019-02-28,54.83,54.83,49.22,49.55,
2019-03-31,49.64,49.64,45.85,45.85,
2019-04-30,45.29,48.01,43.69,48.01,
2019-05-31,48.26,49.57,45.4,45.4,
2019-06-30,45.19,45.19,42.33,43.11,
2019-07-31,43.37,43.76,41.04,42.15,
2019-08-31,41.34,43.01,41.02,42.9,
2019-09-30,42.57,42.57,38.16,38.16,
2019-10-31,37.32,38.53,36.05,36.59,
2019-11-30,36.41,37.11,34.15,34.72,
2019-12-31,35.1,37.66,33.61,37.66,
2020-01-31,37.56,37.88,35.09,37.52,
2020-02-29,37.63,37.63,34.37,35.09,
2020-03-31,34.87,35.52,33.77,33.77,
2020-04-30,33.68,33.7,32.72,32.72,
2020-05-31,33.13,33.44,32.8,33.23,
2020-06-30,33.26,34.49,33.26,34.49,
2020-07-31,34.47,34.47,33.47,33.52,
2020-08-31,33.26,33.27,32.02,33.27,
2020-09-30,32.81,33.96,31.98,33.35,
2020-10-31,33.33,33.59,31.24,33.59,
2020-11-30,34.03,35.5,32.49,34.87,
2020-12-31,34.53,36.25,34.37,36.25,
2021-01-31,36.48,39.3,35.98,39.3,
2021-02-28,40.06,41.21,38.5,39.62,
2021-03-31,39.54,40.01,39.34,40.01,
2021-04-30,39.7,48.88,39.26,48.88,
2021-05-31,49.38,70.9,49.38,70.9,
2021-06-30,70.28,73.53,67.92,72.54,
2021-07-31,72.72,80.8,72.72,77.61,
2021-08-31,77.65,96.22,75.56,87.17,
2021-09-30,87.26,87.26,82.76,86.08,
2021-10-31,86.51,102.31,85.77,102.31,
2021-11-30,98.49,104.65,96.89,103.09,
2021-12-31,102.74,110.11,102.27,110.11,
2022-01-31,106.31,115.96,106.3,115.96,
2022-02-28,115.79,117.21,114.29,116.42,
2022-03-31,117.58,120.76,113.22,120.76,
2022-04-30,118.97,127.01,114.78,123.08,
2022-05-31,121.05,121.05,103.96,110.31,
2022-06-30,108.59,117.28,105.64,115.01,
2022-07-31,115.31,116.43,111.0,111.0,
2022-08-31,110.74,110.74,97.45,101.22,
2022-09-30,98.19,106.35,98.19,103.57,
2022-10-31,102.82,106.14,101.16,105.22,
2022-11-30,105.28,105.54,92.21,95.35,
2022-12-31,93.91,104.67,93.91,104.22,
2023-01-31,104.52,104.52,93.78,95.25,
2023-02-28,96.15,99.53,94.27,97.49,
2023-03-31,97.8,98.58,96.92,97.35,
2023-04-30,96.94,98.99,94.66,96.53,
2023-05-31,97.61,101.77,95.05,98.97,
2023-06-30,97.1,97.35,93.09,97.08,
2023-07-31,97.11,104.27,97.11,104.27,
2023-08-31,102.59,103.4,98.92,100.92,
2023-09-30,100.95,107.14,100.46,107.14,
2023-10-31,104.48,104.48,96.64,101.53,
2023-11-30,100.76,103.87,99.89,103.11,
2023-12-31,102.6,103.53,99.09,101.03,
2024-01-31,101.75,101.85,99.61,100.32,
2024-02-29,101.43,102.66,100.64,101.91,
2024-03-31,101.62,103.11,99.83,102.16,
2024-04-30,102.78,104.24,101.17,104.24,
2024-05-31,103.91,105.79,103.42,105.7,
2024-06-30,104.3,107.97,104.3,107.24,
2024-07-31,106.37,108.22,105.51,108.22,
2024-08-31,106.0,107.4,104.06,106.51,
2024-09-30,106.41,115.53,106.41,115.53,
2024-10-31,118.62,132.7,117.92,128.93,
2024-11-30,128.48,128.48,117.48,121.52,
2024-12-31,123.63,126.48,117.64,117.64,
2025-01-31,120.71,121.08,115.54,119.54,
2025-02-28,120.3,131.9,120.3,131.9,
2025-03-31,131.61,143.15,131.52,140.06,
2025-04-30,139.69,143.66,137.91,142.38,
2025-05-31,142.43,183.67,142.43,183.67,
2025-06-30,187.4,194.83,184.18,194.19,
2025-07-31,193.08,255.28,193.08,255.28,
2025-08-31,261.41,269.52,261.41,262.79,
2025-09-30,256.92,256.92,206.88,207.08,
2025-10-31,207.68,235.98,207.59,234.91,
2025-11-30,236.1,270.86,224.96,266.59,
2025-12-31,269.25,269.55,255.03,257.22,
