Date,Open,High,Low,Close,Volume
1999-06-30,100.01,101.7,100.01,101.7,
1999-09-30,97.78,97.78,91.75,92.43,
1999-12-31,92.22,94.95,90.68,94.27,
2000-03-31,94.28,94.28,83.9,84.39,
2000-06-30,85.46,93.96,83.96,84.1,
2000-09-30,84.14,84.14,76.45,76.45,
2000-12-31,76.08,78.44,75.55,78.31,
2001-03-31,78.41,78.41,75.56,76.75,
2001-06-30,76.75,80.98,75.42,76.66,
2001-09-30,76.66,76.66,71.65,73.46,
2001-12-31,72.95,80.23,71.45,80.23,
2002-03-31,80.23,80.23,69.13,70.36,
2002-06-30,71.11,72.51,69.89,70.26,
2002-09-30,70.11,70.17,68.07,68.55,
2002-12-31,68.42,76.32,67.5,75.96,
2003-03-31,75.96,75.96,68.18,68.18,
2003-06-30,67.89,68.87,65.6,65.6,
2003-09-30,65.61,67.47,64.2,67.47,
2003-12-31,66.63,75.29,66.12,75.29,
2004-03-31,75.29,75.46,68.2,71.69,
2004-06-30,71.69,71.69,65.65,66.99,
2004-09-30,66.99,68.55,65.82,66.75,
2004-12-31,67.45,72.73,64.44,72.73,
2005-03-31,72.73,72.83,66.58,69.84,
2005-06-30,69.73,69.73,65.74,66.31,
2005-09-30,66.73,67.28,65.12,66.31,
2005-12-31,66.34,67.21,63.49,65.93,
2006-03-31,65.93,66.84,62.7,66.84,
2006-06-30,66.89,66.89,56.45,56.45,
2006-09-30,56.29,61.55,54.76,61.48,
2006-12-31,61.48,64.64,61.48,63.77,
2007-03-31,63.77,72.26,63.34,71.83,
2007-06-30,71.83,103.88,67.86,103.88,
2007-09-30,104.9,146.27,104.9,142.61,
2007-12-31,142.14,142.14,136.12,140.7,
2008-03-31,140.7,145.48,140.51,145.37,
2008-06-30,145.37,149.91,135.81,139.86,
2008-09-30,140.71,170.73,140.71,160.87,
2008-12-31,160.15,160.15,135.95,140.44,
2009-03-31,132.43,132.43,122.89,122.89,
2009-06-30,122.89,133.64,105.93,114.31,
2009-09-30,114.07,115.92,94.58,94.67,
2009-12-31,94.53,96.46,91.33,96.01,
2010-03-31,95.39,95.39,87.75,91.96,
2010-06-30,93.11,93.93,84.42,85.44,
2010-09-30,85.55,85.55,74.31,83.35,
2010-12-31,83.31,96.63,83.31,93.06,
2011-03-31,93.06,93.06,89.26,90.17,
2011-06-30,90.17,90.17,80.84,82.67,
2011-09-30,82.67,82.99,78.23,79.41,
2011-12-31,79.75,80.54,77.02,77.54,
2012-03-31,77.49,83.92,77.11,83.27,
2012-06-30,83.47,83.47,80.07,81.48,
2012-09-30,81.55,85.51,81.55,85.33,
2012-12-31,85.33,98.74,84.91,94.64,
2013-03-31,94.72,106.31,94.24,104.02,
2013-06-30,105.0,114.55,104.48,113.78,
2013-09-30,115.21,123.2,111.92,122.98,
2013-12-31,122.6,147.38,122.6,147.38,
2014-03-31,147.23,161.25,145.66,159.72,
2014-06-30,159.78,170.57,159.77,168.46,
2014-09-30,168.48,168.48,157.94,165.97,
2014-12-31,167.31,167.31,135.6,161.13,
2015-03-31,161.13,166.6,154.31,158.19,
2015-06-30,157.59,175.11,148.28,165.24,
2015-09-30,165.7,166.25,160.81,162.88,
2015-12-31,164.63,177.72,161.33,174.11,
2016-03-31,173.73,183.13,165.37,183.13,
2016-06-30,182.7,196.67,179.71,188.98,
2016-09-30,188.67,189.12,163.04,167.96,
2016-12-31,165.91,165.91,149.72,156.91,
2017-03-31,146.51,155.86,135.95,138.6,
2017-06-30,138.25,138.25,119.81,119.81,
2017-09-30,118.66,118.66,107.24,113.44,
2017-12-31,114.41,118.74,99.85,103.0,
2018-03-31,103.2,106.1,93.45,105.6,
2018-06-30,104.76,105.72,78.62,83.02,
2018-09-30,82.57,82.86,65.75,65.75,
2018-12-31,65.79,65.79,52.69,57.27,
2019-03-31,58.55,58.55,45.85,45.85,
2019-06-30,45.29,49.57,42.33,43.11,
2019-09-30,43.37,43.76,38.16,38.16,
2019-12-31,37.32,38.53,33.61,37.66,
2020-03-31,37.56,37.88,33.77,33.77,
2020-06-30,33.68,34.49,32.72,34.49,
2020-09-30,34.47,34.47,31.98,33.35,
2020-12-31,33.33,36.25,31.24,36.25,
2021-03-31,36.48,41.21,35.98,40.01,
2021-06-30,39.7,73.53,39.26,72.54,
2021-09-30,72.72,96.22,72.72,86.08,
2021-12-31,86.51,110.11,85.77,110.11,
2022-03-31,106.31,120.76,106.3,120.76,
2022-06-30,118.97,127.01,103.96,115.01,
2022-09-30,115.31,116.43,97.45,103.57,
2022-12-31,102.82,106.14,92.21,104.22,
2023-03-31,104.52,104.52,93.78,97.35,
2023-06-30,96.94,101.77,93.09,97.08,
2023-09-30,97.11,107.14,97.11,107.14,
2023-12-31,104.48,104.48,96.64,101.03,
2024-03-31,101.75,103.11,99.61,102.16,
2024-06-30,102.78,107.97,101.17,107.24,
2024-09-30,106.37,115.53,104.06,115.53,
2024-12-31,118.62,132.7,117.48,117.64,
2025-03-31,120.71,143.15,115.54,140.06,
2025-06-30,139.69,194.83,137.91,194.19,
2025-09-30,193.08,269.52,193.08,207.08,
2025-12-31,207.68,270.86,207.59,257.22,
