Date,Open,High,Low,Close,Volume
1999-06-21,100.01,100.25,100.01,100.25,
1999-06-28,100.08,100.75,100.08,100.75,
1999-07-05,101.7,101.7,97.52,97.52,
1999-07-12,93.47,97.11,93.47,97.11,
1999-07-19,94.16,94.16,93.92,93.92,
1999-07-26,93.14,94.27,93.14,94.27,
1999-08-02,94.52,94.52,94.15,94.15,
1999-08-09,94.83,94.84,94.83,94.84,
1999-08-16,93.35,93.39,93.18,93.39,
1999-08-23,93.38,93.38,93.12,93.27,
1999-08-30,92.46,92.46,91.75,91.99,
1999-09-06,92.14,93.41,92.14,93.41,
1999-09-13,93.08,93.08,92.79,92.79,
1999-09-20,91.84,91.84,91.75,91.75,
1999-09-27,92.43,92.43,92.27,92.43,
1999-10-04,92.43,92.43,92.22,92.22,
1999-10-11,93.4,93.4,92.46,92.46,
1999-10-18,93.52,93.63,93.38,93.63,
1999-10-25,93.99,94.45,93.99,94.45,
1999-11-01,94.29,94.42,94.29,94.42,
1999-11-08,94.95,94.95,94.12,94.12,
1999-11-15,94.02,94.02,92.54,92.54,
1999-11-22,91.03,92.25,91.03,92.02,
1999-11-29,92.18,92.2,92.18,92.18,
1999-12-06,92.18,92.18,91.01,91.01,
1999-12-13,91.01,91.11,91.01,91.11,
1999-12-20,91.11,91.11,90.68,90.69,
1999-12-27,90.69,91.32,90.69,91.32,
2000-01-03,92.45,94.27,92.45,94.27,
2000-01-10,94.28,94.28,91.1,91.1,
2000-01-17,90.42,90.42,90.02,90.02,
2000-01-24,90.19,90.19,89.75,89.75,
2000-01-31,87.46,87.46,86.23,86.23,
2000-02-07,84.57,84.77,84.38,84.38,
2000-02-14,84.35,84.35,84.31,84.31,
2000-02-21,84.46,84.46,84.33,84.33,
2000-02-28,84.33,84.34,84.32,84.32,
2000-03-06,84.64,84.65,84.04,84.04,
2000-03-13,83.97,83.97,83.91,83.91,
2000-03-20,83.9,84.17,83.9,84.17,
2000-03-27,85.53,85.53,85.53,85.53,
2000-04-03,84.38,85.46,84.38,85.46,
2000-04-10,85.3,85.3,85.17,85.24,
2000-04-17,85.04,85.04,84.77,84.77,
2000-04-24,84.77,84.77,84.77,84.77,
