Date,Open,High,Low,Close,Volume
1999-12-31,100.01,101.7,90.68,94.27,
2000-12-31,94.28,94.28,75.55,78.31,
2001-12-31,78.41,80.98,71.45,80.23,
2002-12-31,80.23,80.23,67.5,75.96,
2003-12-31,75.96,75.96,64.2,75.29,
2004-12-31,75.29,75.46,64.44,72.73,
2005-12-31,72.73,72.83,63.49,65.93,
2006-12-31,65.93,66.89,54.76,63.77,
2007-12-31,63.77,146.27,63.34,140.7,
2008-12-31,140.7,170.73,135.81,140.44,
2009-12-31,132.43,133.64,91.33,96.01,
2010-12-31,95.39,96.63,74.31,93.06,
2011-12-31,93.06,93.06,77.02,77.54,
2012-12-31,77.49,98.74,77.11,94.64,
2013-12-31,94.72,147.38,94.24,147.38,
2014-12-31,147.23,170.57,135.6,161.13,
2015-12-31,161.13,177.72,148.28,174.11,
2016-12-31,173.73,196.67,149.72,156.91,
2017-12-31,146.51,155.86,99.85,103.0,
2018-12-31,103.2,106.1,52.69,57.27,
2019-12-31,58.55,58.55,33.61,37.66,
2020-12-31,37.56,37.88,31.24,36.25,
2021-12-31,36.48,110.11,35.98,110.11,
2022-12-31,106.31,127.01,92.21,104.22,
2023-12-31,104.52,107.14,93.09,101.03,
2024-12-31,101.75,132.7,99.61,117.64,
2025-12-31,120.71,270.86,115.54,257.22,
