Date,Open,High,Low,Close,Volume
2023-01-02,102.07,102.07,102.07,102.07,0
2023-01-03,100.33,100.33,100.33,100.33,0
2023-01-04,99.38,99.38,99.38,99.38,0
2023-01-05,99.33,99.33,99.33,99.33,0
2023-01-06,98.71,98.71,98.71,98.71,0
2023-01-09,97.52,97.52,97.52,97.52,0
2023-01-10,96.98,96.98,96.98,96.98,0
2023-01-11,96.52,96.52,96.52,96.52,0
2023-01-12,97.15,97.15,97.15,97.15,0
2023-01-13,96.48,96.48,96.48,96.48,0
2023-01-16,96.19,96.19,96.19,96.19,0
2023-01-17,95.1,95.1,95.1,95.1,0
2023-01-18,95.61,95.61,95.61,95.61,0
2023-01-19,95.7,95.7,95.7,95.7,0
2023-01-20,96.03,96.03,96.03,96.03,0
2023-01-23,95.42,95.42,95.42,95.42,0
2023-01-24,95.02,95.02,95.02,95.02,0
2023-01-25,95.16,95.16,95.16,95.16,0
2023-01-26,96.17,96.17,96.17,96.17,0
2023-01-27,95.81,95.81,95.81,95.81,0
2023-01-30,95.96,95.96,95.96,95.96,0
2023-01-31,96.05,96.05,96.05,96.05,0
2023-02-01,97.32,97.32,97.32,97.32,0
2023-02-02,97.23,97.23,97.23,97.23,0
2023-02-03,97.2,97.2,97.2,97.2,0
2023-02-06,97.61,97.61,97.61,97.61,0
2023-02-07,98.0,98.0,98.0,98.0,0
2023-02-08,98.46,98.46,98.46,98.46,0
2023-02-09,98.74,98.74,98.74,98.74,0
2023-02-10,98.59,98.59,98.59,98.59,0
2023-02-13,98.61,98.61,98.61,98.61,0
2023-02-14,98.67,98.67,98.67,98.67,0
2023-02-15,98.31,98.31,98.31,98.31,0
2023-02-16,99.08,99.08,99.08,99.08,0
2023-02-17,99.07,99.07,99.07,99.07,0
2023-02-20,98.36,98.36,98.36,98.36,0
2023-02-21,98.16,98.16,98.16,98.16,0
2023-02-22,98.06,98.06,98.06,98.06,0
2023-02-23,98.23,98.23,98.23,98.23,0
2023-02-24,98.07,98.07,98.07,98.07,0
2023-02-27,97.73,97.73,97.73,97.73,0
2023-02-28,97.41,97.41,97.41,97.41,0
2023-03-01,97.22,97.22,97.22,97.22,0
2023-03-02,97.09,97.09,97.09,97.09,0
2023-03-03,97.34,97.34,97.34,97.34,0
2023-03-06,97.81,97.81,97.81,97.81,0
2023-03-07,98.62,98.62,98.62,98.62,0
2023-03-08,98.25,98.25,98.25,98.25,0
2023-03-09,98.56,98.56,98.56,98.56,0
2023-03-10,99.07,99.07,99.07,99.07,0
2023-03-13,98.87,98.87,98.87,98.87,0
2023-03-14,98.27,98.27,98.27,98.27,0
2023-03-15,98.37,98.37,98.37,98.37,0
2023-03-16,98.08,98.08,98.08,98.08,0
2023-03-17,97.94,97.94,97.94,97.94,0
2023-03-20,97.0,97.0,97.0,97.0,0
2023-03-21,96.6,96.6,96.6,96.6,0
2023-03-22,96.12,96.12,96.12,96.12,0
2023-03-23,96.23,96.23,96.23,96.23,0
2023-03-24,96.41,96.41,96.41,96.41,0
2023-03-27,96.15,96.15,96.15,96.15,0
2023-03-28,95.76,95.76,95.76,95.76,0
2023-03-29,95.67,95.67,95.67,95.67,0
2023-03-30,95.57,95.57,95.57,95.57,0
2023-03-31,95.43,95.43,95.43,95.43,0
2023-04-03,95.09,95.09,95.09,95.09,0
2023-04-04,94.97,94.97,94.97,94.97,0
2023-04-05,94.56,94.56,94.56,94.56,0
2023-04-06,94.81,94.81,94.81,94.81,0
2023-04-07,95.1,95.1,95.1,95.1,0
2023-04-11,95.23,95.23,95.23,95.23,0
2023-04-12,94.69,94.69,94.69,94.69,0
2023-04-13,93.96,93.96,93.96,93.96,0
2023-04-14,94.28,94.28,94.28,94.28,0
2023-04-17,93.77,93.77,93.77,93.77,0
2023-04-19,93.55,93.55,93.55,93.55,0
2023-04-20,92.99,92.99,92.99,92.99,0
2023-04-24,92.85,92.85,92.85,92.85,0
2023-04-25,93.44,93.44,93.44,93.44,0
2023-04-26,93.34,93.34,93.34,93.34,0
2023-04-27,92.82,92.82,92.82,92.82,0
2023-04-28,93.53,93.53,93.53,93.53,0
2023-05-02,93.54,93.54,93.54,93.54,0
2023-05-04,93.83,93.83,93.83,93.83,0
2023-05-05,93.93,93.93,93.93,93.93,0
2023-05-08,94.15,94.15,94.15,94.15,0
2023-05-09,94.69,94.69,94.69,94.69,0
2023-05-10,93.97,93.97,93.97,93.97,0
2023-05-11,94.12,94.12,94.12,94.12,0
2023-05-12,94.1,94.1,94.1,94.1,0
2023-05-15,93.93,93.93,93.93,93.93,0
2023-05-16,94.36,94.36,94.36,94.36,0
2023-05-17,94.02,94.02,94.02,94.02,0
2023-05-19,94.35,94.35,94.35,94.35,0
2023-05-22,94.34,94.34,94.34,94.34,0
2023-05-23,93.69,93.69,93.69,93.69,0
2023-05-24,93.67,93.67,93.67,93.67,0
2023-05-25,93.61,93.61,93.61,93.61,0
2023-05-26,93.28,93.28,93.28,93.28,0
2023-05-30,93.64,93.64,93.64,93.64,0
2023-05-31,94.06,94.06,94.06,94.06,0
2023-06-01,93.77,93.77,93.77,93.77,0
2023-06-02,93.38,93.38,93.38,93.38,0
2023-06-05,93.58,93.58,93.58,93.58,0
2023-06-06,93.21,93.21,93.21,93.21,0
2023-06-07,93.56,93.56,93.56,93.56,0
2023-06-08,93.5,93.5,93.5,93.5,0
2023-06-09,94.71,94.71,94.71,94.71,0
2023-06-12,93.62,93.62,93.62,93.62,0
2023-06-13,92.14,92.14,92.14,92.14,0
2023-06-14,92.87,92.87,92.87,92.87,0
2023-06-15,92.67,92.67,92.67,92.67,0
2023-06-16,93.51,93.51,93.51,93.51,0
2023-06-19,93.67,93.67,93.67,93.67,0
2023-06-20,94.0,94.0,94.0,94.0,0
2023-06-21,93.98,93.98,93.98,93.98,0
2023-06-22,94.61,94.61,94.61,94.61,0
2023-06-23,94.26,94.26,94.26,94.26,0
2023-06-26,94.24,94.24,94.24,94.24,0
2023-06-27,94.55,94.55,94.55,94.55,0
2023-06-29,95.18,95.18,95.18,95.18,0
2023-07-03,96.01,96.01,96.01,96.01,0
2023-07-04,95.98,95.98,95.98,95.98,0
