Date,Open,High,Low,Close,Volume
2023-01-31,102.07,102.07,95.02,96.05,0
2023-02-28,97.32,99.08,97.2,97.41,0
2023-03-31,97.22,99.07,95.43,95.43,0
2023-04-30,95.09,95.23,92.82,93.53,0
2023-05-31,93.54,94.69,93.28,94.06,0
2023-06-30,93.77,95.18,92.14,95.18,0
2023-07-31,96.01,99.22,95.98,99.05,0
2023-08-31,98.36,101.24,97.83,101.24,0
2023-09-30,103.1,105.2,101.82,102.47,0
2023-10-31,102.38,103.83,101.08,101.08,0
2023-11-30,99.63,105.53,99.63,105.48,0
2023-12-31,102.94,105.07,102.36,103.96,0
2024-01-31,103.11,104.27,101.56,102.04,0
2024-02-29,101.89,103.77,101.59,103.77,0
2024-03-31,103.17,105.56,102.14,105.56,0
2024-04-30,105.28,105.62,104.43,105.6,0
2024-05-31,105.0,109.61,104.32,108.55,0
2024-06-30,108.31,111.56,107.57,111.11,0
2024-07-31,111.04,115.95,110.33,114.5,0
2024-08-31,114.45,122.81,114.45,122.73,0
2024-09-30,124.2,130.89,124.2,130.89,0
2024-10-31,130.97,134.97,130.36,134.97,0
2024-11-30,136.08,139.01,134.56,138.74,0
2024-12-31,138.05,139.45,136.41,138.11,0
2025-01-31,138.63,138.87,133.71,135.5,0
2025-02-28,135.53,146.48,135.53,146.48,0
2025-03-31,146.69,159.67,146.69,158.18,0
2025-04-30,156.08,159.03,155.46,157.3,0
2025-05-31,157.75,172.75,156.16,172.41,0
2025-06-30,172.31,179.13,171.47,177.01,0
2025-07-31,175.95,187.08,174.45,187.08,0
2025-08-31,189.01,193.48,187.43,192.79,0
2025-09-30,191.35,194.56,190.98,193.4,0
2025-10-31,193.83,213.74,193.83,212.79,0
2025-11-30,210.2,221.08,206.91,221.08,0
2025-12-31,221.95,222.42,215.48,217.65,0
2026-01-31,217.75,236.35,215.23,236.35,0
2026-02-28,236.54,289.03,235.48,289.03,0
2026-03-31,289.15,291.96,278.16,283.22,0
2026-04-30,284.82,289.37,277.19,280.02,0
2026-05-31,284.59,300.39,279.63,300.39,0
2026-06-30,299.81,328.52,299.81,328.52,0
2026-07-31,331.53,369.0,331.53,365.27,0
2026-08-31,370.92,378.03,365.96,378.03,0
