Date,Open,High,Low,Close,Volume
2023-03-31,102.07,102.07,95.02,95.43,0
2023-06-30,95.09,95.23,92.14,95.18,0
2023-09-30,96.01,105.2,95.98,102.47,0
2023-12-31,102.38,105.53,99.63,103.96,0
2024-03-31,103.11,105.56,101.56,105.56,0
2024-06-30,105.28,111.56,104.32,111.11,0
2024-09-30,111.04,130.89,110.33,130.89,0
2024-12-31,130.97,139.45,130.36,138.11,0
2025-03-31,138.63,159.67,133.71,158.18,0
2025-06-30,156.08,179.13,155.46,177.01,0
2025-09-30,175.95,194.56,174.45,193.4,0
2025-12-31,193.83,222.42,193.83,217.65,0
2026-03-31,217.75,291.96,215.23,283.22,0
2026-06-30,284.82,328.52,277.19,328.52,0
2026-09-30,331.53,378.03,331.53,378.03,0
