Date,Open,High,Low,Close,Volume
2023-01-02,102.07,102.07,102.07,102.07,0
2023-01-09,100.33,100.33,97.52,97.52,0
2023-01-16,96.98,97.15,96.19,96.19,0
2023-01-23,95.1,96.03,95.1,95.42,0
2023-01-30,95.02,96.17,95.02,95.96,0
2023-02-06,96.05,97.61,96.05,97.61,0
2023-02-13,98.0,98.74,98.0,98.61,0
2023-02-20,98.67,99.08,98.31,98.36,0
2023-02-27,98.16,98.23,97.73,97.73,0
2023-03-06,97.41,97.81,97.09,97.81,0
2023-03-13,98.62,99.07,98.25,98.87,0
2023-03-20,98.27,98.37,97.0,97.0,0
2023-03-27,96.6,96.6,96.12,96.15,0
2023-04-03,95.76,95.76,95.09,95.09,0
2023-04-10,94.97,95.1,94.56,95.1,0
2023-04-17,95.23,95.23,93.77,93.77,0
2023-04-24,93.55,93.55,92.85,92.85,0
2023-05-01,93.44,93.53,92.82,93.53,0
2023-05-08,93.54,94.15,93.54,94.15,0
2023-05-15,94.69,94.69,93.93,93.93,0
2023-05-22,94.36,94.36,94.02,94.34,0
2023-05-29,93.69,93.69,93.28,93.28,0
2023-06-05,93.64,94.06,93.38,93.58,0
2023-06-12,93.21,94.71,93.21,93.62,0
2023-06-19,92.14,93.67,92.14,93.67,0
2023-06-26,94.0,94.61,93.98,94.24,0
2023-07-03,94.55,96.01,94.55,96.01,0
2023-07-10,95.98,98.05,95.98,98.05,0
2023-07-17,98.08,99.22,97.74,99.22,0
2023-07-24,99.05,99.05,97.84,98.36,0
2023-07-31,98.62,99.05,98.53,99.05,0
2023-08-07,98.36,98.84,98.26,98.83,0
2023-08-14,98.29,98.42,97.83,98.42,0
2023-08-21,98.11,100.51,98.11,100.51,0
2023-08-28,101.03,101.03,100.24,100.38,0
2023-09-04,100.16,103.1,100.16,102.53,0
2023-09-11,102.75,103.14,102.73,103.1,0
2023-09-18,104.35,105.2,103.61,103.61,0
2023-09-25,102.99,102.99,101.82,102.89,0
2023-10-02,102.24,102.47,101.82,102.38,0
2023-10-09,101.78,102.84,101.55,101.55,0
2023-10-16,101.7,103.83,101.7,103.83,0
2023-10-23,103.74,103.74,102.18,102.26,0
2023-10-30,103.0,103.06,102.72,103.06,0
2023-11-06,101.08,102.53,99.63,101.69,0
2023-11-13,101.65,101.92,101.65,101.76,0
2023-11-20,101.82,102.1,101.71,102.1,0
2023-11-27,102.3,103.14,102.3,102.48,0
2023-12-04,103.16,105.53,102.94,103.02,0
2023-12-11,103.19,103.9,102.84,102.84,0
2023-12-18,102.72,103.87,102.69,102.69,0
2023-12-25,102.36,104.02,102.36,103.64,0
2024-01-01,102.66,105.07,102.66,103.96,0
2024-01-08,103.11,104.27,102.19,102.19,0
2024-01-15,102.86,102.86,102.5,102.5,0
2024-01-22,102.46,102.46,101.56,101.56,0
2024-01-29,101.95,102.18,101.69,102.18,0
2024-02-05,102.07,102.26,101.89,102.26,0
2024-02-12,101.98,101.98,101.59,101.59,0
2024-02-19,101.98,102.46,101.98,101.99,0
2024-02-26,102.41,102.88,102.41,102.88,0
2024-03-04,102.78,103.77,102.78,103.41,0
2024-03-11,103.07,103.73,102.14,102.87,0
2024-03-18,103.51,104.26,102.92,104.26,0
2024-03-25,103.89,104.65,103.77,104.65,0
2024-04-01,104.87,105.56,104.83,105.56,0
2024-04-08,105.28,105.28,104.43,104.46,0
2024-04-15,104.6,105.3,104.58,105.3,0
2024-04-22,104.49,105.5,104.49,104.76,0
2024-04-29,105.27,105.62,105.06,105.32,0
2024-05-06,105.6,105.6,104.68,104.83,0
2024-05-13,104.32,105.02,104.32,105.02,0
2024-05-20,106.75,107.45,106.02,107.45,0
2024-05-27,107.04,108.93,107.04,108.89,0
2024-06-03,109.61,109.61,107.11,108.31,0
2024-06-10,108.58,108.6,107.57,108.27,0
2024-06-17,108.47,110.3,108.39,110.3,0
2024-06-24,109.45,110.65,109.45,110.59,0
2024-07-01,111.15,111.56,111.01,111.04,0
2024-07-08,111.26,111.26,110.59,111.06,0
2024-07-15,110.33,111.93,110.33,111.73,0
2024-07-22,113.2,115.95,113.2,113.63,0
2024-07-29,113.76,114.95,113.76,114.54,0
2024-08-05,113.48,117.1,113.48,116.09,0
2024-08-12,117.02,119.82,117.02,119.35,0
2024-08-19,120.56,121.02,119.95,121.02,0
2024-08-26,121.35,122.45,119.51,119.51,0
2024-09-02,120.74,124.2,120.74,124.2,0
2024-09-09,124.92,126.47,124.92,125.86,0
2024-09-16,126.47,126.81,126.16,126.81,0
2024-09-23,126.79,129.38,126.39,129.38,0
2024-09-30,129.21,130.89,129.16,130.89,0
