Date,Open,High,Low,Close,Volume
2023-01-02,100.54,100.54,100.54,100.54,0
2023-01-03,100.07,100.07,100.07,100.07,0
2023-01-04,100.08,100.08,100.08,100.08,0
2023-01-05,100.17,100.17,100.17,100.17,0
2023-01-06,97.55,97.55,97.55,97.55,0
2023-01-09,98.2,98.2,98.2,98.2,0
2023-01-10,97.69,97.69,97.69,97.69,0
2023-01-11,97.7,97.7,97.7,97.7,0
2023-01-12,98.94,98.94,98.94,98.94,0
2023-01-13,98.0,98.0,98.0,98.0,0
2023-01-16,98.04,98.04,98.04,98.04,0
2023-01-17,99.44,99.44,99.44,99.44,0
2023-01-18,99.67,99.67,99.67,99.67,0
2023-01-19,99.63,99.63,99.63,99.63,0
2023-01-20,100.18,100.18,100.18,100.18,0
2023-01-23,100.1,100.1,100.1,100.1,0
2023-01-24,100.43,100.43,100.43,100.43,0
2023-01-25,100.63,100.63,100.63,100.63,0
2023-01-26,100.95,100.95,100.95,100.95,0
2023-01-27,100.45,100.45,100.45,100.45,0
2023-01-30,101.81,101.81,101.81,101.81,0
2023-01-31,101.28,101.28,101.28,101.28,0
2023-02-01,101.28,101.28,101.28,101.28,0
2023-02-02,101.51,101.51,101.51,101.51,0
2023-02-03,101.0,101.0,101.0,101.0,0
2023-02-06,100.92,100.92,100.92,100.92,0
2023-02-07,100.67,100.67,100.67,100.67,0
2023-02-08,99.95,99.95,99.95,99.95,0
2023-02-09,101.57,101.57,101.57,101.57,0
2023-02-10,101.8,101.8,101.8,101.8,0
2023-02-13,103.58,103.58,103.58,103.58,0
2023-02-14,104.21,104.21,104.21,104.21,0
2023-02-15,105.71,105.71,105.71,105.71,0
2023-02-16,106.29,106.29,106.29,106.29,0
2023-02-17,105.72,105.72,105.72,105.72,0
2023-02-20,105.52,105.52,105.52,105.52,0
2023-02-21,106.77,106.77,106.77,106.77,0
2023-02-22,105.5,105.5,105.5,105.5,0
2023-02-23,105.04,105.04,105.04,105.04,0
2023-02-24,106.26,106.26,106.26,106.26,0
2023-02-27,106.33,106.33,106.33,106.33,0
2023-02-28,106.66,106.66,106.66,106.66,0
2023-03-01,107.22,107.22,107.22,107.22,0
2023-03-02,107.5,107.5,107.5,107.5,0
2023-03-03,107.51,107.51,107.51,107.51,0
2023-03-06,107.47,107.47,107.47,107.47,0
2023-03-07,106.79,106.79,106.79,106.79,0
2023-03-08,106.31,106.31,106.31,106.31,0
2023-03-09,107.06,107.06,107.06,107.06,0
2023-03-10,107.15,107.15,107.15,107.15,0
2023-03-13,107.48,107.48,107.48,107.48,0
2023-03-14,108.04,108.04,108.04,108.04,0
2023-03-15,107.37,107.37,107.37,107.37,0
2023-03-16,106.95,106.95,106.95,106.95,0
2023-03-17,106.78,106.78,106.78,106.78,0
2023-03-20,106.65,106.65,106.65,106.65,0
2023-03-21,106.11,106.11,106.11,106.11,0
2023-03-22,106.67,106.67,106.67,106.67,0
2023-03-23,106.49,106.49,106.49,106.49,0
2023-03-24,106.18,106.18,106.18,106.18,0
2023-03-27,106.09,106.09,106.09,106.09,0
2023-03-28,105.92,105.92,105.92,105.92,0
2023-03-29,105.14,105.14,105.14,105.14,0
2023-03-30,103.99,103.99,103.99,103.99,0
2023-03-31,102.92,102.92,102.92,102.92,0
2023-04-03,102.65,102.65,102.65,102.65,0
2023-04-04,102.77,102.77,102.77,102.77,0
2023-04-05,102.61,102.61,102.61,102.61,0
2023-04-06,102.97,102.97,102.97,102.97,0
2023-04-07,101.69,101.69,101.69,101.69,0
2023-04-11,102.45,102.45,102.45,102.45,0
2023-04-12,103.62,103.62,103.62,103.62,0
2023-04-13,103.44,103.44,103.44,103.44,0
2023-04-14,103.75,103.75,103.75,103.75,0
2023-04-17,104.11,104.11,104.11,104.11,0
2023-04-19,103.21,103.21,103.21,103.21,0
2023-04-20,102.5,102.5,102.5,102.5,0
2023-04-24,102.61,102.61,102.61,102.61,0
2023-04-25,103.04,103.04,103.04,103.04,0
2023-04-26,102.82,102.82,102.82,102.82,0
2023-04-27,101.97,101.97,101.97,101.97,0
2023-04-28,101.61,101.61,101.61,101.61,0
2023-05-02,102.42,102.42,102.42,102.42,0
2023-05-03,100.61,100.61,100.61,100.61,0
2023-05-04,101.97,101.97,101.97,101.97,0
2023-05-05,102.4,102.4,102.4,102.4,0
2023-05-08,101.85,101.85,101.85,101.85,0
2023-05-09,101.98,101.98,101.98,101.98,0
2023-05-10,101.95,101.95,101.95,101.95,0
2023-05-11,102.57,102.57,102.57,102.57,0
2023-05-12,102.91,102.91,102.91,102.91,0
2023-05-15,100.77,100.77,100.77,100.77,0
2023-05-16,100.54,100.54,100.54,100.54,0
2023-05-17,100.4,100.4,100.4,100.4,0
2023-05-19,101.4,101.4,101.4,101.4,0
2023-05-22,101.05,101.05,101.05,101.05,0
2023-05-23,101.96,101.96,101.96,101.96,0
2023-05-24,101.82,101.82,101.82,101.82,0
2023-05-25,102.07,102.07,102.07,102.07,0
2023-05-26,100.0,100.0,100.0,100.0,0
2023-05-30,100.34,100.34,100.34,100.34,0
2023-05-31,99.44,99.44,99.44,99.44,0
2023-06-01,99.27,99.27,99.27,99.27,0
2023-06-02,100.09,100.09,100.09,100.09,0
2023-06-05,100.66,100.66,100.66,100.66,0
2023-06-06,101.65,101.65,101.65,101.65,0
2023-06-07,101.31,101.31,101.31,101.31,0
2023-06-08,101.64,101.64,101.64,101.64,0
2023-06-09,102.85,102.85,102.85,102.85,0
2023-06-12,102.94,102.94,102.94,102.94,0
