Date,Open,High,Low,Close,Volume
2023-01-31,100.54,101.81,97.55,101.28,
2023-02-28,101.28,106.77,99.95,106.66,
2023-03-31,107.22,108.04,102.92,102.92,
2023-04-30,102.65,104.11,101.61,101.61,
2023-05-31,102.42,102.91,99.44,99.44,
2023-06-30,99.27,102.94,99.27,102.67,
2023-07-31,101.97,105.23,100.93,105.23,
2023-08-31,105.67,105.67,100.97,101.59,
2023-09-30,102.03,107.17,101.92,103.8,
2023-10-31,103.14,103.14,99.56,100.19,
2023-11-30,99.54,101.72,98.74,98.74,
2023-12-31,98.76,101.47,97.56,101.47,
2024-01-31,100.67,101.54,96.33,96.78,
2024-02-29,96.65,100.28,96.49,99.66,
2024-03-31,99.07,100.66,98.27,99.95,
2024-04-30,100.92,104.42,100.92,104.42,
2024-05-31,104.38,105.75,101.82,105.75,
2024-06-30,105.93,109.25,105.93,108.16,
2024-07-31,107.73,112.87,107.73,111.58,
2024-08-31,110.72,114.04,110.6,114.04,
2024-09-30,113.92,115.19,111.51,111.51,
2024-10-31,111.44,115.0,110.68,114.41,
2024-11-30,113.97,113.97,111.58,112.26,
2024-12-31,111.44,114.84,110.86,114.84,
2025-01-31,114.56,116.0,111.63,116.0,
2025-02-28,115.46,124.6,115.46,124.29,
2025-03-31,124.77,124.77,120.39,121.88,
2025-04-30,122.36,123.48,119.52,121.24,
2025-05-31,121.69,126.83,120.63,124.82,
2025-06-30,124.61,132.51,123.64,132.51,
2025-07-31,131.55,132.12,128.77,128.86,
2025-08-31,129.27,132.87,127.91,132.87,
2025-09-30,133.29,137.5,132.79,136.55,
2025-10-31,137.27,144.81,136.73,143.66,
2025-11-30,141.58,142.87,139.5,141.01,
2025-12-31,146.35,147.55,139.52,144.25,
2026-01-31,143.48,150.13,141.41,150.13,
2026-02-28,150.34,164.82,150.22,164.82,
2026-03-31,164.25,164.77,157.64,160.15,
2026-04-30,159.61,159.61,154.72,158.27,
2026-05-31,157.09,166.09,156.3,166.09,
2026-06-30,166.95,175.14,166.95,174.83,
2026-07-31,176.14,178.23,174.15,177.56,
2026-08-31,176.88,196.68,176.88,194.71,
2026-09-30,197.28,199.81,197.28,199.81,
