Date,Open,High,Low,Close,Volume
2023-03-31,100.54,108.04,97.55,102.92,
2023-06-30,102.65,104.11,99.27,102.67,
2023-09-30,101.97,107.17,100.93,103.8,
2023-12-31,103.14,103.14,97.56,101.47,
2024-03-31,100.67,101.54,96.33,99.95,
2024-06-30,100.92,109.25,100.92,108.16,
2024-09-30,107.73,115.19,107.73,111.51,
2024-12-31,111.44,115.0,110.68,114.84,
2025-03-31,114.56,124.77,111.63,121.88,
2025-06-30,122.36,132.51,119.52,132.51,
2025-09-30,131.55,137.5,127.91,136.55,
2025-12-31,137.27,147.55,136.73,144.25,
2026-03-31,143.48,164.82,141.41,160.15,
2026-06-30,159.61,175.14,154.72,174.83,
2026-09-30,176.14,197.39,174.15,197.39,
