Date,Open,High,Low,Close,Volume
2023-01-02,100.54,100.54,100.54,100.54,0
2023-01-09,100.07,100.17,97.55,98.2,0
2023-01-16,97.69,98.94,97.69,98.04,0
2023-01-23,99.44,100.18,99.44,100.1,0
2023-01-30,100.43,101.81,100.43,101.81,0
2023-02-06,101.28,101.51,100.92,100.92,0
2023-02-13,100.67,103.58,99.95,103.58,0
2023-02-20,104.21,106.29,104.21,105.52,0
2023-02-27,106.77,106.77,105.04,106.33,0
2023-03-06,106.66,107.51,106.66,107.47,0
2023-03-13,106.79,107.48,106.31,107.48,0
2023-03-20,108.04,108.04,106.65,106.65,0
2023-03-27,106.11,106.67,106.09,106.09,0
2023-04-03,105.92,105.92,102.65,102.65,0
2023-04-10,102.77,102.97,101.69,101.69,0
2023-04-17,102.45,104.11,102.45,104.11,0
2023-04-24,103.21,103.21,102.5,102.61,0
2023-05-01,103.04,103.04,101.61,101.61,0
2023-05-08,102.42,102.42,100.61,101.85,0
2023-05-15,101.98,102.91,100.77,100.77,0
2023-05-22,100.54,101.4,100.4,101.05,0
2023-05-29,101.96,102.07,100.0,100.0,0
2023-06-05,100.34,100.66,99.27,100.66,0
2023-06-12,101.65,102.94,101.31,102.94,0
2023-06-19,102.2,102.23,101.38,102.23,0
2023-06-26,101.98,101.98,100.39,101.51,0
2023-07-03,101.86,102.67,101.86,101.97,0
2023-07-10,102.22,102.37,100.98,102.04,0
2023-07-17,102.51,102.51,100.93,100.93,0
2023-07-24,101.39,102.71,100.99,102.23,0
2023-07-31,102.38,105.23,102.38,105.23,0
2023-08-07,105.67,105.67,103.41,103.41,0
2023-08-14,103.1,103.81,102.83,103.32,0
2023-08-21,104.77,104.77,102.54,102.54,0
2023-08-28,101.06,102.26,100.97,100.97,0
2023-09-04,101.57,102.26,101.57,101.92,0
2023-09-11,102.75,105.65,102.75,105.05,0
2023-09-18,106.88,107.17,105.52,105.52,0
2023-09-25,105.08,105.55,104.19,104.19,0
2023-10-02,103.93,104.28,103.14,103.14,0
2023-10-09,102.0,102.04,100.85,101.36,0
2023-10-16,101.46,102.24,101.25,102.24,0
2023-10-23,102.11,102.11,99.8,99.8,0
2023-10-30,100.77,100.77,99.56,99.56,0
2023-11-06,100.19,101.02,99.54,101.02,0
2023-11-13,101.16,101.72,100.96,101.16,0
2023-11-20,99.9,99.9,98.96,98.96,0
2023-11-27,99.55,100.09,99.07,100.09,0
2023-12-04,100.08,100.08,98.28,98.28,0
2023-12-11,98.39,99.07,97.8,99.04,0
2023-12-18,99.57,99.57,97.96,98.0,0
2023-12-25,97.56,100.16,97.56,100.16,0
2024-01-01,100.18,101.47,99.75,101.47,0
2024-01-08,100.67,101.54,100.59,100.59,0
2024-01-15,100.48,100.48,97.7,98.45,0
2024-01-22,99.8,99.8,98.94,98.94,0
2024-01-29,99.09,99.09,96.66,96.66,0
2024-02-05,96.33,96.78,96.33,96.49,0
2024-02-12,96.66,97.41,96.63,97.41,0
2024-02-19,98.06,98.95,98.03,98.03,0
2024-02-26,99.42,100.28,98.27,99.91,0
2024-03-04,99.36,99.69,99.07,99.42,0
2024-03-11,98.67,99.49,98.27,99.49,0
2024-03-18,98.91,99.8,98.83,99.8,0
2024-03-25,99.64,100.46,99.55,99.89,0
2024-04-01,100.44,100.66,99.95,99.95,0
2024-04-08,100.92,102.42,100.92,101.92,0
2024-04-15,103.32,103.41,102.68,102.68,0
2024-04-22,102.33,102.58,102.16,102.16,0
2024-04-29,102.47,103.47,101.64,102.92,0
2024-05-06,104.42,104.42,102.53,102.53,0
2024-05-13,103.64,104.45,102.95,102.95,0
2024-05-20,104.07,104.07,101.99,101.99,0
2024-05-27,101.82,104.34,101.82,104.28,0
2024-06-03,104.93,105.93,104.58,105.93,0
2024-06-10,106.34,108.48,106.34,107.72,0
2024-06-17,107.28,107.86,106.76,107.72,0
2024-06-24,109.07,109.25,108.08,108.59,0
2024-07-01,108.76,108.76,107.62,107.73,0
2024-07-08,108.81,108.81,108.03,108.08,0
2024-07-15,108.68,109.92,108.68,109.83,0
2024-07-22,110.71,112.32,110.71,112.32,0
2024-07-29,112.12,112.87,111.9,112.14,0
2024-08-05,111.56,111.58,110.6,110.6,0
2024-08-12,110.94,112.79,110.94,112.56,0
2024-08-19,111.44,112.08,111.44,111.6,0
2024-08-26,111.75,113.31,111.75,113.31,0
2024-09-02,112.59,114.04,112.59,113.92,0
2024-09-09,115.19,115.19,114.43,114.43,0
2024-09-16,114.61,114.85,113.24,114.25,0
2024-09-23,114.26,114.26,113.24,113.88,0
2024-09-30,113.47,113.47,111.51,111.51,0
2024-10-07,111.44,111.88,110.68,111.46,0
2024-10-14,112.69,112.69,111.23,111.23,0
2024-10-21,110.77,111.85,110.77,111.18,0
2024-10-28,111.75,112.64,111.51,112.64,0
2024-11-04,113.64,115.0,113.64,113.97,0
2024-11-11,112.0,113.18,112.0,112.4,0
2024-11-18,112.62,112.99,112.03,112.06,0
2024-11-25,112.37,112.37,111.6,111.6,0
2024-12-02,111.75,112.26,111.44,111.44,0
2024-12-09,112.0,112.0,111.67,111.91,0
2024-12-16,111.48,112.1,110.86,111.92,0
2024-12-23,111.02,112.65,111.02,111.83,0
2024-12-30,111.98,112.48,111.98,112.48,0
2025-01-06,114.84,114.84,114.05,114.05,0
2025-01-13,113.24,113.24,111.63,112.86,0
2025-01-20,112.05,113.56,111.76,113.04,0
2025-01-27,112.51,114.79,112.51,114.79,0
2025-02-03,114.84,116.0,114.58,115.46,0
2025-02-10,117.02,119.62,117.02,118.66,0
2025-02-17,118.57,120.86,118.07,120.86,0
2025-02-24,121.94,124.6,121.94,123.66,0
2025-03-03,122.56,124.77,122.56,124.77,0
2025-03-10,123.43,123.89,123.38,123.38,0
2025-03-17,122.79,123.45,122.79,123.45,0
2025-03-24,123.1,123.39,120.39,121.47,0
2025-03-31,120.92,121.88,120.92,121.88,0
2025-04-07,122.36,122.36,121.16,121.16,0
2025-04-14,121.3,123.48,120.47,122.03,0
2025-04-21,121.8,122.42,119.52,119.52,0
2025-04-28,121.33,121.66,120.67,120.67,0
2025-05-05,121.86,121.86,120.89,120.89,0
2025-05-12,121.6,121.71,120.63,121.71,0
2025-05-19,121.75,124.72,121.75,124.72,0
2025-05-26,126.03,126.83,125.62,126.83,0
2025-06-02,125.71,125.71,124.61,124.61,0
2025-06-09,123.64,124.37,123.64,124.37,0
2025-06-16,124.55,127.62,124.55,127.62,0
2025-06-23,128.32,131.31,128.32,131.31,0
2025-06-30,131.54,132.51,131.11,132.51,0
2025-07-07,131.55,132.12,130.48,131.49,0
2025-07-14,128.77,130.63,128.77,129.74,0
2025-07-21,130.42,131.51,129.09,129.09,0
2025-07-28,130.29,130.97,129.75,130.05,0
2025-08-04,129.94,129.94,128.2,128.2,0
2025-08-11,129.0,129.0,127.91,128.77,0
2025-08-18,129.02,130.83,128.82,130.83,0
2025-08-25,131.38,132.12,131.24,131.24,0
2025-09-01,132.7,133.29,131.86,133.29,0
2025-09-08,132.79,134.13,132.79,133.72,0
2025-09-15,134.19,135.81,134.12,135.81,0
2025-09-22,136.25,137.5,135.64,136.52,0
2025-09-29,136.63,137.16,136.19,136.19,0
2025-10-06,136.55,137.37,136.55,136.79,0
2025-10-13,137.58,139.97,137.58,139.97,0
2025-10-20,138.63,142.0,138.63,140.92,0
2025-10-27,140.62,143.63,140.62,143.63,0
2025-11-03,143.04,144.81,141.58,141.58,0
2025-11-10,140.27,140.71,139.5,140.3,0
2025-11-17,140.62,142.87,140.04,142.87,0
2025-11-24,142.12,142.12,140.64,141.07,0
2025-12-01,141.23,146.35,141.01,146.35,0
2025-12-08,143.74,147.55,143.74,146.76,0
2025-12-15,145.29,145.29,143.0,143.0,0
2025-12-22,142.03,142.04,139.72,139.72,0
2025-12-29,139.52,140.98,139.52,140.77,0
2026-01-05,142.16,144.25,141.41,141.41,0
2026-01-12,143.16,143.73,142.04,143.03,0
2026-01-19,142.94,145.37,142.94,145.37,0
2026-01-26,144.83,145.81,144.83,145.21,0
2026-02-02,146.08,150.34,146.08,150.34,0
2026-02-09,150.22,153.82,150.22,153.82,0
2026-02-16,154.02,155.31,153.91,154.66,0
2026-02-23,154.99,160.32,154.17,160.32,0
2026-03-02,160.76,164.82,160.76,164.25,0
2026-03-09,164.77,164.77,162.11,163.32,0
2026-03-16,162.75,163.2,161.56,161.56,0
2026-03-23,161.7,163.01,158.84,158.84,0
2026-03-30,158.7,160.8,157.64,159.02,0
2026-04-06,160.15,160.15,158.94,158.94,0
2026-04-13,158.95,158.95,156.87,156.87,0
2026-04-20,156.56,156.56,154.72,156.07,0
2026-04-27,157.52,158.22,156.73,156.73,0
2026-05-04,157.95,158.27,156.56,157.09,0
2026-05-11,156.3,158.71,156.3,158.42,0
2026-05-18,159.46,162.02,159.46,162.02,0
2026-05-25,162.14,164.1,162.14,164.1,0
2026-06-01,163.73,166.95,163.73,166.95,0
2026-06-08,167.47,172.35,167.47,170.97,0
2026-06-15,171.06,171.89,171.06,171.89,0
2026-06-22,170.56,174.41,170.41,174.41,0
2026-06-29,173.64,175.14,172.38,174.48,0
2026-07-06,174.83,177.07,174.83,175.74,0
2026-07-13,176.56,178.23,176.56,176.67,0
2026-07-20,176.4,176.4,174.61,174.61,0
2026-07-27,174.15,177.1,174.15,176.93,0
2026-08-03,176.95,177.56,175.5,176.88,0
2026-08-10,178.52,180.6,177.6,180.6,0
