Date,Open,High,Low,Close,Volume
1999-06-16,100.0,100.0,100.0,100.0,
1999-06-18,100.0,100.0,100.0,100.0,
1999-06-21,100.0,100.0,100.0,100.0,
1999-06-23,100.0,100.0,100.0,100.0,
1999-06-25,95.96,95.96,95.96,95.96,
1999-06-28,95.96,95.96,95.96,95.96,
1999-06-30,95.96,95.96,95.96,95.96,
1999-07-02,95.96,95.96,95.96,95.96,
1999-07-05,95.27,95.27,95.27,95.27,
1999-07-07,94.73,94.73,94.73,94.73,
1999-07-09,94.18,94.18,94.18,94.18,
1999-07-12,87.83,87.83,87.83,87.83,
1999-07-14,85.53,85.53,85.53,85.53,
1999-07-16,85.36,85.36,85.36,85.36,
1999-07-19,84.95,84.95,84.95,84.95,
1999-07-21,84.95,84.95,84.95,84.95,
1999-07-23,84.95,84.95,84.95,84.95,
1999-07-26,84.67,84.67,84.67,84.67,
1999-07-28,84.67,84.67,84.67,84.67,
1999-07-30,84.67,84.67,84.67,84.67,
1999-08-02,84.67,84.67,84.67,84.67,
1999-08-04,84.54,84.54,84.54,84.54,
1999-08-06,84.54,84.54,84.54,84.54,
1999-08-09,84.54,84.54,84.54,84.54,
1999-08-11,84.54,84.54,84.54,84.54,
1999-08-13,84.54,84.54,84.54,84.54,
1999-08-16,84.54,84.54,84.54,84.54,
1999-08-18,84.66,84.66,84.66,84.66,
1999-08-20,84.54,84.54,84.54,84.54,
1999-08-23,84.54,84.54,84.54,84.54,
1999-08-25,84.54,84.54,84.54,84.54,
1999-08-27,84.54,84.54,84.54,84.54,
1999-08-30,84.54,84.54,84.54,84.54,
1999-09-01,84.52,84.52,84.52,84.52,
1999-09-03,84.54,84.54,84.54,84.54,
1999-09-06,84.54,84.54,84.54,84.54,
1999-09-08,84.95,84.95,84.95,84.95,
1999-09-10,84.95,84.95,84.95,84.95,
1999-09-13,84.95,84.95,84.95,84.95,
1999-09-15,84.95,84.95,84.95,84.95,
1999-09-17,84.95,84.95,84.95,84.95,
1999-09-20,83.0,83.0,83.0,83.0,
1999-09-22,83.0,83.0,83.0,83.0,
1999-09-24,83.0,83.0,83.0,83.0,
1999-09-27,81.64,81.64,81.64,81.64,
1999-09-29,81.64,81.64,81.64,81.64,
1999-10-01,81.64,81.64,81.64,81.64,
1999-10-06,81.64,81.64,81.64,81.64,
1999-10-08,81.64,81.64,81.64,81.64,
1999-10-11,81.64,81.64,81.64,81.64,
1999-10-13,81.64,81.64,81.64,81.64,
1999-10-15,81.64,81.64,81.64,81.64,
1999-10-18,83.16,83.16,83.16,83.16,
1999-10-20,81.8,81.8,81.8,81.8,
1999-10-22,80.57,80.57,80.57,80.57,
1999-10-25,80.57,80.57,80.57,80.57,
1999-10-27,81.25,81.25,81.25,81.25,
1999-10-29,81.25,81.25,81.25,81.25,
1999-11-03,81.53,81.53,81.53,81.53,
1999-11-05,81.53,81.53,81.53,81.53,
1999-11-08,81.53,81.53,81.53,81.53,
1999-11-10,81.53,81.53,81.53,81.53,
1999-11-12,81.53,81.53,81.53,81.53,
1999-11-17,82.35,82.35,82.35,82.35,
1999-11-19,82.35,82.35,82.35,82.35,
1999-11-22,82.35,82.35,82.35,82.35,
1999-11-24,82.63,82.63,82.63,82.63,
1999-11-26,82.63,82.63,82.63,82.63,
1999-11-29,82.63,82.63,82.63,82.63,
1999-12-01,82.63,82.63,82.63,82.63,
1999-12-03,82.63,82.63,82.63,82.63,
1999-12-06,82.63,82.63,82.63,82.63,
1999-12-08,81.29,81.29,81.29,81.29,
1999-12-10,81.29,81.29,81.29,81.29,
1999-12-13,81.29,81.29,81.29,81.29,
1999-12-15,81.29,81.29,81.29,81.29,
1999-12-17,81.29,81.29,81.29,81.29,
1999-12-20,81.29,81.29,81.29,81.29,
1999-12-22,81.29,81.29,81.29,81.29,
1999-12-27,81.29,81.29,81.29,81.29,
1999-12-29,81.29,81.29,81.29,81.29,
1999-12-31,81.29,81.29,81.29,81.29,
2000-01-05,81.29,81.29,81.29,81.29,
2000-01-07,81.02,81.02,81.02,81.02,
2000-01-10,81.02,81.02,81.02,81.02,
2000-01-12,81.02,81.02,81.02,81.02,
2000-01-14,81.02,81.02,81.02,81.02,
2000-01-17,81.02,81.02,81.02,81.02,
2000-01-19,81.02,81.02,81.02,81.02,
2000-01-21,81.02,81.02,81.02,81.02,
2000-01-24,81.02,81.02,81.02,81.02,
2000-01-26,81.02,81.02,81.02,81.02,
2000-01-28,81.02,81.02,81.02,81.02,
2000-01-31,81.02,81.02,81.02,81.02,
2000-02-02,81.02,81.02,81.02,81.02,
2000-02-04,81.02,81.02,81.02,81.02,
2000-02-07,81.02,81.02,81.02,81.02,
2000-02-09,79.11,79.11,79.11,79.11,
2000-02-11,77.45,77.45,77.45,77.45,
2000-02-14,77.45,77.45,77.45,77.45,
2000-02-16,77.45,77.45,77.45,77.45,
2000-02-18,77.45,77.45,77.45,77.45,
2000-02-21,77.45,77.45,77.45,77.45,
2000-02-23,77.45,77.45,77.45,77.45,
2000-02-25,77.45,77.45,77.45,77.45,
2000-02-28,77.45,77.45,77.45,77.45,
2000-03-01,77.45,77.45,77.45,77.45,
2000-03-03,77.45,77.45,77.45,77.45,
2000-03-06,77.45,77.45,77.45,77.45,
2000-03-08,77.45,77.45,77.45,77.45,
2000-03-10,77.45,77.45,77.45,77.45,
2000-03-13,77.45,77.45,77.45,77.45,
2000-03-15,77.45,77.45,77.45,77.45,
2000-03-17,77.45,77.45,77.45,77.45,
2000-03-20,77.45,77.45,77.45,77.45,
2000-03-22,77.45,77.45,77.45,77.45,
2000-03-24,77.36,77.36,77.36,77.36,
2000-03-27,77.36,77.36,77.36,77.36,
2000-03-29,77.36,77.36,77.36,77.36,
2000-03-31,77.36,77.36,77.36,77.36,
2000-04-03,76.35,76.35,76.35,76.35,
2000-04-05,76.35,76.35,76.35,76.35,
2000-04-07,76.35,76.35,76.35,76.35,
2000-04-10,76.07,76.07,76.07,76.07,
2000-04-12,76.07,76.07,76.07,76.07,
2000-04-14,76.07,76.07,76.07,76.07,
2000-04-17,74.97,74.97,74.97,74.97,
2000-04-19,74.97,74.97,74.97,74.97,
2000-04-21,74.96,74.96,74.96,74.96,
2000-04-26,74.96,74.96,74.96,74.96,
2000-04-28,74.96,74.96,74.96,74.96,
2000-05-03,74.96,74.96,74.96,74.96,
2000-05-05,74.96,74.96,74.96,74.96,
2000-05-08,74.96,74.96,74.96,74.96,
2000-05-10,73.6,73.6,73.6,73.6,
