Date,Open,High,Low,Close,Volume
1999-06-30,100.0,100.0,95.96,95.96,
1999-07-31,95.96,95.96,84.67,84.67,
1999-08-31,84.67,84.67,84.54,84.54,
1999-09-30,84.52,84.95,81.64,81.64,
1999-10-31,81.64,83.16,80.57,81.25,
1999-11-30,81.53,82.63,81.53,82.63,
1999-12-31,82.63,82.63,81.29,81.29,
2000-01-31,81.29,81.29,81.02,81.02,
2000-02-29,81.02,81.02,77.45,77.45,
2000-03-31,77.45,77.45,77.36,77.36,
2000-04-30,76.35,76.35,74.96,74.96,
2000-05-31,74.96,74.96,73.56,73.56,
2000-06-30,73.56,78.98,73.56,78.98,
2000-07-31,79.98,80.43,77.76,77.76,
2000-08-31,77.76,77.76,76.38,76.38,
2000-09-30,75.01,75.01,74.45,75.0,
2000-10-31,75.0,75.0,75.0,75.0,
2000-11-30,74.72,74.72,74.45,74.45,
2000-12-31,74.45,74.45,74.13,74.13,
2001-01-31,74.13,74.13,73.92,74.05,
2001-02-28,74.05,75.44,74.05,75.44,
2001-03-31,74.89,75.99,74.64,74.64,
2001-04-30,74.64,74.64,74.08,74.2,
2001-05-31,74.2,74.21,72.33,73.02,
2001-06-30,73.02,73.02,73.02,73.02,
2001-07-31,74.81,75.08,72.73,72.73,
2001-08-31,72.73,73.0,72.73,72.9,
2001-09-30,72.9,72.9,70.22,70.22,
2001-10-31,70.22,70.22,70.22,70.22,
2001-11-30,70.22,70.49,70.22,70.49,
2001-12-31,70.49,86.56,70.49,86.56,
2002-01-31,86.56,86.56,86.56,86.56,
2002-02-28,86.56,86.56,86.56,86.56,
2002-03-31,86.56,86.56,74.37,74.37,
2002-04-30,74.37,74.37,74.37,74.37,
2002-05-31,74.37,74.37,73.67,73.67,
2002-06-30,73.57,73.67,72.57,72.57,
2002-07-31,72.57,73.67,72.57,73.66,
2002-08-31,71.82,71.82,71.82,71.82,
2002-09-30,71.82,71.84,71.82,71.82,
2002-10-31,71.82,71.83,71.82,71.82,
2002-11-30,71.82,71.82,71.82,71.82,
2002-12-31,71.82,74.01,71.1,74.01,
2003-01-31,74.01,74.01,74.01,74.01,
2003-02-28,74.01,74.05,74.01,74.01,
2003-03-31,74.01,74.01,74.01,74.01,
2003-04-30,74.01,74.01,74.01,74.01,
2003-05-31,74.01,78.13,74.01,76.01,
2003-06-30,76.02,80.33,74.01,74.01,
2003-07-31,74.01,78.15,73.57,78.15,
2003-08-31,78.15,80.63,78.15,80.63,
2003-09-30,80.63,80.63,80.61,80.61,
2003-10-31,80.61,80.61,78.29,78.29,
2003-11-30,78.29,78.29,78.29,78.29,
2003-12-31,78.29,88.63,78.29,88.63,
2004-01-31,88.63,88.63,76.47,76.47,
2004-02-29,76.47,77.85,76.47,77.85,
2004-03-31,77.85,79.36,76.37,76.37,
2004-04-30,79.37,79.5,79.37,79.5,
2004-05-31,79.5,79.5,79.22,79.22,
2004-06-30,79.22,80.6,77.81,80.55,
2004-07-31,75.63,80.81,75.63,80.81,
2004-08-31,80.81,80.81,76.41,76.41,
2004-09-30,76.41,76.41,72.89,72.89,
2004-10-31,72.89,75.63,72.89,75.36,
2004-11-30,75.36,75.36,72.89,75.36,
2004-12-31,75.36,89.18,74.98,89.18,
2005-01-31,89.18,89.18,78.42,78.42,
2005-02-28,78.42,78.42,72.74,72.88,
2005-03-31,72.88,75.4,70.73,75.4,
2005-04-30,75.4,98.2,75.4,98.2,
2005-05-31,98.18,105.79,98.16,105.79,
2005-06-30,105.79,107.12,100.9,103.16,
2005-07-31,103.16,103.16,100.25,100.52,
2005-08-31,100.55,101.66,100.55,100.97,
2005-09-30,100.97,102.44,100.97,101.21,
2005-10-31,100.88,100.88,99.24,100.41,
2005-11-30,100.41,104.19,100.41,104.19,
2005-12-31,101.63,103.81,101.63,103.81,
2006-01-31,103.81,109.52,103.81,109.52,
2006-02-28,109.52,125.31,109.52,125.31,
2006-03-31,125.31,129.53,125.31,129.53,
2006-04-30,129.53,135.0,129.53,135.0,
2006-05-31,135.0,152.7,135.0,152.7,
2006-06-30,154.07,158.16,153.48,153.48,
2006-07-31,153.48,153.52,145.32,145.32,
2006-08-31,145.41,149.44,145.31,147.7,
2006-09-30,147.7,148.76,147.15,148.73,
2006-10-31,148.73,150.49,147.93,150.49,
2006-11-30,150.49,151.88,150.49,151.88,
2006-12-31,151.89,152.57,149.16,152.57,
2007-01-31,152.57,152.62,149.86,149.86,
2007-02-28,149.86,149.87,149.86,149.87,
2007-03-31,149.87,150.77,148.59,148.64,
2007-04-30,148.64,160.76,148.64,160.76,
2007-05-31,163.04,191.18,163.04,191.18,
2007-06-30,191.18,198.07,191.18,198.07,
2007-07-31,193.06,193.36,173.32,173.86,
2007-08-31,173.86,275.37,173.86,275.37,
2007-09-30,275.37,275.37,244.76,245.43,
2007-10-31,255.42,256.38,240.4,241.35,
2007-11-30,242.02,259.26,242.02,247.42,
2007-12-31,247.42,248.97,246.73,248.92,
2008-01-31,248.92,248.92,240.58,240.58,
2008-02-29,240.55,241.31,226.29,241.31,
2008-03-31,236.31,253.31,236.31,253.31,
2008-04-30,253.31,274.23,253.31,274.23,
2008-05-31,274.23,274.25,240.49,240.49,
2008-06-30,240.49,359.13,235.19,359.13,
2008-07-31,335.27,385.72,335.27,358.45,
2008-08-31,360.95,366.53,360.95,362.53,
2008-09-30,362.7,362.7,347.49,356.06,
2008-10-31,356.06,357.62,272.48,272.48,
2008-11-30,272.56,272.56,257.53,258.03,
2008-12-31,258.56,297.6,258.56,295.79,
2009-01-31,274.54,295.84,274.54,287.58,
2009-02-28,287.58,287.61,275.06,275.06,
2009-03-31,275.56,277.57,274.56,274.56,
2009-04-30,274.06,274.06,252.53,262.54,
2009-05-31,262.54,262.54,247.52,247.52,
2009-06-30,229.86,229.86,227.49,227.74,
2009-07-31,229.99,262.53,229.99,262.53,
2009-08-31,262.61,262.61,247.51,250.04,
2009-09-30,249.86,250.39,246.83,246.83,
2009-10-31,246.83,247.33,246.83,246.83,
2009-11-30,246.83,246.83,241.82,242.33,
2009-12-31,242.33,246.83,236.31,236.31,
2010-01-31,236.31,236.31,223.69,223.77,
2010-02-28,223.77,245.01,223.77,244.2,
2010-03-31,244.2,244.25,236.89,237.47,
2010-04-30,237.47,249.0,237.47,244.15,
2010-05-31,244.15,258.68,244.15,253.84,
2010-06-30,253.84,256.26,232.04,256.26,
2010-07-31,256.26,257.05,244.99,252.2,
2010-08-31,252.2,257.05,252.2,252.2,
2010-09-30,252.2,256.98,250.87,250.87,
2010-10-31,250.87,250.87,231.0,231.0,
2010-11-30,231.0,239.02,231.0,238.99,
2010-12-31,238.99,239.47,237.19,238.14,
2011-01-31,238.14,241.96,238.14,240.91,
2011-02-28,240.91,240.91,240.43,240.43,
2011-03-31,240.44,240.44,240.44,240.44,
2011-04-30,240.44,240.44,240.44,240.44,
2011-05-31,240.44,240.92,207.98,207.98,
2011-06-30,207.98,230.19,204.11,230.19,
2011-07-31,230.19,234.96,228.26,230.19,
2011-08-31,230.19,230.19,216.61,216.61,
2011-09-30,216.61,232.49,216.61,232.49,
2011-10-31,232.49,249.17,224.68,240.44,
2011-11-30,240.44,240.44,239.0,239.0,
2011-12-31,239.0,239.0,239.0,239.0,
2012-01-31,239.0,239.0,200.84,201.3,
2012-02-29,201.3,201.3,200.82,200.82,
2012-03-31,201.55,217.26,201.07,217.26,
2012-04-30,218.62,240.1,216.24,239.63,
2012-05-31,239.63,241.02,202.8,207.57,
