Date,Open,High,Low,Close,Volume
1999-06-30,100.0,100.0,95.96,95.96,
1999-09-30,95.96,95.96,81.64,81.64,
1999-12-31,81.64,83.16,80.57,81.29,
2000-03-31,81.29,81.29,77.36,77.36,
2000-06-30,76.35,78.98,73.56,78.98,
2000-09-30,79.98,80.43,74.45,75.0,
2000-12-31,75.0,75.0,74.13,74.13,
2001-03-31,74.13,75.99,73.92,74.64,
2001-06-30,74.64,74.64,72.33,73.02,
2001-09-30,74.81,75.08,70.22,70.22,
2001-12-31,70.22,86.56,70.22,86.56,
2002-03-31,86.56,86.56,74.37,74.37,
2002-06-30,74.37,74.37,72.57,72.57,
2002-09-30,72.57,73.67,71.82,71.82,
2002-12-31,71.82,74.01,71.1,74.01,
2003-03-31,74.01,74.05,74.01,74.01,
2003-06-30,74.01,80.33,74.01,74.01,
2003-09-30,74.01,80.63,73.57,80.61,
2003-12-31,80.61,88.63,78.29,88.63,
2004-03-31,88.63,88.63,76.37,76.37,
2004-06-30,79.37,80.6,77.81,80.55,
2004-09-30,75.63,80.81,72.89,72.89,
2004-12-31,72.89,89.18,72.89,89.18,
2005-03-31,89.18,89.18,70.73,75.4,
2005-06-30,75.4,107.12,75.4,103.16,
2005-09-30,103.16,103.16,100.25,101.21,
2005-12-31,100.88,104.19,99.24,103.81,
2006-03-31,103.81,129.53,103.81,129.53,
2006-06-30,129.53,158.16,129.53,153.48,
2006-09-30,153.48,153.52,145.31,148.73,
2006-12-31,148.73,152.57,147.93,152.57,
2007-03-31,152.57,152.62,148.59,148.64,
2007-06-30,148.64,198.07,148.64,198.07,
2007-09-30,193.06,275.37,173.32,245.43,
2007-12-31,255.42,259.26,240.4,248.92,
2008-03-31,248.92,253.31,226.29,253.31,
2008-06-30,253.31,359.13,235.19,359.13,
2008-09-30,335.27,385.72,335.27,356.06,
2008-12-31,356.06,357.62,257.53,295.79,
2009-03-31,274.54,295.84,274.54,274.56,
2009-06-30,274.06,274.06,227.49,227.74,
2009-09-30,229.99,262.61,229.99,246.83,
2009-12-31,246.83,247.33,236.31,236.31,
2010-03-31,236.31,245.01,223.69,237.47,
2010-06-30,237.47,258.68,232.04,256.26,
2010-09-30,256.26,257.05,244.99,250.87,
2010-12-31,250.87,250.87,231.0,238.14,
2011-03-31,238.14,241.96,238.14,240.44,
2011-06-30,240.44,240.92,204.11,230.19,
2011-09-30,230.19,234.96,216.61,232.49,
2011-12-31,232.49,249.17,224.68,239.0,
2012-03-31,239.0,239.0,200.82,217.26,
2012-06-30,218.62,250.25,202.8,233.14,
2012-09-30,233.14,254.76,233.14,240.32,
2012-12-31,240.32,348.78,240.32,348.78,
2013-03-31,348.78,452.12,339.23,442.36,
2013-06-30,447.13,519.45,439.97,517.62,
2013-09-30,514.59,546.91,506.13,510.74,
2013-12-31,510.74,794.24,506.44,788.99,
2014-03-31,788.99,912.71,676.23,886.46,
2014-06-30,886.46,1053.55,788.99,1007.07,
2014-09-30,1007.07,1061.78,945.76,998.24,
2014-12-31,998.24,1213.38,601.14,1213.38,
2015-03-31,1213.38,1213.38,820.54,820.54,
2015-06-30,820.06,1030.36,652.81,892.45,
2015-09-30,946.16,972.57,877.47,948.54,
2015-12-31,947.26,1524.65,925.22,1524.65,
2016-03-31,1524.65,1524.65,1234.47,1424.35,
2016-06-30,1401.7,1503.13,1359.97,1433.19,
2016-09-30,1406.96,1425.71,1215.66,1307.7,
2016-12-31,1283.83,1450.16,1240.92,1431.92,
2017-03-31,1241.73,1432.98,1042.65,1111.39,
2017-06-30,1111.39,1111.39,967.98,1040.86,
2017-09-30,963.92,1076.32,892.52,896.57,
2017-12-31,910.89,1202.65,764.41,1202.65,
2018-03-31,1114.34,1193.1,966.17,1108.82,
2018-06-30,1108.82,1108.82,726.89,965.26,
2018-09-30,917.53,917.53,677.95,748.15,
2018-12-31,749.35,749.35,439.94,486.48,
2019-03-31,484.07,555.67,418.27,450.29,
2019-06-30,450.29,462.23,342.9,342.9,
2019-09-30,359.6,390.63,310.68,342.9,
2019-12-31,366.76,393.01,319.03,366.76,
2020-03-31,366.76,475.35,340.51,345.28,
2020-06-30,345.28,414.49,319.03,323.8,
2020-09-30,342.9,342.9,291.58,291.58,
2020-12-31,291.58,379.89,291.58,378.69,
2021-03-31,376.31,376.31,325.0,354.83,
2021-06-30,354.83,440.75,329.77,389.43,
2021-09-30,389.43,581.55,389.43,568.43,
2021-12-31,557.69,622.13,498.02,622.13,
2022-03-31,667.47,667.47,509.96,581.55,
2022-06-30,557.69,598.26,402.56,402.56,
2022-09-30,401.37,486.09,401.37,441.94,
2022-12-31,440.75,440.75,295.16,341.7,
2023-03-31,340.51,361.99,307.1,354.83,
2023-06-30,353.64,377.5,313.06,377.5,
2023-09-30,373.92,414.49,347.67,393.01,
2023-12-31,388.24,403.75,330.96,330.96,
2024-03-31,342.9,390.63,334.54,390.63,
2024-06-30,390.63,414.49,302.32,313.06,
2024-09-30,313.06,363.18,307.1,363.18,
2024-12-31,364.38,367.96,308.29,326.19,
2025-03-31,319.03,342.9,308.29,340.51,
2025-06-30,340.51,414.49,320.22,348.8,
2025-09-30,351.25,376.95,341.46,364.71,
2025-12-31,358.59,416.11,342.68,370.83,
