Date,Open,High,Low,Close,Volume
1999-06-21,100.0,100.0,100.0,100.0,
1999-06-28,100.0,100.0,95.96,95.96,
1999-07-05,95.96,95.96,95.27,95.27,
1999-07-12,94.73,94.73,87.83,87.83,
1999-07-19,85.53,85.53,84.95,84.95,
1999-07-26,84.95,84.95,84.67,84.67,
1999-08-02,84.67,84.67,84.67,84.67,
1999-08-09,84.54,84.54,84.54,84.54,
1999-08-16,84.54,84.54,84.54,84.54,
1999-08-23,84.66,84.66,84.54,84.54,
1999-08-30,84.54,84.54,84.54,84.54,
1999-09-06,84.52,84.54,84.52,84.54,
1999-09-13,84.95,84.95,84.95,84.95,
1999-09-20,84.95,84.95,83.0,83.0,
1999-09-27,83.0,83.0,81.64,81.64,
1999-10-04,81.64,81.64,81.64,81.64,
1999-10-11,81.64,81.64,81.64,81.64,
1999-10-18,81.64,83.16,81.64,83.16,
1999-10-25,81.8,81.8,80.57,80.57,
1999-11-01,81.25,81.25,81.25,81.25,
1999-11-08,81.53,81.53,81.53,81.53,
1999-11-15,81.53,81.53,81.53,81.53,
1999-11-22,82.35,82.35,82.35,82.35,
1999-11-29,82.63,82.63,82.63,82.63,
1999-12-06,82.63,82.63,82.63,82.63,
1999-12-13,81.29,81.29,81.29,81.29,
1999-12-20,81.29,81.29,81.29,81.29,
1999-12-27,81.29,81.29,81.29,81.29,
2000-01-03,81.29,81.29,81.29,81.29,
2000-01-10,81.29,81.29,81.02,81.02,
2000-01-17,81.02,81.02,81.02,81.02,
2000-01-24,81.02,81.02,81.02,81.02,
2000-01-31,81.02,81.02,81.02,81.02,
2000-02-07,81.02,81.02,81.02,81.02,
2000-02-14,79.11,79.11,77.45,77.45,
2000-02-21,77.45,77.45,77.45,77.45,
2000-02-28,77.45,77.45,77.45,77.45,
2000-03-06,77.45,77.45,77.45,77.45,
2000-03-13,77.45,77.45,77.45,77.45,
2000-03-20,77.45,77.45,77.45,77.45,
2000-03-27,77.45,77.45,77.36,77.36,
2000-04-03,77.36,77.36,76.35,76.35,
2000-04-10,76.35,76.35,76.07,76.07,
2000-04-17,76.07,76.07,74.97,74.97,
2000-04-24,74.97,74.97,74.96,74.96,
2000-05-01,74.96,74.96,74.96,74.96,
2000-05-08,74.96,74.96,74.96,74.96,
2000-05-15,73.6,73.6,73.6,73.6,
2000-05-22,73.6,73.6,73.6,73.6,
2000-05-29,73.6,73.6,73.56,73.56,
2000-06-05,73.56,73.56,73.56,73.56,
2000-06-12,73.56,74.93,73.56,74.93,
2000-06-19,76.31,77.95,76.31,77.95,
2000-06-26,78.77,78.77,78.77,78.77,
2000-07-03,78.98,79.98,78.98,79.98,
2000-07-10,78.98,79.05,78.98,79.05,
2000-07-17,79.05,80.43,79.05,80.43,
2000-07-24,80.43,80.43,80.43,80.43,
2000-07-31,77.76,77.76,77.76,77.76,
2000-08-07,77.76,77.76,77.76,77.76,
2000-08-14,76.38,76.38,76.38,76.38,
2000-08-21,76.38,76.38,76.38,76.38,
2000-08-28,76.38,76.38,76.38,76.38,
2000-09-04,76.38,76.38,75.01,75.01,
2000-09-11,75.01,75.01,75.01,75.01,
2000-09-18,75.01,75.01,75.01,75.01,
2000-09-25,74.45,75.01,74.45,75.01,
2000-10-02,75.01,75.01,75.0,75.0,
2000-10-09,75.0,75.0,75.0,75.0,
2000-10-16,75.0,75.0,75.0,75.0,
2000-10-23,75.0,75.0,75.0,75.0,
2000-10-30,75.0,75.0,75.0,75.0,
2000-11-06,74.72,74.72,74.72,74.72,
2000-11-13,74.45,74.45,74.45,74.45,
2000-11-20,74.45,74.45,74.45,74.45,
2000-11-27,74.45,74.45,74.45,74.45,
2000-12-04,74.45,74.45,74.45,74.45,
2000-12-11,74.45,74.45,74.16,74.16,
2000-12-18,74.16,74.16,74.16,74.16,
2000-12-25,74.16,74.16,74.16,74.16,
2001-01-01,74.13,74.13,74.13,74.13,
2001-01-08,74.13,74.13,73.92,74.05,
2001-01-15,74.05,74.05,74.05,74.05,
2001-01-22,74.05,74.05,74.05,74.05,
2001-01-29,74.05,74.05,74.05,74.05,
2001-02-05,74.05,74.05,74.05,74.05,
2001-02-12,74.05,74.05,74.05,74.05,
2001-02-19,74.89,74.89,74.89,74.89,
2001-02-26,74.89,75.44,74.89,75.44,
2001-03-05,75.44,75.44,74.89,74.89,
2001-03-12,75.44,75.71,75.44,75.71,
2001-03-19,75.71,75.99,75.71,75.99,
2001-03-26,75.99,75.99,75.99,75.99,
2001-04-02,75.99,75.99,74.64,74.64,
2001-04-09,74.64,74.64,74.64,74.64,
2001-04-16,74.64,74.64,74.09,74.09,
2001-04-23,74.09,74.21,74.08,74.21,
2001-04-30,74.21,74.21,74.2,74.2,
2001-05-07,74.2,74.2,74.2,74.2,
2001-05-14,74.2,74.21,74.2,74.21,
2001-05-21,74.21,74.21,74.21,74.21,
2001-05-28,73.02,73.02,72.33,72.33,
2001-06-04,73.02,73.02,73.02,73.02,
2001-06-11,73.02,73.02,73.02,73.02,
2001-06-18,73.02,73.02,73.02,73.02,
2001-06-25,73.02,73.02,73.02,73.02,
2001-07-02,73.02,74.81,73.02,74.81,
2001-07-09,74.94,75.08,74.94,75.08,
2001-07-16,75.08,75.08,75.08,75.08,
2001-07-23,73.71,73.71,72.73,72.73,
2001-07-30,72.73,72.73,72.73,72.73,
2001-08-06,72.73,73.0,72.73,73.0,
2001-08-13,73.0,73.0,73.0,73.0,
2001-08-20,73.0,73.0,73.0,73.0,
2001-08-27,73.0,73.0,72.9,72.9,
2001-09-03,72.9,72.9,72.9,72.9,
2001-09-10,72.9,72.9,72.9,72.9,
2001-09-17,72.9,72.9,72.9,72.9,
2001-09-24,72.9,72.9,70.22,70.22,
2001-10-01,70.22,70.22,70.22,70.22,
2001-10-08,70.22,70.22,70.22,70.22,
2001-10-15,70.22,70.22,70.22,70.22,
2001-10-22,70.22,70.22,70.22,70.22,
2001-10-29,70.22,70.22,70.22,70.22,
2001-11-05,70.22,70.22,70.22,70.22,
2001-11-12,70.22,70.22,70.22,70.22,
2001-11-19,70.22,70.22,70.22,70.22,
2001-11-26,70.22,70.49,70.22,70.49,
2001-12-03,70.49,70.49,70.49,70.49,
2001-12-10,70.49,70.49,70.49,70.49,
2001-12-17,70.49,72.72,70.49,72.72,
2001-12-24,75.1,80.41,75.1,80.41,
2001-12-31,86.56,86.56,86.56,86.56,
2002-01-07,86.56,86.56,86.56,86.56,
2002-01-14,86.56,86.56,86.56,86.56,
2002-01-21,86.56,86.56,86.56,86.56,
2002-01-28,86.56,86.56,86.56,86.56,
2002-02-04,86.56,86.56,86.56,86.56,
2002-02-11,86.56,86.56,86.56,86.56,
2002-02-18,86.56,86.56,86.56,86.56,
