Date,Open,High,Low,Close,Volume
1999-12-31,100.0,100.0,80.57,81.29,
2000-12-31,81.29,81.29,73.56,74.13,
2001-12-31,74.13,86.56,70.22,86.56,
2002-12-31,86.56,86.56,71.1,74.01,
2003-12-31,74.01,88.63,73.57,88.63,
2004-12-31,88.63,89.18,72.89,89.18,
2005-12-31,89.18,107.12,70.73,103.81,
2006-12-31,103.81,158.16,103.81,152.57,
2007-12-31,152.57,275.37,148.59,248.92,
2008-12-31,248.92,385.72,226.29,295.79,
2009-12-31,274.54,295.84,227.49,236.31,
2010-12-31,236.31,258.68,223.69,238.14,
2011-12-31,238.14,249.17,204.11,239.0,
2012-12-31,239.0,348.78,200.82,348.78,
2013-12-31,348.78,794.24,339.23,788.99,
2014-12-31,788.99,1213.38,601.14,1213.38,
2015-12-31,1213.38,1524.65,652.81,1524.65,
2016-12-31,1524.65,1524.65,1215.66,1431.92,
2017-12-31,1241.73,1432.98,764.41,1202.65,
2018-12-31,1114.34,1193.1,439.94,486.48,
2019-12-31,484.07,555.67,310.68,366.76,
2020-12-31,366.76,475.35,291.58,378.69,
2021-12-31,376.31,622.13,325.0,622.13,
2022-12-31,667.47,667.47,295.16,341.7,
2023-12-31,340.51,414.49,307.1,330.96,
2024-12-31,342.9,414.49,302.32,326.19,
2025-12-31,319.03,416.11,308.29,370.83,
