Date,Open,High,Low,Close,Volume
1998-09-16,1325,1325,1325,1325,1440
1998-09-18,1424,1424,1424,1424,2040
1998-09-21,1531,1531,1531,1531,2000
1998-09-23,1645,1645,1645,1645,4440
1998-09-25,1645,1645,1645,1645,1200
1998-09-28,1645,1645,1645,1645,4440
1998-09-30,1645,1645,1645,1645,3160
1998-10-02,1645,1645,1645,1645,3600
1998-10-05,1645,1645,1645,1645,2120
1998-10-07,1768,1768,1768,1768,6480
1998-10-09,1768,1768,1768,1768,12480
1998-10-16,1650,1650,1650,1650,1000
1998-10-19,1650,1650,1650,1650,400
1998-10-21,1538,1538,1538,1538,6000
1998-10-23,1425,1425,1425,1425,2000
1998-10-26,1319,1319,1319,1319,800
1998-10-28,1225,1225,1225,1225,800
1998-11-04,1250,1250,1250,1250,1560
1998-11-09,1250,1250,1250,1250,1480
1998-11-13,1175,1175,1175,1175,2440
1998-11-18,1263,1263,1263,1263,2480
1998-11-25,1344,1344,1344,1344,80
1998-11-30,1263,1263,1263,1263,320
1998-12-04,1358,1358,1358,1358,2840
1998-12-16,1358,1358,1358,1358,13600
1998-12-30,1358,1358,1358,1358,840
1999-01-04,1358,1358,1358,1358,4000
1999-01-08,1358,1358,1358,1358,4000
1999-01-13,1358,1358,1358,1358,400
1999-01-22,1358,1358,1358,1358,3520
1999-01-25,1358,1358,1358,1358,4000
1999-01-27,1358,1358,1358,1358,5040
1999-01-29,1358,1358,1358,1358,2560
1999-02-03,1358,1358,1358,1358,12400
1999-02-05,1358,1358,1358,1358,1360
1999-02-08,1358,1358,1358,1358,1680
1999-02-10,1360,1360,1360,1360,1400
1999-02-12,1360,1360,1360,1360,17280
1999-02-15,1360,1360,1360,1360,1200
1999-02-17,1360,1360,1360,1360,560
1999-02-19,1360,1360,1360,1360,960
1999-02-22,1360,1360,1360,1360,200
1999-03-03,1378,1378,1378,1378,10400
1999-03-05,1378,1378,1378,1378,3600
1999-03-08,1378,1378,1378,1378,160
