Date,Open,High,Low,Close,Volume
1998-09-30,1325,1645.0,1325.0,1645,18720
1998-10-31,1645,1768.0,1225.0,1225,35680
1998-11-30,1250,1344.0,1175.0,1263,8360
1998-12-31,1358,1358.0,1358.0,1358,17280
1999-01-31,1358,1358.0,1358.0,1358,23520
1999-02-28,1358,1360.0,1358.0,1360,37040
1999-03-31,1378,1484.0,1378.0,1400,23920
1999-04-30,1413,1426.0,1413.0,1414,9200
1999-05-31,1414,1414.0,1414.0,1414,240
1999-06-30,1308,1308.0,1133.0,1133,9200
1999-07-31,1135,1150.0,1125.0,1125,11600
1999-08-31,1125,1125.0,1125.0,1125,4160
1999-09-30,1075,1088.0,1075.0,1088,4640
1999-10-31,1088,1125.0,1088.0,1113,12160
1999-11-30,1103,1103.0,1100.0,1100,13600
1999-12-31,1100,1100.0,1025.0,1088,15600
2000-01-31,1088,1088.0,1088.0,1088,4880
2000-02-29,1088,1093.0,1088.0,1093,11160
2000-03-31,1090,1113.0,1090.0,1112,12200
2000-04-30,1093,1093.0,1088.0,1088,8040
2000-05-31,1075,1088.0,1075.0,1088,7600
2000-06-30,1075,1075.0,1075.0,1075,3320
2000-07-31,1050,1050.0,1050.0,1050,1200
2000-08-31,1050,1050.0,950.0,950,3960
2000-09-30,950,950.0,950.0,950,3800
2000-10-31,950,950.0,942.0,942,27640
2000-11-30,942,942.0,942.0,942,1800
2000-12-31,942,942.0,942.0,942,280
2001-01-31,925,925.0,925.0,925,4680
2001-02-28,925,925.0,925.0,925,200
2001-03-31,925,925.0,828.0,828,1560
2001-04-30,825,825.0,825.0,825,600
2001-05-31,775,775.0,775.0,775,2040
2001-06-30,750,750.0,750.0,750,880
2001-08-31,750,750.0,750.0,750,680
2001-12-31,642,642.0,642.0,642,8760
2002-01-31,642,642.0,642.0,642,80
2002-02-28,642,642.0,642.0,642,200
2002-03-31,642,642.0,642.0,642,40
2002-06-30,575,575.0,563.0,563,3040
2002-07-31,563,563.0,563.0,563,80
2002-08-31,563,563.0,563.0,563,800
2002-09-30,563,563.0,563.0,563,880
2003-03-31,548,548.0,535.0,535,3040
2003-04-30,535,535.0,535.0,535,400
2003-05-31,495,495.0,493.0,493,5000
2003-06-30,450,450.0,450.0,450,400
2003-07-31,437,437.0,435.0,435,3200
2003-08-31,402,402.0,375.0,375,5320
2003-10-31,350,350.0,325.0,325,26240
2003-11-30,325,325.0,313.0,313,12520
2003-12-31,325,325.0,325.0,325,1200
2004-01-31,325,325.0,325.0,325,1960
2004-02-29,323,325.0,323.0,325,4440
2004-03-31,325,325.0,323.0,323,1440
2004-04-30,323,323.0,300.0,300,1920
2004-05-31,300,300.0,300.0,300,120
2004-06-30,300,300.0,300.0,300,200
2004-07-31,300,300.0,288.0,288,3880
2004-08-31,288,288.0,288.0,288,680
2004-09-30,288,288.0,288.0,288,40
2004-10-31,268,268.0,268.0,268,1960
2004-11-30,256,256.0,256.0,256,400
2004-12-31,256,256.0,248.0,256,2640
2005-01-31,248,248.0,248.0,248,12840
2005-02-28,248,248.0,212.0,213,42920
2005-03-31,213,213.0,213.0,213,960
2005-04-30,210,210.0,210.0,210,4080
2005-05-31,210,210.0,210.0,210,200
2005-06-30,210,210.0,209.0,209,4560
2005-07-31,209,209.0,209.0,209,480
2005-08-31,200,200.0,200.0,200,640
2005-09-30,200,200.0,200.0,200,1760
2005-10-31,200,200.0,200.0,200,4560
2005-11-30,193,208.0,180.0,208,25480
2005-12-31,223,268.0,223.0,268,3400
2006-01-31,268,268.0,265.0,265,2200
2006-02-28,265,265.0,265.0,265,520
2006-11-30,250,250.0,250.0,250,26240
2006-12-31,233,233.0,200.0,200,5520
2007-01-31,200,200.0,200.0,200,4000
2007-02-28,200,200.0,200.0,200,1440
2007-03-31,200,200.0,200.0,200,1680
2007-04-30,200,200.0,200.0,200,1520
2007-05-31,200,213.0,200.0,213,1560
2007-06-30,213,213.0,213.0,213,6520
2007-07-31,215,215.0,215.0,215,680
2007-08-31,225,260.0,225.0,260,4360
2007-09-30,280,323.0,260.0,323,43040
2007-10-31,324,516.0,324.0,516,13680
