Date,Open,High,Low,Close,Volume
1998-09-30,1325,1645.0,1325.0,1645,18720
1998-12-31,1645,1768.0,1175.0,1358,61320
1999-03-31,1358,1484.0,1358.0,1400,84480
1999-06-30,1413,1426.0,1133.0,1133,18640
1999-09-30,1135,1150.0,1075.0,1088,20400
1999-12-31,1088,1125.0,1025.0,1088,41360
2000-03-31,1088,1113.0,1088.0,1112,28240
2000-06-30,1093,1093.0,1075.0,1075,18960
2000-09-30,1050,1050.0,950.0,950,8960
2000-12-31,950,950.0,942.0,942,29720
2001-03-31,925,925.0,828.0,828,6440
2001-06-30,825,825.0,750.0,750,3520
2001-09-30,750,750.0,750.0,750,680
2001-12-31,642,642.0,642.0,642,8760
2002-03-31,642,642.0,642.0,642,320
2002-06-30,575,575.0,563.0,563,3040
2002-09-30,563,563.0,563.0,563,1760
2003-03-31,548,548.0,535.0,535,3040
2003-06-30,535,535.0,450.0,450,5800
2003-09-30,437,437.0,375.0,375,8520
2003-12-31,350,350.0,313.0,325,39960
2004-03-31,325,325.0,323.0,323,7840
2004-06-30,323,323.0,300.0,300,2240
2004-09-30,300,300.0,288.0,288,4600
2004-12-31,268,268.0,248.0,256,5000
2005-03-31,248,248.0,212.0,213,56720
2005-06-30,210,210.0,209.0,209,8840
2005-09-30,209,209.0,200.0,200,2880
2005-12-31,200,268.0,180.0,268,33440
2006-03-31,268,268.0,265.0,265,2720
2006-12-31,250,250.0,200.0,200,31760
2007-03-31,200,200.0,200.0,200,7120
2007-06-30,200,213.0,200.0,213,9600
2007-09-30,215,323.0,215.0,323,48080
2007-12-31,324,625.0,324.0,600,51320
2008-03-31,600,600.0,575.0,575,6280
2008-06-30,550,550.0,359.0,415,556680
2008-09-30,418,940.0,418.0,825,52360
2008-12-31,850,850.0,525.0,525,6120
2009-03-31,488,488.0,463.0,475,12120
2009-06-30,475,475.0,409.0,409,1920
2009-09-30,409,435.0,375.0,375,19480
2009-12-31,375,435.0,375.0,435,12640
2010-03-31,372,500.0,350.0,463,100720
2010-06-30,475,475.0,425.0,425,29200
2010-09-30,425,567.0,393.0,550,14400
2010-12-31,545,575.0,545.0,575,34880
2011-03-31,575,575.0,525.0,564,15960
2011-06-30,564,863.0,564.0,863,28920
2011-09-30,863,1000.0,745.0,750,22160
2011-12-31,763,775.0,725.0,725,50080
2012-03-31,775,813.0,750.0,813,165560
2012-06-30,800,800.0,729.0,750,152240
2012-09-30,750,938.0,750.0,938,34200
2012-12-31,938,1400.0,938.0,1300,170000
2013-03-31,1375,1720.0,1350.0,1650,167040
2013-06-30,1743,1907.0,1500.0,1850,109120
2013-09-30,1850,1925.0,1711.0,1925,112480
2013-12-31,1813,2545.0,1813.0,2545,308640
2014-03-31,2354,2663.0,1925.0,2200,71280
2014-06-30,2205,2250.0,1813.0,2093,112280
2014-09-30,2050,2500.0,2050.0,2500,68240
2014-12-31,2500,2550.0,2100.0,2550,91200
2015-03-31,2550,2741.0,1575.0,1575,53080
2015-06-30,1458,2947.0,1425.0,2625,134840
2015-09-30,2600,2625.0,2250.0,2500,71960
2015-12-31,2600,3088.0,2450.0,3088,291160
2016-03-31,3088,3088.0,2250.0,2250,33400
2016-06-30,2250,2875.0,2000.0,2675,44280
2016-09-30,2675,2956.0,2125.0,2250,175760
2016-12-31,2250,2250.0,2000.0,2188,26000
2017-03-31,2125,2125.0,1575.0,1575,143840
2017-06-30,1625,1625.0,1263.0,1280,66840
2017-09-30,1275,1275.0,900.0,1000,78168
2017-12-31,1000,1185.0,870.0,1105,149407
2018-03-31,1150,2000.0,1135.0,2000,237290
2018-06-30,2000,2100.0,1300.0,1500,239712
2018-09-30,1400,1530.0,1095.0,1200,15543
2018-12-31,1200,1245.0,825.0,990,75198
2019-03-31,1000,1640.0,870.0,1000,98266
2019-06-30,1070,1070.0,900.0,950,36044
2019-09-30,950,1000.0,850.0,850,61668
2019-12-31,850,850.0,600.0,630,226261
2020-03-31,630,690.0,520.0,590,175107
2020-06-30,600,905.0,580.0,820,98765
2020-09-30,820,900.0,680.0,880,113570
2020-12-31,880,1200.0,850.0,1010,373687
2021-03-31,1010,1500.0,990.0,1300,137537
2021-06-30,1260,1315.0,1180.0,1255,44454
2021-09-30,1255,1445.0,980.0,980,155142
2021-12-31,970,1230.0,970.0,1015,165103
2022-03-31,1090,1315.0,1020.0,1105,100846
2022-06-30,1130,1180.0,955.0,1120,46005
2022-09-30,1120,1290.0,1015.0,1085,79169
2022-12-31,1085,1245.0,975.0,1170,129563
2023-03-31,1170,1215.0,885.0,995,52000
2023-06-30,1000,1100.0,930.0,1020,35147
2023-09-30,1010,1320.0,1010.0,1165,21091
2023-12-31,1165,1240.0,990.0,1110,66496
2024-03-31,1115,1160.0,960.0,1140,15861
2024-06-30,1140,1200.0,925.0,1060,41860
2024-09-30,1060,1075.0,925.0,1020,114548
2024-12-31,955,1170.0,955.0,1040,87873
2025-03-31,1040,1420.0,1000.0,1340,103606
2025-06-30,1340,1400.0,1110.0,1185,229986
2025-09-30,1185,1495.0,1120.0,1415,58980
2025-12-31,1495,2700.0,1415.0,2360,87055
2026-03-31,2360,4010.0,2300.0,3400,124479
2026-06-30,3655,4500.0,3260.0,4500,129002
2026-09-30,4600,4600.0,3455.0,3620,94430
