Date,Open,High,Low,Close,Volume
1998-09-21,1325,1531.0,1325.0,1531,5480
1998-09-28,1645,1645.0,1645.0,1645,10080
1998-10-05,1645,1645.0,1645.0,1645,8880
1998-10-12,1768,1768.0,1768.0,1768,18960
1998-10-19,1650,1650.0,1650.0,1650,1400
1998-10-26,1538,1538.0,1319.0,1319,8800
1998-11-02,1225,1225.0,1225.0,1225,800
1998-11-09,1250,1250.0,1250.0,1250,3040
1998-11-16,1175,1175.0,1175.0,1175,2440
1998-11-23,1263,1263.0,1263.0,1263,2480
1998-11-30,1344,1344.0,1263.0,1263,400
1998-12-07,1358,1358.0,1358.0,1358,2840
1998-12-21,1358,1358.0,1358.0,1358,13600
1999-01-04,1358,1358.0,1358.0,1358,4840
1999-01-11,1358,1358.0,1358.0,1358,4000
1999-01-18,1358,1358.0,1358.0,1358,400
1999-01-25,1358,1358.0,1358.0,1358,7520
1999-02-01,1358,1358.0,1358.0,1358,7600
1999-02-08,1358,1358.0,1358.0,1358,15440
1999-02-15,1360,1360.0,1360.0,1360,19880
1999-02-22,1360,1360.0,1360.0,1360,1720
1999-03-08,1378,1378.0,1378.0,1378,14160
1999-03-15,1378,1379.0,1378.0,1379,800
1999-03-22,1380,1380.0,1380.0,1380,2160
1999-03-29,1484,1484.0,1484.0,1484,5760
1999-04-05,1400,1413.0,1400.0,1413,6400
1999-04-12,1413,1413.0,1413.0,1413,1600
1999-04-19,1414,1426.0,1414.0,1426,1800
1999-05-03,1414,1414.0,1414.0,1414,440
1999-05-10,1414,1414.0,1414.0,1414,240
1999-06-14,1308,1308.0,1308.0,1308,480
1999-06-21,1224,1224.0,1224.0,1224,5040
1999-06-28,1133,1133.0,1133.0,1133,3680
1999-07-12,1135,1150.0,1135.0,1150,7400
1999-07-19,1150,1150.0,1138.0,1138,2400
1999-07-26,1125,1125.0,1125.0,1125,800
1999-08-02,1125,1125.0,1125.0,1125,1480
1999-08-16,1125,1125.0,1125.0,1125,440
1999-08-23,1125,1125.0,1125.0,1125,2400
1999-08-30,1125,1125.0,1125.0,1125,840
1999-09-06,1075,1075.0,1075.0,1075,1080
1999-09-13,1088,1088.0,1088.0,1088,2760
1999-09-20,1088,1088.0,1088.0,1088,800
1999-10-11,1088,1088.0,1088.0,1088,1480
1999-10-18,1088,1088.0,1088.0,1088,120
1999-10-25,1088,1125.0,1088.0,1125,2400
1999-11-01,1113,1113.0,1113.0,1113,8160
1999-11-08,1103,1103.0,1103.0,1103,6400
1999-11-15,1103,1103.0,1103.0,1103,4920
1999-11-22,1100,1100.0,1100.0,1100,1000
1999-11-29,1100,1100.0,1100.0,1100,1280
1999-12-06,1100,1100.0,1025.0,1025,7640
1999-12-13,1100,1100.0,1100.0,1100,2320
1999-12-20,1075,1088.0,1075.0,1088,1520
1999-12-27,1088,1088.0,1088.0,1088,680
2000-01-03,1088,1088.0,1088.0,1088,3440
2000-01-10,1088,1088.0,1088.0,1088,480
2000-01-17,1088,1088.0,1088.0,1088,400
2000-01-24,1088,1088.0,1088.0,1088,3240
2000-01-31,1088,1088.0,1088.0,1088,760
2000-02-07,1088,1088.0,1088.0,1088,1320
2000-02-14,1088,1088.0,1088.0,1088,840
2000-02-21,1088,1088.0,1088.0,1088,3320
2000-02-28,1088,1093.0,1088.0,1093,5680
2000-03-06,1090,1098.0,1090.0,1098,4080
2000-03-13,1100,1101.0,1100.0,1101,5080
2000-03-20,1101,1101.0,1101.0,1101,1520
2000-03-27,1113,1113.0,1112.0,1112,1520
2000-04-10,1093,1093.0,1093.0,1093,5680
2000-04-17,1093,1093.0,1093.0,1093,1720
2000-04-24,1088,1088.0,1088.0,1088,600
2000-05-01,1088,1088.0,1088.0,1088,40
2000-05-08,1075,1075.0,1075.0,1075,3920
2000-05-15,1075,1088.0,1075.0,1088,3280
2000-05-22,1088,1088.0,1088.0,1088,400
2000-06-12,1075,1075.0,1075.0,1075,2320
2000-06-19,1075,1075.0,1075.0,1075,600
2000-06-26,1075,1075.0,1075.0,1075,400
2000-07-24,1050,1050.0,1050.0,1050,1000
2000-07-31,1050,1050.0,1050.0,1050,200
2000-08-07,1050,1050.0,1050.0,1050,40
2000-08-21,1050,1050.0,1050.0,1050,400
2000-08-28,1025,1025.0,1025.0,1025,2720
2000-09-04,950,950.0,950.0,950,1600
2000-09-11,950,950.0,950.0,950,400
2000-09-18,950,950.0,950.0,950,200
2000-09-25,950,950.0,950.0,950,2200
2000-10-02,950,950.0,950.0,950,200
2000-10-09,950,950.0,950.0,950,1160
2000-10-16,945,945.0,945.0,945,400
2000-10-23,942,942.0,942.0,942,480
2000-10-30,942,942.0,942.0,942,25600
2000-11-06,942,942.0,942.0,942,1200
2000-11-13,942,942.0,942.0,942,280
2000-11-27,942,942.0,942.0,942,320
2000-12-11,942,942.0,942.0,942,80
2000-12-18,942,942.0,942.0,942,200
2001-01-22,925,925.0,925.0,925,480
2001-01-29,925,925.0,925.0,925,4200
2001-02-05,925,925.0,925.0,925,200
2001-03-19,925,925.0,925.0,925,520
2001-03-26,895,895.0,895.0,895,440
2001-04-02,828,828.0,828.0,828,600
2001-04-16,825,825.0,825.0,825,600
2001-05-28,775,775.0,775.0,775,2040
2001-06-25,750,750.0,750.0,750,880
2001-09-03,750,750.0,750.0,750,680
2001-12-10,642,642.0,642.0,642,1600
2001-12-31,642,642.0,642.0,642,7160
2002-01-28,642,642.0,642.0,642,80
2002-02-11,642,642.0,642.0,642,200
2002-03-11,642,642.0,642.0,642,40
2002-06-10,575,575.0,575.0,575,2000
2002-06-24,563,563.0,563.0,563,1040
2002-07-08,563,563.0,563.0,563,80
2002-08-19,563,563.0,563.0,563,800
2002-09-23,563,563.0,563.0,563,880
2003-03-10,548,548.0,548.0,548,1440
2003-03-24,538,538.0,538.0,538,400
2003-03-31,535,535.0,535.0,535,1200
2003-04-07,535,535.0,535.0,535,400
2003-05-19,495,495.0,493.0,493,5000
2003-06-09,450,450.0,450.0,450,400
2003-07-21,437,437.0,437.0,437,1200
2003-08-04,435,435.0,435.0,435,2000
2003-08-11,402,402.0,402.0,402,800
2003-08-25,375,375.0,375.0,375,4520
2003-10-13,350,350.0,325.0,325,2200
2003-10-20,325,325.0,325.0,325,23040
2003-10-27,325,325.0,325.0,325,800
2003-11-03,325,325.0,325.0,325,200
2003-11-10,325,325.0,325.0,325,200
2003-11-17,313,313.0,313.0,313,9480
2003-11-24,325,325.0,325.0,325,2520
2003-12-01,313,313.0,313.0,313,320
2003-12-22,325,325.0,325.0,325,800
2003-12-29,325,325.0,325.0,325,400
2004-01-05,325,325.0,325.0,325,520
2004-01-12,325,325.0,325.0,325,40
2004-01-19,325,325.0,325.0,325,800
2004-01-26,325,325.0,325.0,325,600
2004-02-16,323,323.0,323.0,323,480
2004-02-23,323,325.0,323.0,325,1960
2004-03-01,325,325.0,325.0,325,2000
2004-03-08,325,325.0,325.0,325,600
2004-03-15,325,325.0,325.0,325,440
2004-03-22,323,323.0,323.0,323,400
2004-04-05,323,323.0,323.0,323,200
2004-05-03,313,313.0,300.0,300,1720
2004-05-10,300,300.0,300.0,300,120
2004-06-28,300,300.0,300.0,300,200
2004-07-05,300,300.0,300.0,300,1000
2004-07-12,300,300.0,288.0,288,920
2004-07-19,288,288.0,288.0,288,1960
2004-08-23,288,288.0,288.0,288,680
2004-10-04,288,288.0,268.0,268,840
2004-10-18,268,268.0,268.0,268,1160
2004-11-08,256,256.0,256.0,256,400
2004-12-13,256,256.0,256.0,256,240
2004-12-27,248,256.0,248.0,256,1520
2005-01-03,256,256.0,256.0,256,880
2005-01-24,248,248.0,248.0,248,10040
2005-01-31,248,248.0,248.0,248,2800
2005-02-07,248,248.0,229.0,229,27720
2005-02-21,229,229.0,229.0,229,1200
2005-02-28,212,213.0,212.0,213,14000
2005-03-07,213,213.0,213.0,213,400
2005-03-14,213,213.0,213.0,213,560
2005-04-25,210,210.0,210.0,210,400
2005-05-02,210,210.0,210.0,210,3680
2005-05-23,210,210.0,210.0,210,200
2005-06-13,210,210.0,210.0,210,3760
2005-06-20,210,210.0,209.0,209,800
2005-07-11,209,209.0,209.0,209,40
2005-07-18,209,209.0,209.0,209,40
2005-07-25,209,209.0,209.0,209,400
2005-08-15,200,200.0,200.0,200,560
2005-08-22,200,200.0,200.0,200,80
2005-09-12,200,200.0,200.0,200,1560
2005-09-19,200,200.0,200.0,200,200
2005-10-10,200,200.0,200.0,200,280
2005-10-17,200,200.0,200.0,200,3280
2005-10-24,200,200.0,200.0,200,1000
2005-11-07,193,193.0,193.0,193,16200
2005-11-14,193,193.0,193.0,193,720
2005-11-21,193,193.0,193.0,193,440
2005-11-28,180,180.0,180.0,180,4600
2005-12-05,194,238.0,194.0,238,5320
2005-12-12,238,238.0,238.0,238,400
2005-12-19,268,268.0,268.0,268,1200
2006-01-09,268,268.0,268.0,268,400
2006-01-16,265,265.0,265.0,265,1800
2006-02-13,265,265.0,265.0,265,120
2006-02-20,265,265.0,265.0,265,400
2006-11-13,250,250.0,250.0,250,26240
2006-12-18,233,233.0,233.0,233,3200
2006-12-25,215,215.0,215.0,215,960
2007-01-01,215,215.0,200.0,200,1360
2007-01-08,200,200.0,200.0,200,840
2007-01-15,200,200.0,200.0,200,2600
2007-01-29,200,200.0,200.0,200,560
2007-02-19,200,200.0,200.0,200,760
2007-02-26,200,200.0,200.0,200,440
2007-03-05,200,200.0,200.0,200,240
2007-03-12,200,200.0,200.0,200,160
2007-03-19,200,200.0,200.0,200,600
2007-03-26,200,200.0,200.0,200,520
2007-04-02,200,200.0,200.0,200,1560
2007-04-09,200,200.0,200.0,200,360
2007-05-14,200,200.0,200.0,200,160
2007-05-28,213,213.0,213.0,213,840
2007-06-04,213,213.0,213.0,213,560
2007-06-11,213,213.0,213.0,213,3480
2007-06-18,213,213.0,213.0,213,440
2007-07-02,213,213.0,213.0,213,2600
2007-07-23,215,215.0,215.0,215,640
2007-08-06,215,215.0,215.0,215,40
2007-08-13,225,225.0,225.0,225,4040
2007-09-03,260,260.0,260.0,260,320
