Date,Open,High,Low,Close,Volume
1998-12-31,1325,1768,1175,1358,80040
1999-12-31,1358,1484,1025,1088,164880
2000-12-31,1088,1113,942,942,85880
2001-12-31,925,925,642,642,19400
2002-12-31,642,642,563,563,5120
2003-12-31,548,548,313,325,57320
2004-12-31,325,325,248,256,19680
2005-12-31,248,268,180,268,101880
2006-12-31,268,268,200,200,34480
2007-12-31,200,625,200,600,116120
2008-12-31,600,940,359,525,621440
2009-12-31,488,488,375,435,46160
2010-12-31,372,575,350,575,179200
2011-12-31,575,1000,525,725,117120
2012-12-31,775,1400,729,1300,522000
2013-12-31,1375,2545,1350,2545,697280
2014-12-31,2354,2663,1813,2550,343000
2015-12-31,2550,3088,1425,3088,551040
2016-12-31,3088,3088,2000,2188,279440
2017-12-31,2125,2125,870,1105,438255
2018-12-31,1150,2100,825,990,567743
2019-12-31,1000,1640,600,630,422239
2020-12-31,630,1200,520,1010,761129
2021-12-31,1010,1500,970,1015,502236
2022-12-31,1090,1315,955,1170,355583
2023-12-31,1170,1320,885,1110,174734
2024-12-31,1115,1200,925,1040,260142
2025-12-31,1040,2700,1000,2360,479627
2026-12-31,2360,4600,2300,3540,375554
