Date,Open,High,Low,Close,Volume
2016-12-31,6299,8408,6299,8408,29706
2017-01-31,9038,9766,7623,9766,217791
2017-02-28,9571,10938,8984,10938,233645
2017-03-31,10742,11328,10298,11133,152571
2017-04-30,10958,11133,8943,9668,101212
2017-05-31,9479,9717,9182,9570,111365
2017-06-30,9375,9766,8735,9766,148091
2017-07-31,9180,9766,8854,9469,116291
2017-08-31,8987,9473,8888,9375,150820
2017-09-30,8984,9780,7565,9780,79592
2017-10-31,9900,9900,8700,9199,39160
2017-11-30,9190,9200,8325,8997,21505
2017-12-31,8401,10000,8401,10000,56648
2018-01-31,9400,10000,8505,9100,16229
2018-02-28,9000,9400,8500,9000,43739
2018-03-31,9000,9000,8405,8800,26323
2018-04-30,8700,9000,8235,8800,43615
2018-05-31,8850,8850,8105,8700,13858
2018-06-30,8300,8995,8200,8995,18988
2018-07-31,8505,8990,7900,8300,9355
2018-08-31,8105,8300,7750,8100,20521
2018-09-30,7710,8200,7495,8100,20138
2018-10-31,7950,8100,7400,7550,13485
2018-11-30,7500,7500,6570,7110,18451
2018-12-31,6600,8800,6475,8695,40536
2019-01-31,8695,8790,6935,7500,7330
2019-02-28,7450,8000,6800,7690,13536
2019-03-31,7120,7900,7000,7400,21371
2019-04-30,7100,7850,6850,7750,25128
2019-05-31,7745,8000,7250,7740,9282
2019-06-30,7695,8400,7030,8400,10348
2019-07-31,7960,8500,7000,7400,9276
2019-08-31,7400,7400,7100,7400,5994
2019-09-30,7400,7400,7105,7400,14710
2019-10-31,7395,8080,7100,7900,17165
2019-11-30,7900,7900,7650,7800,4065
2019-12-31,7800,8250,7305,8000,14748
2020-01-31,7400,8000,7400,7800,8023
2020-02-29,7800,7900,7400,7795,34147
2020-03-31,7405,7900,7215,7700,7436
2020-04-30,7500,7700,7000,7600,4900
2020-05-31,7455,7745,7100,7600,3230
2020-06-30,7600,7795,7030,7650,19344
2020-07-31,7550,7780,6840,7300,7900
2020-08-31,7200,7405,6660,7405,17927
2020-09-30,7400,7850,7185,7450,1630875
2020-10-31,7400,7500,7185,7240,26000
2020-11-30,7240,7600,7195,7500,36445
2020-12-31,7495,8100,7400,8100,36924
2021-01-31,7500,8200,7445,7700,3841
2021-02-28,7700,7800,7300,7600,13345
2021-03-31,7500,7600,7380,7600,3014
2021-04-30,7600,7800,7355,7795,16899
2021-05-31,7795,8400,7695,7695,5462
2021-06-30,7650,8300,7400,8300,7148
2021-07-31,7955,8300,7405,8275,11158
2021-08-31,8200,9000,7905,9000,14597
2021-09-30,9200,9500,8500,9500,14473
2021-10-31,9300,9500,8750,9250,10792
2021-11-30,9250,9250,8650,9150,6229
2021-12-31,9100,10500,8995,10500,32154
2022-01-31,10710,10710,9800,10000,7841
2022-02-28,10000,11000,9180,10500,22267
2022-03-31,10500,10750,9850,10000,8744
2022-04-30,9995,9995,9250,9690,12146
2022-05-31,9600,9700,8880,9700,4349
2022-06-30,9700,9700,8850,8850,14555
2022-07-31,8905,9120,8500,8800,10679
2022-08-31,8995,9100,8405,8700,15173
2022-09-30,8700,9000,8305,8960,22140
2022-10-31,8320,8900,8305,8875,16536
2022-11-30,8870,8875,8045,8495,4147
2022-12-31,8495,8690,8200,8390,14781
2023-01-31,8385,8385,8005,8385,18430
2023-02-28,8385,8950,8385,8800,829315
2023-03-31,8510,9000,8500,8845,26487
2023-04-30,8845,8845,7585,8000,6554
2023-05-31,8000,8000,7605,7805,7540
2023-06-30,7805,8300,7800,8300,19222
2023-07-31,8300,8400,7800,8195,10629
2023-08-31,8100,8400,8000,8390,10344
2023-09-30,8390,9105,8000,8000,57669
2023-10-31,8200,9105,8000,9100,262962
2023-11-30,9100,9100,8500,8845,11561
2023-12-31,8845,9300,8400,9300,12181
2024-01-31,9300,9800,8600,8900,6756
2024-02-29,8505,9500,8415,9190,4940
2024-03-31,9170,9495,8400,9345,31465
2024-04-30,9345,9500,8915,9500,14146
2024-05-31,9500,10600,9100,10400,28960
2024-06-30,10450,10650,9850,10500,15236
2024-07-31,10650,10650,9550,10000,35370
2024-08-31,10095,10295,9810,9990,13515
2024-09-30,10000,10000,9815,9980,19680
2024-10-31,9980,10000,9250,10000,19768
2024-11-30,10000,10000,9360,9990,11558
2024-12-31,9990,9990,9400,9885,226341
2025-01-31,9885,9895,9500,9800,50777
2025-02-28,9800,10100,9700,10000,8118
2025-03-31,10000,11500,9990,10750,25796
2025-04-30,10750,11245,9120,9500,27228
2025-05-31,9500,10590,9305,10100,25070
2025-06-30,10100,10495,9700,10300,35041
2025-07-31,10310,10480,9700,9700,15911
2025-08-31,10000,10000,9600,9735,26435
2025-09-30,9735,10000,9185,9890,29882
2025-10-31,9890,10000,9800,9995,25588
2025-11-30,9995,11100,9910,10800,17034
2025-12-31,10790,10850,10305,10780,14712
2026-01-31,10780,12000,10780,11900,20211
2026-02-28,12000,15000,11350,14050,33471
2026-03-31,14050,14400,13000,13800,61576
2026-04-30,13800,17000,13800,16100,21519
2026-05-31,16300,23000,16100,21560,29679
2026-06-30,21560,23500,20815,23500,34261
2026-07-31,23500,31830,23110,28000,33354
2026-08-31,28000,30500,27000,29630,26599
2026-09-30,31800,34500,29630,33450,9436
