Date,Open,High,Low,Close,Volume
2016-12-31,6299,8408,6299,8408,29706
2017-03-31,9038,11328,7623,11133,604007
2017-06-30,10958,11133,8735,9766,360668
2017-09-30,9180,9780,7565,9780,346703
2017-12-31,9900,10000,8325,10000,117313
2018-03-31,9400,10000,8405,8800,86291
2018-06-30,8700,9000,8105,8995,76461
2018-09-30,8505,8990,7495,8100,50014
2018-12-31,7950,8800,6475,8695,72472
2019-03-31,8695,8790,6800,7400,42237
2019-06-30,7100,8400,6850,8400,44758
2019-09-30,7960,8500,7000,7400,29980
2019-12-31,7395,8250,7100,8000,35978
2020-03-31,7400,8000,7215,7700,49606
2020-06-30,7500,7795,7000,7650,27474
2020-09-30,7550,7850,6660,7450,1656702
2020-12-31,7400,8100,7185,8100,99369
2021-03-31,7500,8200,7300,7600,20200
2021-06-30,7600,8400,7355,8300,29509
2021-09-30,7955,9500,7405,9500,40228
2021-12-31,9300,10500,8650,10500,49175
2022-03-31,10710,11000,9180,10000,38852
2022-06-30,9995,9995,8850,8850,31050
2022-09-30,8905,9120,8305,8960,47992
2022-12-31,8320,8900,8045,8390,35464
2023-03-31,8385,9000,8005,8845,874232
2023-06-30,8845,8845,7585,8300,33316
2023-09-30,8300,9105,7800,8000,78642
2023-12-31,8200,9300,8000,9300,286704
2024-03-31,9300,9800,8400,9345,43161
2024-06-30,9345,10650,8915,10500,58342
2024-09-30,10650,10650,9550,9980,68565
2024-12-31,9980,10000,9250,9885,257667
2025-03-31,9885,11500,9500,10750,84691
2025-06-30,10750,11245,9120,10300,87339
2025-09-30,10310,10480,9185,9890,72228
2025-12-31,9890,11100,9800,10780,57334
2026-03-31,10780,15000,10780,13800,115258
2026-06-30,13800,23500,13800,23500,85459
2026-09-30,23500,32900,23110,32500,66751
