Date,Open,High,Low,Close,Volume
2016-12-26,6299,6299,6299,6299,916
2017-01-02,6771,9038,6771,7778,52808
2017-01-09,7778,9375,7623,9180,58487
2017-01-16,9179,9180,8498,9092,42507
2017-01-23,8984,9766,8596,9570,46136
2017-01-30,9377,9668,9377,9570,26644
2017-02-06,9570,9766,9473,9766,68777
2017-02-13,9765,9766,9531,9570,50632
2017-02-20,9570,9608,9473,9570,22645
2017-02-27,9570,10938,8984,10938,93829
2017-03-06,10180,11328,10180,11289,39813
2017-03-13,11288,11289,10742,11133,48169
2017-03-20,10940,11133,10938,11133,30116
2017-03-27,11133,11133,10298,11133,36797
2017-04-03,11035,11133,10938,11133,20967
2017-04-10,11035,11133,10742,11113,22974
2017-04-17,10280,10742,9191,9766,34750
2017-04-24,9473,9668,8943,9667,20187
2017-05-01,9375,9668,8985,9668,17771
2017-05-08,9479,9717,9414,9668,27924
2017-05-15,9473,9668,9375,9668,20854
2017-05-22,9375,9668,9277,9570,16466
2017-05-29,9182,9570,9182,9569,19451
2017-06-05,9375,9570,9229,9473,35486
2017-06-12,9180,9443,8735,9375,42763
2017-06-19,9179,9375,8791,9374,35272
2017-06-26,8829,9375,8829,9375,11607
2017-07-03,9183,9766,8984,9473,54937
2017-07-10,9375,9570,8854,9570,30864
2017-07-17,9083,9766,8984,9473,23900
2017-07-24,9004,9473,8984,9473,23245
2017-07-31,8989,9473,8984,9469,32978
2017-08-07,8987,9471,8966,9471,28647
2017-08-14,9006,9453,8984,9180,27438
2017-08-21,9008,9453,8984,9453,25120
2017-08-28,9004,9473,8984,9453,55868
2017-09-04,9007,9414,8888,9276,18457
2017-09-11,8984,9180,8595,9139,13988
2017-09-18,8789,9082,7813,8203,7778
2017-09-25,8202,8600,7565,8600,18931
2017-10-02,8200,9900,8200,9600,35920
2017-10-09,9500,9600,8880,9399,13740
2017-10-16,9300,9600,8700,9300,5975
2017-10-23,9300,9300,8700,9299,11950
2017-10-30,8961,9260,8700,9190,4755
2017-11-06,9190,9200,8600,9159,4675
2017-11-13,9000,9100,8600,9000,5865
2017-11-20,8600,9000,8325,9000,4045
2017-11-27,8999,9000,8325,9000,4820
2017-12-04,8600,9000,8325,9000,3965
2017-12-11,8700,9000,8401,8995,7200
2017-12-18,8460,9400,8420,9300,12675
2017-12-25,9200,9500,9000,9400,7760
2018-01-01,9400,10000,9000,10000,28153
2018-01-08,9400,10000,9200,9400,3446
2018-01-15,9395,9400,9050,9200,3855
2018-01-22,9200,9250,9005,9250,3636
2018-01-29,9245,9250,9000,9100,2773
2018-02-05,9005,9245,8500,9200,13215
2018-02-12,9095,9400,9000,9400,17427
2018-02-19,9300,9350,8900,9100,9123
2018-02-26,9000,9100,8500,9000,4740
2018-03-05,8990,9000,8700,9000,3952
2018-03-12,8990,9000,8405,9000,4266
2018-03-19,8510,9000,8500,9000,5761
2018-03-26,8990,9000,8600,9000,7360
2018-04-02,8985,9000,8450,8800,6737
2018-04-09,8700,9000,8500,9000,13722
2018-04-16,8520,9000,8325,9000,11303
2018-04-23,8515,8995,8300,8900,9265
2018-04-30,8875,8900,8235,8800,9325
2018-05-07,8850,8850,8405,8800,2450
2018-05-14,8750,8800,8210,8800,2473
2018-05-21,8800,8800,8500,8700,2625
2018-05-28,8650,8700,8110,8700,2304
2018-06-04,8600,8700,8105,8650,4572
2018-06-11,8600,8700,8595,8700,6274
2018-06-18,8695,8700,8225,8695,1126
2018-06-25,8685,8700,8205,8690,5388
2018-07-02,8500,8995,8500,8800,6277
2018-07-09,8800,8900,8400,8600,585
2018-07-16,8600,8600,8300,8600,2309
2018-07-23,8590,8590,8100,8395,2907
2018-07-30,8100,8380,7900,8300,2297
2018-08-06,8370,8370,8000,8290,2182
2018-08-13,8195,8280,7750,8180,6230
2018-08-20,8150,8200,8000,8200,3157
2018-08-27,8200,8300,8000,8275,5391
2018-09-03,8270,8270,7710,8100,4468
2018-09-10,8150,8150,7540,8100,2703
2018-09-17,7940,8100,7495,8000,6698
2018-09-24,7995,8200,7795,8000,5918
2018-10-01,8000,8170,7800,8100,4542
2018-10-08,7985,8100,7500,8075,5928
2018-10-15,8000,8075,7800,8000,1066
2018-10-22,7985,8000,7500,7895,2976
2018-10-29,7890,7890,7400,7800,1882
2018-11-05,7500,7550,7500,7500,1668
2018-11-12,7285,7490,6570,7465,6530
2018-11-19,7400,7465,6845,7125,2679
2018-11-26,6850,7125,6595,7125,6195
2018-12-03,7125,7125,6580,7110,4475
2018-12-10,7000,7000,6475,7000,10418
2018-12-17,6500,8010,6495,8000,17575
2018-12-24,8010,8760,7405,8760,7301
2018-12-31,8600,8800,7995,8695,3763
2019-01-07,8695,8790,8000,8450,1906
2019-01-14,8000,8200,7750,7900,545
2019-01-21,7885,7885,7000,7480,2259
2019-01-28,7475,7500,7300,7500,1902
2019-02-04,7300,7500,6805,7300,898
2019-02-11,7200,7800,7000,7800,1341
2019-02-18,7695,8000,7030,7900,4753
2019-02-25,7400,7645,6800,7350,1856
2019-03-04,6800,7900,6800,7900,10441
2019-03-11,7685,7685,7050,7590,4227
2019-03-18,7500,7500,7000,7450,1100
2019-03-25,7400,7500,7100,7400,7389
2019-04-01,7100,7400,6850,6850,3976
2019-04-08,7000,7590,7000,7530,5965
2019-04-15,7100,7800,7100,7800,5480
2019-04-22,7695,7800,7220,7800,4502
2019-04-29,7500,7850,7500,7795,7995
