Date,Open,High,Low,Close,Volume
1998-09-18,180,180,180,180,100
1998-10-02,185,185,185,185,13700
1998-10-16,185,185,185,185,1000
1998-10-23,185,185,185,185,1500
1998-10-30,185,185,185,185,500
1998-11-04,199,199,199,199,1000
1998-11-27,190,190,190,190,1100
1998-12-28,190,190,190,190,300
1998-12-30,190,190,190,190,100000
1999-01-20,190,190,190,190,1000
1999-01-29,190,190,190,190,100
1999-03-12,180,180,180,180,3000
1999-03-31,175,175,175,175,1700
1999-04-09,175,175,175,175,1400
1999-04-26,162,162,162,162,100
1999-05-12,170,170,170,170,1000
1999-09-13,160,160,160,160,1000
1999-09-27,154,154,154,154,2000
1999-12-17,150,150,150,150,1600
2000-02-02,150,150,150,150,300
2000-04-19,150,150,150,150,4500
2000-04-28,150,150,150,150,100
2000-08-11,150,150,150,150,1000
2000-12-20,150,150,150,150,400
2001-01-19,145,145,145,145,1800
2001-07-11,145,145,145,145,2000
2001-12-10,145,145,145,145,22100
2001-12-13,145,145,145,145,400
2002-03-08,144,144,144,144,2100
2002-04-05,144,144,144,144,100
2002-12-04,140,140,140,140,20000
2003-03-20,130,130,130,130,4000
2003-04-15,130,130,130,130,400
2003-06-26,120,120,120,120,1000
2003-08-01,116,116,116,116,5000
2003-08-04,116,116,116,116,2000
2003-08-06,107,107,107,107,6800
2003-09-08,107,107,107,107,500
2003-09-25,105,105,105,105,3400
2003-12-31,100,100,100,100,5000
2004-02-13,100,100,100,100,100
2004-02-18,100,100,100,100,500
2004-03-15,100,100,100,100,100
2004-05-12,95,95,95,95,2500
2004-06-02,100,100,100,100,174100
2004-06-09,100,100,100,100,100
2004-06-14,99,99,99,99,1000
2004-07-07,99,99,99,99,100
2004-07-08,99,99,99,99,300
2004-07-09,99,99,99,99,6200
2004-07-13,100,100,100,100,1000
2004-08-02,100,100,100,100,1100
2004-08-03,100,100,100,100,600
2004-08-04,100,100,100,100,1000
2004-08-06,100,100,100,100,1000
2004-09-02,100,100,100,100,1100
2004-09-08,100,100,100,100,1000
2004-10-06,100,100,100,100,2000
2004-10-12,100,100,100,100,400
2004-11-25,100,100,100,100,100
2005-02-07,100,100,100,100,1000
2005-03-02,100,100,100,100,100
2005-04-18,99,99,99,99,900
2005-05-18,92,92,92,92,1000
2005-05-24,92,92,92,92,800
2005-05-30,92,92,92,92,3000
2005-06-07,92,92,92,92,15000
2005-06-15,92,92,92,92,100
2005-07-08,90,90,90,90,3300
2005-07-26,85,85,85,85,1900
2005-07-28,85,85,85,85,4600
2005-07-29,85,85,85,85,1100
2005-09-26,85,85,85,85,3400
2005-10-13,80,80,80,80,2600
2005-10-19,80,80,80,80,10500
2005-10-28,80,80,80,80,5000
2005-11-17,80,80,80,80,5000
2005-11-22,79,79,79,79,1000
2005-11-28,79,79,79,79,24100
2005-11-29,77,77,77,77,5000
2005-12-05,72,72,72,72,7000
2005-12-06,72,72,72,72,3000
2005-12-09,67,67,67,67,5000
2005-12-20,70,70,70,70,2000
2006-01-06,70,70,70,70,4500
2006-01-13,69,69,69,69,1000
2006-01-16,69,69,69,69,1000
2006-01-20,69,69,69,69,1000
2006-01-25,68,68,68,68,1000
2006-01-27,68,68,68,68,1100
2006-02-01,67,67,67,67,1500
2006-02-03,67,67,67,67,5000
2006-02-07,67,67,67,67,300
2006-02-08,67,67,67,67,1400
2006-02-10,66,66,66,66,2000
2006-02-14,66,66,66,66,1000
2006-02-15,65,65,65,65,2000
2006-02-21,65,65,65,65,1000
2006-03-01,65,65,65,65,500
2006-03-03,64,64,64,64,5000
2006-03-14,60,60,60,60,5700
2006-03-15,60,60,60,60,600
2006-03-17,60,60,60,60,300
2006-03-31,60,60,60,60,400
2006-04-07,65,65,65,65,1200
2006-04-10,60,60,60,60,7900
2006-06-29,65,65,65,65,2000
2006-07-10,69,69,69,69,3000
2006-07-13,69,69,69,69,1000
2006-08-01,85,85,85,85,15000
2006-09-05,80,80,80,80,20200
2006-09-11,80,80,80,80,2000
2006-09-12,85,85,85,85,800
2006-09-20,86,86,86,86,20000
2006-09-22,86,86,86,86,2000
2006-09-25,86,86,86,86,700
2006-10-20,89,89,89,89,5000
2006-11-29,96,96,96,96,1300
2006-12-13,96,96,96,96,20000
2006-12-18,96,96,96,96,500
2006-12-21,100,100,100,100,1000
2006-12-26,97,97,97,97,2000
2007-01-05,97,97,97,97,5000
2007-01-19,99,99,99,99,11400
2007-02-08,99,99,99,99,1200
2007-03-02,99,99,99,99,5600
2007-03-23,100,100,100,100,1400
2007-04-06,101,101,101,101,1000
2007-05-21,112,112,112,112,5000
2007-05-23,112,112,112,112,5300
2007-05-24,112,112,112,112,1700
2007-06-25,129,129,129,129,1400
2007-07-12,129,129,129,129,28600
2007-07-13,130,130,130,130,2200
2007-09-04,141,141,141,141,1000
2007-09-06,145,145,145,145,5000
2007-09-07,145,145,145,145,2000
2007-09-14,145,145,145,145,1000
2007-09-26,168,168,168,168,2000
2007-10-01,169,169,169,169,800
2007-10-03,169,169,169,169,500
2007-10-16,170,170,170,170,800
2007-10-17,175,175,175,175,1200
2007-10-18,185,185,185,185,800
2007-10-24,185,185,185,185,1000
2007-10-30,195,195,195,195,1100
2007-11-06,195,195,195,195,100
2007-11-09,200,200,200,200,1000
2007-11-12,210,210,210,210,1100
2007-11-13,210,210,210,210,1200
2007-11-14,210,210,210,210,3600
2007-11-20,204,204,204,204,2000
2007-11-21,204,204,204,204,1000
2007-11-22,210,210,210,210,3000
2007-11-23,210,210,210,210,6000
2007-11-29,210,210,210,210,500
2007-12-05,210,210,210,210,500
2007-12-13,200,200,200,200,4000
2007-12-14,200,200,200,200,10000
2007-12-18,200,200,200,200,4000
2007-12-21,200,200,200,200,1300
2007-12-24,200,200,200,200,700
2007-12-26,199,199,199,199,1700
2007-12-27,199,199,199,199,6200
2008-01-02,199,199,199,199,4400
2008-01-04,200,200,200,200,3000
2008-02-12,200,200,200,200,300
2008-02-13,200,200,200,200,2000
2008-02-15,200,200,200,200,2000
2008-02-26,200,200,200,200,10600
2008-03-12,200,200,200,200,500
2008-03-17,200,200,200,200,800
2008-03-28,200,200,200,200,8600
2008-04-24,200,200,200,200,100
2008-04-29,200,200,200,200,800
2008-07-01,200,200,200,200,20000
2008-07-04,208,208,208,208,1000
2008-07-22,215,215,215,215,2000
2008-07-24,230,230,230,230,5000
2008-07-30,240,240,240,240,1000
2008-07-31,240,240,240,240,800
2008-08-01,240,240,240,240,1600
2008-08-06,250,250,250,250,1000
2008-08-13,289,289,289,289,1000
2008-08-18,290,290,290,290,4500
2008-08-20,312,312,312,312,1000
2008-08-21,320,320,320,320,1000
2008-08-22,322,322,322,322,2000
2008-08-25,330,330,330,330,1300
2008-08-27,342,342,342,342,2800
2008-09-01,350,350,350,350,3000
2008-09-02,350,350,350,350,3000
2008-09-04,350,350,350,350,300
2008-09-05,350,350,350,350,1900
2008-09-22,350,350,350,350,1000
2008-09-25,350,350,350,350,1000
2008-09-26,350,350,350,350,1200
2008-10-03,350,350,350,350,500
2008-10-14,350,350,350,350,100
2008-11-03,324,324,324,324,1600
2008-12-31,315,315,315,315,2000
2009-01-02,315,315,315,315,100
2009-01-14,300,300,300,300,800
2009-01-15,300,300,300,300,200
2009-03-13,300,300,300,300,300
2009-03-24,300,300,300,300,200
2009-04-03,300,300,300,300,900
2009-04-09,300,300,300,300,800
2009-05-13,300,300,300,300,2400
2009-06-10,300,300,300,300,300
2009-06-17,300,300,300,300,800
2009-06-25,300,300,300,300,200
2009-06-30,277,277,277,277,1800
2009-07-02,277,277,277,277,3000
2009-07-23,277,277,277,277,800
2009-08-03,277,277,277,277,100
2009-08-04,257,257,257,257,1100
2009-08-24,254,254,254,254,1500
2009-10-02,250,250,250,250,2000
2009-10-06,250,250,250,250,300
2009-10-07,250,250,250,250,2000
2009-10-19,249,249,249,249,800
2010-01-26,213,213,213,213,1100
2010-01-29,197,197,197,197,1000
2010-02-16,182,182,182,182,1100
2010-03-04,144,144,144,144,1100
2010-03-22,123,123,123,123,11800
2010-03-25,120,120,120,120,15000
2010-03-26,111,111,111,111,11000
2010-03-29,111,111,111,111,3500
2010-04-01,111,111,111,111,2500
2010-04-02,111,111,111,111,300
2010-04-06,111,111,111,111,36500
2010-04-07,111,111,111,111,15200
2010-04-08,111,111,111,111,8000
2010-04-09,111,111,111,111,24500
2010-04-12,111,111,111,111,32900
2010-04-20,111,111,111,111,21500
2010-04-21,111,111,111,111,900
2010-04-23,111,111,111,111,1100
2010-04-28,115,115,115,115,1000
2010-04-29,120,120,120,120,2000
2010-05-04,120,120,120,120,500
2010-05-06,126,126,126,126,9000
2010-05-10,126,126,126,126,1500
2010-05-11,128,128,128,128,8000
2010-05-17,159,159,159,159,800
2010-05-20,197,197,197,197,1800
2010-05-21,212,212,212,212,3600
2010-05-25,212,212,212,212,5500
2010-05-26,212,212,212,212,3000
2010-05-27,212,212,212,212,10000
2010-05-28,212,212,212,212,2400
2010-05-31,212,212,212,212,10300
2010-06-01,212,212,212,212,21000
2010-06-04,215,215,215,215,800
2010-06-07,215,215,215,215,2600
2010-06-09,215,215,215,215,200
2010-06-16,173,173,173,173,5000
2010-06-29,155,155,155,155,12200
2010-07-01,150,150,150,150,2800
2010-07-21,150,150,150,150,100
2010-08-12,161,161,161,161,1700
2010-08-13,161,161,161,161,500
2010-08-18,161,161,161,161,200
2010-09-01,161,161,161,161,19500
2010-09-02,170,170,170,170,1000
2010-09-03,180,180,180,180,1500
2010-09-07,185,185,185,185,1700
2010-09-13,199,199,199,199,7700
2010-09-15,200,200,200,200,4000
2010-09-16,200,200,200,200,1400
2010-09-20,200,200,200,200,2100
2010-09-22,205,205,205,205,2000
2010-09-27,205,205,205,205,500
2010-09-28,205,205,205,205,3600
2010-10-01,200,200,200,200,2500
2010-10-04,200,200,200,200,200
2010-10-06,200,200,200,200,500
2010-10-07,200,200,200,200,25000
2010-10-08,200,200,200,200,5400
2010-10-11,200,200,200,200,2200
2010-10-12,200,200,200,200,1500
2010-10-14,200,200,200,200,5000
2010-10-15,200,200,200,200,500
2010-10-20,200,200,200,200,500
2010-10-21,200,200,200,200,800
2010-10-22,185,185,185,185,4700
2010-10-26,198,198,198,198,10000
2010-10-28,183,183,183,183,2000
2010-11-02,183,183,183,183,600
2010-11-05,200,200,200,200,1200
2010-11-09,195,195,195,195,4300
2010-11-10,200,200,200,200,2000
2010-11-12,200,200,200,200,5500
2010-11-17,200,200,200,200,13200
2010-11-18,200,200,200,200,4000
2010-11-19,200,200,200,200,4000
2010-11-22,200,200,200,200,2500
2010-11-23,200,200,200,200,15000
2010-11-24,200,200,200,200,6000
2010-11-26,200,200,200,200,4000
2010-11-29,200,200,200,200,7500
2010-12-01,190,190,190,190,10000
2010-12-02,191,191,191,191,9900
2010-12-06,191,191,191,191,10000
2010-12-07,190,190,190,190,9700
2010-12-08,185,185,185,185,29900
2010-12-09,185,185,185,185,10000
2010-12-10,185,185,185,185,12000
2010-12-13,185,185,185,185,1200
2010-12-15,185,185,185,185,3000
2010-12-16,180,180,180,180,8600
2010-12-20,180,180,180,180,500
2010-12-21,180,180,180,180,7000
2010-12-22,180,180,180,180,1000
2010-12-24,180,180,180,180,6100
2011-01-05,190,190,190,190,5100
2011-01-07,190,190,190,190,200
2011-01-11,191,191,191,191,1000
2011-01-27,191,191,191,191,1200
2011-01-28,191,191,191,191,2200
2011-02-01,185,185,185,185,8000
2011-02-07,185,185,185,185,600
2011-05-05,185,185,185,185,100
2011-05-19,185,185,185,185,500
2011-05-20,171,171,171,171,900
2011-05-31,160,160,160,160,2200
2011-06-06,160,160,160,160,2500
2011-06-09,160,160,160,160,4500
2011-06-22,160,160,160,160,1900
2011-06-23,160,160,160,160,500
2011-06-24,160,160,160,160,1000
2011-06-27,160,160,160,160,100
2011-06-29,160,160,160,160,100
2011-07-11,160,160,160,160,1000
2011-07-12,160,160,160,160,1200
2011-07-18,160,160,160,160,500
2011-07-21,160,160,160,160,1000
2011-07-25,160,160,160,160,2500
2011-07-26,160,160,160,160,1300
2011-07-28,160,160,160,160,100
2011-08-01,160,160,160,160,5100
2011-08-02,160,160,160,160,5000
2011-08-04,160,160,160,160,5000
2011-08-05,160,160,160,160,5000
2011-08-09,160,160,160,160,4300
2011-08-10,160,160,160,160,5700
2011-08-11,160,160,160,160,10000
2011-08-12,160,160,160,160,7400
2011-08-16,160,160,160,160,2700
2011-08-24,160,160,160,160,300
2011-09-06,160,160,160,160,1400
2011-09-08,160,160,160,160,500
2011-09-14,160,160,160,160,1800
2011-09-22,160,160,160,160,400
2011-09-26,160,160,160,160,300
2011-09-29,160,160,160,160,500
2011-10-11,160,160,160,160,300
2011-10-19,160,160,160,160,2200
2011-10-20,160,160,160,160,200
2011-10-21,160,160,160,160,500
2011-10-25,172,172,172,172,1000
2011-11-02,165,165,165,165,800
2011-11-04,162,162,162,162,1000
2011-11-08,162,162,162,162,100
2011-11-09,162,162,162,162,1300
2011-11-29,165,165,165,165,800
2012-01-02,165,165,165,165,100
2012-01-04,160,160,160,160,2000
2012-01-05,160,160,160,160,12600
2012-01-10,165,165,165,165,10000
2012-01-17,160,160,160,160,1300
2012-01-18,160,160,160,160,3500
2012-01-24,158,158,158,158,800
2012-01-30,158,158,158,158,300
2012-01-31,148,148,148,148,5000
2012-02-01,151,151,151,151,4400
2012-02-08,151,151,151,151,200
2012-02-09,148,148,148,148,1100
2012-02-10,148,148,148,148,100
2012-02-14,140,140,140,140,1800
2012-02-22,140,140,140,140,900
2012-02-23,140,140,140,140,500
2012-02-29,150,150,150,150,800
2012-03-02,161,161,161,161,800
2012-03-05,173,173,173,173,18400
2012-03-06,186,186,186,186,5000
2012-03-13,200,200,200,200,2700
2012-03-14,206,206,206,206,3700
2012-03-22,200,200,200,200,3200
2012-03-23,200,200,200,200,2800
2012-03-27,200,200,200,200,800
2012-03-28,200,200,200,200,100
2012-04-05,200,200,200,200,500
2012-04-23,200,200,200,200,4900
2012-04-24,200,200,200,200,8100
2012-04-25,200,200,200,200,8500
2012-05-04,200,200,200,200,300
2012-05-10,190,190,190,190,1600
2012-05-11,200,200,200,200,7500
2012-05-15,200,200,200,200,1800
2012-05-25,200,200,200,200,19800
2012-05-29,200,200,200,200,11400
2012-06-07,200,200,200,200,1000
2012-06-21,210,210,210,210,1500
2012-06-22,210,210,210,210,900
2012-06-29,213,213,213,213,1000
2012-07-03,213,213,213,213,5000
2012-07-06,210,210,210,210,3300
2012-07-10,210,210,210,210,700
2012-07-12,220,220,220,220,6700
2012-07-16,220,220,220,220,21000
2012-07-17,220,220,220,220,4200
2012-07-18,220,220,220,220,3000
2012-07-20,220,220,220,220,9500
2012-07-23,215,215,215,215,2000
2012-07-30,215,215,215,215,5200
2012-08-01,231,231,231,231,40000
2012-08-08,248,248,248,248,2000
2012-08-09,250,250,250,250,3000
2012-08-10,269,269,269,269,3600
2012-08-13,289,289,289,289,1100
2012-08-14,310,310,310,310,15700
2012-08-16,333,333,333,333,3000
2012-08-17,330,330,330,330,4900
2012-08-21,330,330,330,330,1300
2012-08-22,330,330,330,330,25000
2012-08-23,355,355,355,355,15700
2012-08-24,381,381,381,381,1000
2012-08-28,410,410,410,410,2500
2012-08-29,385,385,385,385,20800
2012-08-30,413,413,413,413,21000
2012-08-31,440,440,440,440,5900
2012-09-03,460,460,460,460,3800
2012-09-04,460,460,460,460,3500
2012-09-06,460,460,460,460,4800
2012-09-07,490,490,490,490,1100
2012-09-10,490,490,490,490,26000
2012-09-11,490,490,490,490,29400
2012-09-12,490,490,490,490,300
2012-09-13,490,490,490,490,16300
2012-09-14,500,500,500,500,30000
2012-09-17,500,500,500,500,50000
2012-09-18,500,500,500,500,22700
2012-09-19,500,500,500,500,10800
2012-09-20,500,500,500,500,13500
2012-09-21,495,495,495,495,100500
2012-09-24,490,490,490,490,101000
2012-09-25,490,490,490,490,21300
2012-10-01,489,489,489,489,15300
2012-10-11,452,452,452,452,1600
2012-10-22,450,450,450,450,27500
2012-10-23,450,450,450,450,4500
2012-10-30,450,450,450,450,900
2012-10-31,450,450,450,450,2500
2012-11-05,450,450,450,450,9400
2012-11-06,450,450,450,450,5000
