Date,Open,High,Low,Close,Volume
1998-09-30,180,180.0,180.0,180,100
1998-10-31,185,185.0,185.0,185,16700
1998-11-30,199,199.0,190.0,190,2100
1998-12-31,190,190.0,190.0,190,100300
1999-01-31,190,190.0,190.0,190,1100
1999-03-31,180,180.0,175.0,175,4700
1999-04-30,175,175.0,162.0,162,1500
1999-05-31,170,170.0,170.0,170,1000
1999-09-30,160,160.0,154.0,154,3000
1999-12-31,150,150.0,150.0,150,1600
2000-02-29,150,150.0,150.0,150,300
2000-04-30,150,150.0,150.0,150,4600
2000-08-31,150,150.0,150.0,150,1000
2000-12-31,150,150.0,150.0,150,400
2001-01-31,145,145.0,145.0,145,1800
2001-07-31,145,145.0,145.0,145,2000
2001-12-31,145,145.0,145.0,145,22500
2002-03-31,144,144.0,144.0,144,2100
2002-04-30,144,144.0,144.0,144,100
2002-12-31,140,140.0,140.0,140,20000
2003-03-31,130,130.0,130.0,130,4000
2003-04-30,130,130.0,130.0,130,400
2003-06-30,120,120.0,120.0,120,1000
2003-08-31,116,116.0,107.0,107,13800
2003-09-30,107,107.0,105.0,105,3900
2003-12-31,100,100.0,100.0,100,5000
2004-02-29,100,100.0,100.0,100,600
2004-03-31,100,100.0,100.0,100,100
2004-05-31,95,95.0,95.0,95,2500
2004-06-30,100,100.0,99.0,99,175200
2004-07-31,99,100.0,99.0,100,7600
2004-08-31,100,100.0,100.0,100,3700
2004-09-30,100,100.0,100.0,100,2100
2004-10-31,100,100.0,100.0,100,2400
2004-11-30,100,100.0,100.0,100,100
2005-02-28,100,100.0,100.0,100,1000
2005-03-31,100,100.0,100.0,100,100
2005-04-30,99,99.0,99.0,99,900
2005-05-31,92,92.0,92.0,92,4800
2005-06-30,92,92.0,92.0,92,15100
2005-07-31,90,90.0,85.0,85,10900
2005-09-30,85,85.0,85.0,85,3400
2005-10-31,80,80.0,80.0,80,18100
2005-11-30,80,80.0,77.0,77,35100
2005-12-31,72,72.0,67.0,70,17000
2006-01-31,70,70.0,68.0,68,9600
2006-02-28,67,67.0,65.0,65,14200
2006-03-31,65,65.0,60.0,60,12500
2006-04-30,65,65.0,60.0,60,9100
2006-06-30,65,65.0,65.0,65,2000
2006-07-31,69,69.0,69.0,69,4000
