Date,Open,High,Low,Close,Volume
1998-09-30,180,180.0,180.0,180,100
1998-12-31,185,199.0,185.0,190,119100
1999-03-31,190,190.0,175.0,175,5800
1999-06-30,175,175.0,162.0,170,2500
1999-09-30,160,160.0,154.0,154,3000
1999-12-31,150,150.0,150.0,150,1600
2000-03-31,150,150.0,150.0,150,300
2000-06-30,150,150.0,150.0,150,4600
2000-09-30,150,150.0,150.0,150,1000
2000-12-31,150,150.0,150.0,150,400
2001-03-31,145,145.0,145.0,145,1800
2001-09-30,145,145.0,145.0,145,2000
2001-12-31,145,145.0,145.0,145,22500
2002-03-31,144,144.0,144.0,144,2100
2002-06-30,144,144.0,144.0,144,100
2002-12-31,140,140.0,140.0,140,20000
2003-03-31,130,130.0,130.0,130,4000
2003-06-30,130,130.0,120.0,120,1400
2003-09-30,116,116.0,105.0,105,17700
2003-12-31,100,100.0,100.0,100,5000
2004-03-31,100,100.0,100.0,100,700
2004-06-30,95,100.0,95.0,99,177700
2004-09-30,99,100.0,99.0,100,13400
2004-12-31,100,100.0,100.0,100,2500
2005-03-31,100,100.0,100.0,100,1100
2005-06-30,99,99.0,92.0,92,20800
2005-09-30,90,90.0,85.0,85,14300
2005-12-31,80,80.0,67.0,70,70200
2006-03-31,70,70.0,60.0,60,36300
2006-06-30,65,65.0,60.0,65,11100
2006-09-30,69,86.0,69.0,86,64700
2006-12-31,89,100.0,89.0,97,29800
2007-03-31,97,100.0,97.0,100,24600
2007-06-30,101,129.0,101.0,129,14400
2007-09-30,129,168.0,129.0,168,41800
2007-12-31,169,210.0,169.0,199,54100
2008-03-31,199,200.0,199.0,200,32200
2008-06-30,200,200.0,200.0,200,900
2008-09-30,200,350.0,200.0,350,57400
2008-12-31,350,350.0,315.0,315,4200
2009-03-31,315,315.0,300.0,300,1600
2009-06-30,300,300.0,277.0,277,7200
2009-09-30,277,277.0,254.0,254,6500
2009-12-31,250,250.0,249.0,249,5100
2010-03-31,213,213.0,111.0,111,45600
2010-06-30,111,215.0,111.0,155,244600
2010-09-30,150,205.0,150.0,205,50300
2010-12-31,200,200.0,180.0,180,249500
2011-03-31,190,191.0,185.0,185,18300
2011-06-30,185,185.0,160.0,160,14300
2011-09-30,160,160.0,160.0,160,63000
2011-12-31,160,172.0,160.0,165,8200
2012-03-31,165,206.0,140.0,200,82900
2012-06-30,200,213.0,190.0,213,68800
2012-09-30,213,500.0,210.0,490,662100
2012-12-31,489,489.0,450.0,460,192700
2013-03-31,460,540.0,460.0,540,131500
2013-06-30,500,500.0,355.0,355,58700
2013-09-30,360,430.0,360.0,430,61600
2013-12-31,398,450.0,390.0,392,67000
2014-03-31,392,420.0,392.0,400,37600
2014-06-30,370,459.0,370.0,450,48300
2014-09-30,450,500.0,430.0,500,260200
2014-12-31,500,500.0,390.0,461,269900
2015-03-31,496,833.0,490.0,770,352700
2015-06-30,770,820.0,592.0,645,440200
2015-09-30,650,750.0,650.0,730,581800
2015-12-31,750,950.0,740.0,910,79300
2016-03-31,910,1615.0,890.0,1560,358500
2016-06-30,1580,1591.0,958.0,1220,74400
2016-09-30,1190,1190.0,1000.0,1000,87700
2016-12-31,1000,1000.0,597.0,620,98800
2017-03-31,600,690.0,570.0,650,136400
2017-06-30,650,680.0,564.0,570,100000
2017-09-30,560,560.0,315.0,350,85100
2017-12-31,350,430.0,340.0,395,485697
2018-03-31,395,900.0,395.0,670,200234
2018-06-30,720,750.0,515.0,750,157293
2018-09-30,750,805.0,560.0,595,90640
2018-12-31,600,640.0,445.0,640,135370
2019-03-31,635,635.0,445.0,540,47795
2019-06-30,545,585.0,415.0,445,77977
2019-09-30,445,505.0,350.0,395,93989
2019-12-31,395,445.0,370.0,435,144860
2020-03-31,435,495.0,400.0,400,156313
2020-06-30,400,485.0,340.0,485,73515
2020-09-30,470,480.0,340.0,365,458027
2020-12-31,365,400.0,330.0,360,214176
2021-03-31,360,500.0,350.0,420,207562
2021-06-30,410,850.0,390.0,610,152051
2021-09-30,625,910.0,610.0,840,181301
2021-12-31,845,1450.0,840.0,1190,185392
2022-03-31,1190,1265.0,1105.0,1150,65247
2022-06-30,1120,1150.0,735.0,880,181236
2022-09-30,870,900.0,805.0,850,136157
2022-12-31,850,990.0,805.0,930,81452
2023-03-31,925,955.0,720.0,805,83387
2023-06-30,780,820.0,705.0,810,44129
2023-09-30,810,965.0,790.0,845,101352
2023-12-31,845,905.0,760.0,840,179185
2024-03-31,840,870.0,685.0,795,76999
2024-06-30,795,795.0,630.0,700,85253
2024-09-30,700,700.0,625.0,670,139881
2024-12-31,665,680.0,570.0,600,187403
2025-03-31,600,630.0,550.0,615,66191
2025-06-30,615,740.0,555.0,680,167951
2025-09-30,680,1190.0,610.0,1105,427511
2025-12-31,1100,2500.0,1100.0,1430,495959
2026-03-31,1355,1810.0,1210.0,1620,360487
2026-06-30,1640,1895.0,1325.0,1760,204925
2026-09-30,1770,1800.0,1500.0,1765,146796
