Date,Open,High,Low,Close,Volume
1998-09-21,180,180.0,180.0,180,100
1998-10-05,185,185.0,185.0,185,13700
1998-10-19,185,185.0,185.0,185,1000
1998-10-26,185,185.0,185.0,185,1500
1998-11-02,185,185.0,185.0,185,500
1998-11-09,199,199.0,199.0,199,1000
1998-11-30,190,190.0,190.0,190,1100
1998-12-28,190,190.0,190.0,190,300
1999-01-04,190,190.0,190.0,190,100000
1999-01-25,190,190.0,190.0,190,1000
1999-02-01,190,190.0,190.0,190,100
1999-03-15,180,180.0,180.0,180,3000
1999-04-05,175,175.0,175.0,175,1700
1999-04-12,175,175.0,175.0,175,1400
1999-04-26,162,162.0,162.0,162,100
1999-05-17,170,170.0,170.0,170,1000
1999-09-13,160,160.0,160.0,160,1000
1999-09-27,154,154.0,154.0,154,2000
1999-12-20,150,150.0,150.0,150,1600
2000-02-07,150,150.0,150.0,150,300
2000-04-24,150,150.0,150.0,150,4500
2000-05-01,150,150.0,150.0,150,100
2000-08-14,150,150.0,150.0,150,1000
2000-12-25,150,150.0,150.0,150,400
2001-01-22,145,145.0,145.0,145,1800
2001-07-16,145,145.0,145.0,145,2000
2001-12-10,145,145.0,145.0,145,22100
2001-12-17,145,145.0,145.0,145,400
2002-03-11,144,144.0,144.0,144,2100
2002-04-08,144,144.0,144.0,144,100
2002-12-09,140,140.0,140.0,140,20000
2003-03-24,130,130.0,130.0,130,4000
2003-04-21,130,130.0,130.0,130,400
2003-06-30,120,120.0,120.0,120,1000
2003-08-04,116,116.0,116.0,116,7000
2003-08-11,107,107.0,107.0,107,6800
2003-09-08,107,107.0,107.0,107,500
2003-09-29,105,105.0,105.0,105,3400
2004-01-05,100,100.0,100.0,100,5000
2004-02-16,100,100.0,100.0,100,100
2004-02-23,100,100.0,100.0,100,500
2004-03-15,100,100.0,100.0,100,100
2004-05-17,95,95.0,95.0,95,2500
2004-06-07,100,100.0,100.0,100,174100
2004-06-14,100,100.0,99.0,99,1100
2004-07-12,99,99.0,99.0,99,6600
2004-07-19,100,100.0,100.0,100,1000
2004-08-02,100,100.0,100.0,100,1100
2004-08-09,100,100.0,100.0,100,2600
2004-09-06,100,100.0,100.0,100,1100
2004-09-13,100,100.0,100.0,100,1000
2004-10-11,100,100.0,100.0,100,2000
2004-10-18,100,100.0,100.0,100,400
2004-11-29,100,100.0,100.0,100,100
2005-02-07,100,100.0,100.0,100,1000
2005-03-07,100,100.0,100.0,100,100
2005-04-18,99,99.0,99.0,99,900
2005-05-23,92,92.0,92.0,92,1000
2005-05-30,92,92.0,92.0,92,3800
2005-06-13,92,92.0,92.0,92,15000
2005-06-20,92,92.0,92.0,92,100
2005-07-11,90,90.0,90.0,90,3300
2005-08-01,85,85.0,85.0,85,7600
2005-09-26,85,85.0,85.0,85,3400
2005-10-17,80,80.0,80.0,80,2600
2005-10-24,80,80.0,80.0,80,10500
2005-10-31,80,80.0,80.0,80,5000
2005-11-21,80,80.0,80.0,80,5000
2005-11-28,79,79.0,79.0,79,25100
2005-12-05,77,77.0,72.0,72,12000
2005-12-12,72,72.0,67.0,67,8000
2005-12-26,70,70.0,70.0,70,2000
2006-01-09,70,70.0,70.0,70,4500
2006-01-16,69,69.0,69.0,69,2000
2006-01-23,69,69.0,69.0,69,1000
2006-01-30,68,68.0,68.0,68,2100
2006-02-06,67,67.0,67.0,67,6500
2006-02-13,67,67.0,66.0,66,3700
2006-02-20,66,66.0,65.0,65,3000
2006-02-27,65,65.0,65.0,65,1000
2006-03-06,65,65.0,64.0,64,5500
2006-03-20,60,60.0,60.0,60,6600
2006-04-03,60,60.0,60.0,60,400
2006-04-10,65,65.0,60.0,60,9100
2006-07-03,65,65.0,65.0,65,2000
2006-07-10,69,69.0,69.0,69,3000
2006-07-17,69,69.0,69.0,69,1000
2006-08-07,85,85.0,85.0,85,15000
2006-09-11,80,80.0,80.0,80,22200
2006-09-18,85,85.0,85.0,85,800
2006-09-25,86,86.0,86.0,86,22700
2006-10-23,89,89.0,89.0,89,5000
2006-12-04,96,96.0,96.0,96,1300
2006-12-18,96,96.0,96.0,96,20500
2006-12-25,100,100.0,100.0,100,1000
2007-01-01,97,97.0,97.0,97,2000
2007-01-08,97,97.0,97.0,97,5000
2007-01-22,99,99.0,99.0,99,11400
2007-02-12,99,99.0,99.0,99,1200
2007-03-05,99,99.0,99.0,99,5600
2007-03-26,100,100.0,100.0,100,1400
2007-04-09,101,101.0,101.0,101,1000
2007-05-21,112,112.0,112.0,112,5000
2007-05-28,112,112.0,112.0,112,7000
2007-06-25,129,129.0,129.0,129,1400
2007-07-16,129,130.0,129.0,130,30800
2007-09-10,141,145.0,141.0,145,8000
2007-09-17,145,145.0,145.0,145,1000
2007-10-01,168,169.0,168.0,169,2800
2007-10-08,169,169.0,169.0,169,500
2007-10-22,170,185.0,170.0,185,2800
2007-10-29,185,185.0,185.0,185,1000
2007-11-05,195,195.0,195.0,195,1100
2007-11-12,195,210.0,195.0,210,2200
2007-11-19,210,210.0,210.0,210,4800
2007-11-26,204,210.0,204.0,210,12000
2007-12-03,210,210.0,210.0,210,500
2007-12-10,210,210.0,210.0,210,500
2007-12-17,200,200.0,200.0,200,14000
2007-12-24,200,200.0,200.0,200,6000
2007-12-31,199,199.0,199.0,199,7900
2008-01-07,199,200.0,199.0,200,7400
2008-02-18,200,200.0,200.0,200,4300
2008-03-03,200,200.0,200.0,200,10600
2008-03-17,200,200.0,200.0,200,1300
2008-03-31,200,200.0,200.0,200,8600
2008-04-28,200,200.0,200.0,200,100
2008-05-05,200,200.0,200.0,200,800
2008-07-07,200,208.0,200.0,208,21000
