Date,Open,High,Low,Close,Volume
1998-12-31,180,199,180,190,119200
1999-12-31,190,190,150,150,12900
2000-12-31,150,150,150,150,6300
2001-12-31,145,145,145,145,26300
2002-12-31,144,144,140,140,22200
2003-12-31,130,130,100,100,28100
2004-12-31,100,100,95,100,194300
2005-12-31,100,100,67,70,106400
2006-12-31,70,100,60,97,141900
2007-12-31,97,210,97,199,134900
2008-12-31,199,350,199,315,94700
2009-12-31,315,315,249,249,20400
2010-12-31,213,215,111,180,590000
2011-12-31,190,191,160,165,103800
2012-12-31,165,500,140,460,1006500
2013-12-31,460,540,355,392,318800
2014-12-31,392,500,370,461,616000
2015-12-31,496,950,490,910,1454000
2016-12-31,910,1615,597,620,619400
2017-12-31,600,690,315,395,807197
2018-12-31,395,900,395,640,583537
2019-12-31,635,635,350,435,364621
2020-12-31,435,495,330,360,902031
2021-12-31,360,1450,350,1190,726306
2022-12-31,1190,1265,735,930,464092
2023-12-31,925,965,705,840,408053
2024-12-31,840,870,570,600,489536
2025-12-31,600,2500,550,1430,1157612
2026-12-31,1355,1895,1210,1745,744610
