Date,Open,High,Low,Close,Volume
1998-09-16,895,895,895,895,1180
1998-09-18,835,835,835,835,7020
1998-09-21,825,825,825,825,500
1998-09-23,775,775,775,775,4500
1998-09-25,800,800,800,800,1280
1998-09-28,810,810,810,810,200
1998-09-30,810,810,810,810,840
1998-10-02,810,810,810,810,2580
1998-10-05,810,810,810,810,1280
1998-10-07,800,800,800,800,440
1998-10-09,750,750,750,750,8020
1998-10-14,850,850,850,850,4760
1998-10-16,850,850,850,850,2700
1998-10-19,850,850,850,850,1040
1998-10-21,850,850,850,850,605880
1998-10-23,850,850,850,850,480
1998-10-26,875,875,875,875,800
1998-10-28,900,900,900,900,240
1998-10-30,900,900,900,900,5700
1998-11-04,850,850,850,850,3720
1998-11-06,890,890,890,890,60
1998-11-09,850,850,850,850,2000
1998-11-11,850,850,850,850,2000
1998-11-13,786,786,786,786,2500
1998-11-16,845,845,845,845,2000
1998-11-18,850,850,850,850,440
1998-11-20,850,850,850,850,200
1998-11-23,850,850,850,850,760
1998-12-11,850,850,850,850,7840
1998-12-14,850,850,850,850,4060
1998-12-16,850,850,850,850,2900
1998-12-23,850,850,850,850,2000
1999-01-11,750,750,750,750,2000
1999-01-22,750,750,750,750,15200
1999-01-27,750,750,750,750,24620
1999-01-29,750,750,750,750,4040
1999-02-03,750,750,750,750,82380
1999-02-05,750,750,750,750,1680
1999-02-08,750,750,750,750,1780
1999-02-10,750,750,750,750,3400
1999-02-12,725,725,725,725,400
1999-02-17,725,725,725,725,1300
1999-02-19,725,725,725,725,10280
1999-02-22,725,725,725,725,200
1999-02-24,720,720,720,720,2000
1999-02-26,770,770,770,770,4000
1999-03-01,828,828,828,828,2000
1999-03-03,850,850,850,850,3200
1999-03-05,828,828,828,828,680
1999-03-10,825,825,825,825,200
1999-03-12,800,800,800,800,180
1999-03-15,775,775,775,775,1500
1999-03-17,775,775,775,775,1560
1999-03-19,775,775,775,775,260
1999-03-22,775,775,775,775,1480
1999-03-24,775,775,775,775,12220
1999-03-26,833,833,833,833,9360
1999-03-29,850,850,850,850,366820
1999-03-31,786,786,786,786,2320
1999-04-02,800,800,800,800,2980
1999-04-07,775,775,775,775,2720
1999-04-09,776,776,776,776,1080
1999-04-12,776,776,776,776,260
1999-04-14,776,776,776,776,700
1999-04-16,776,776,776,776,1640
1999-04-19,776,776,776,776,3000
1999-04-21,750,750,750,750,2520
1999-04-23,700,700,700,700,520
1999-04-26,700,700,700,700,280
1999-04-28,700,700,700,700,240
1999-04-30,700,700,700,700,700
1999-05-03,675,675,675,675,5200
1999-05-05,675,675,675,675,640
1999-05-07,725,725,725,725,2000
1999-05-10,750,750,750,750,1000
1999-05-12,775,775,775,775,1800
1999-05-14,775,775,775,775,500
1999-05-17,800,800,800,800,700
1999-05-19,740,740,740,740,900
1999-05-21,740,740,740,740,600
1999-05-26,750,750,750,750,560
1999-05-31,694,694,694,694,400
1999-06-02,675,675,675,675,400
1999-06-07,671,671,671,671,280
1999-06-09,700,700,700,700,80200
1999-06-11,750,750,750,750,2000
1999-06-14,800,800,800,800,3380
1999-06-16,860,860,860,860,10000
1999-06-18,900,900,900,900,11600
1999-06-21,900,900,900,900,6000
1999-06-23,900,900,900,900,2000
1999-06-30,850,850,850,850,240
1999-07-07,800,800,800,800,200
1999-07-12,740,740,740,740,100
1999-07-16,725,725,725,725,300
1999-07-19,722,722,722,722,300
1999-07-21,700,700,700,700,4000
1999-07-23,750,750,750,750,2000
1999-07-26,800,800,800,800,780
1999-07-28,825,825,825,825,2000
1999-07-30,800,800,800,800,1300
1999-08-02,823,823,823,823,2000
1999-08-04,840,840,840,840,940
1999-08-09,822,822,822,822,2000
1999-08-18,725,725,725,725,200
1999-08-20,700,700,700,700,1620
1999-08-23,700,700,700,700,5540
1999-08-27,675,675,675,675,5700
1999-08-30,675,675,675,675,4120
1999-09-01,675,675,675,675,620
1999-09-03,675,675,675,675,1000
1999-09-06,675,675,675,675,240
1999-09-08,675,675,675,675,1460
1999-09-10,675,675,675,675,9600
1999-09-17,675,675,675,675,360
1999-09-20,675,675,675,675,860
1999-09-22,675,675,675,675,4340
1999-09-27,675,675,675,675,140
1999-09-29,675,675,675,675,2100
1999-10-01,675,675,675,675,3360
1999-10-04,675,675,675,675,2000
1999-10-06,675,675,675,675,6820
1999-10-08,675,675,675,675,560
1999-10-11,676,676,676,676,200
