Date,Open,High,Low,Close,Volume
1998-09-30,895,895.0,775.0,810,15520
1998-10-31,810,900.0,750.0,900,633920
1998-11-30,850,890.0,786.0,850,13680
1998-12-31,850,850.0,850.0,850,16800
1999-01-31,750,750.0,750.0,750,45860
1999-02-28,750,770.0,720.0,770,107420
1999-03-31,828,850.0,775.0,786,401780
1999-04-30,800,800.0,700.0,700,16640
1999-05-31,675,800.0,675.0,694,14300
1999-06-30,675,900.0,671.0,850,116100
1999-07-31,800,825.0,700.0,800,10980
1999-08-31,823,840.0,675.0,675,22120
1999-09-30,675,675.0,675.0,675,20720
1999-10-31,675,708.0,675.0,700,30420
1999-11-30,700,700.0,695.0,700,24940
1999-12-31,700,875.0,675.0,875,70100
2000-01-31,775,775.0,675.0,675,7160
2000-02-29,675,675.0,665.0,665,29600
2000-03-31,665,665.0,575.0,575,24240
2000-04-30,565,575.0,525.0,525,31620
2000-05-31,520,635.0,520.0,625,16540
2000-06-30,625,625.0,610.0,610,7680
2000-07-31,565,610.0,565.0,600,25900
2000-08-31,600,600.0,550.0,575,29180
2000-09-30,575,605.0,575.0,600,18700
2000-10-31,575,600.0,575.0,595,38240
2000-11-30,595,595.0,595.0,595,26820
2000-12-31,595,745.0,560.0,733,85520
2001-01-31,678,678.0,650.0,650,4720
2001-02-28,556,556.0,525.0,525,40380
2001-03-31,535,600.0,535.0,600,43300
2001-04-30,611,633.0,579.0,633,33080
2001-05-31,633,650.0,600.0,650,23700
2001-06-30,650,699.0,650.0,675,14160
2001-07-31,655,655.0,640.0,640,7520
2001-08-31,640,640.0,640.0,640,12140
2001-09-30,600,600.0,550.0,550,18120
2001-10-31,550,585.0,545.0,550,16980
2001-11-30,550,550.0,525.0,545,17060
2001-12-31,550,912.0,550.0,912,39500
2002-01-31,725,725.0,600.0,600,1640
2002-02-28,600,600.0,525.0,561,16340
2002-03-31,575,600.0,575.0,600,18560
2002-04-30,575,583.0,575.0,575,6320
2002-05-31,560,595.0,520.0,595,18580
2002-06-30,550,550.0,550.0,550,60920
2002-07-31,525,538.0,500.0,500,65160
2002-08-31,500,513.0,500.0,500,19340
2002-09-30,500,520.0,495.0,505,12980
2002-10-31,505,520.0,490.0,505,17120
2002-11-30,500,595.0,475.0,595,15900
2002-12-31,550,727.0,525.0,727,22720
2003-01-31,576,576.0,576.0,576,10000
2003-03-31,525,555.0,486.0,500,20020
2003-04-30,500,550.0,500.0,525,36220
2003-05-31,548,600.0,548.0,550,14120
2003-06-30,588,588.0,525.0,540,6000
2003-07-31,540,540.0,490.0,540,7520
2003-08-31,540,540.0,493.0,500,12600
2003-09-30,500,500.0,493.0,500,15740
2003-10-31,500,500.0,493.0,500,5440
2003-11-30,493,500.0,490.0,500,9420
2003-12-31,475,867.0,475.0,867,25660
2004-01-31,686,686.0,500.0,500,18340
2004-02-29,500,550.0,500.0,550,22580
2004-03-31,550,551.0,550.0,550,27520
2004-04-30,550,550.0,550.0,550,15880
2004-05-31,550,550.0,550.0,550,17260
2004-06-30,550,575.0,538.0,575,19880
2004-07-31,575,578.0,575.0,578,11500
