Date,Open,High,Low,Close,Volume
1998-09-30,895,895,775,810,15520
1998-12-31,810,900,750,850,664400
1999-03-31,750,850,720,786,555060
1999-06-30,800,900,671,850,147040
1999-09-30,800,840,675,675,53820
1999-12-31,675,875,675,875,125460
2000-03-31,775,775,575,575,61000
2000-06-30,565,635,520,610,55840
2000-09-30,565,610,550,600,73780
2000-12-31,575,745,560,733,150580
2001-03-31,678,678,525,600,88400
2001-06-30,611,699,579,675,70940
2001-09-30,655,655,550,550,37780
2001-12-31,550,912,525,912,73540
2002-03-31,725,725,525,600,36540
2002-06-30,575,595,520,550,85820
2002-09-30,525,538,495,505,97480
2002-12-31,505,727,475,727,55740
2003-03-31,576,576,486,500,30020
2003-06-30,500,600,500,540,56340
2003-09-30,540,540,490,500,35860
2003-12-31,500,867,475,867,40520
2004-03-31,686,686,500,550,68440
2004-06-30,550,575,538,575,53020
2004-09-30,575,580,525,533,65160
2004-12-31,525,795,525,718,48660
2005-03-31,650,650,470,470,26660
2005-06-30,470,600,376,600,54200
2005-09-30,545,545,467,467,2560
2005-12-31,467,625,400,600,311660
2006-03-31,575,575,500,500,74540
2006-06-30,500,533,500,533,18180
2006-09-30,533,533,505,515,20400
2006-12-31,515,515,472,475,36580
2007-03-31,475,525,475,511,54680
2007-06-30,540,625,540,625,30960
2007-09-30,625,786,600,786,106400
2007-12-31,745,745,650,675,60880
2008-03-31,675,875,650,875,55880
2008-06-30,900,950,850,935,116040
2008-09-30,935,1284,935,1200,96440
2008-12-31,1198,1198,925,1091,42040
2009-03-31,1050,1050,999,1000,47980
2009-06-30,1000,1000,755,850,37280
2009-09-30,850,875,700,875,63000
2009-12-31,875,888,825,825,30740
2010-03-31,800,806,663,703,200200
2010-06-30,703,875,703,750,590280
2010-09-30,800,830,750,790,251060
2010-12-31,765,825,700,700,671520
2011-03-31,700,730,700,725,191280
2011-06-30,725,902,675,810,93500
2011-09-30,805,825,700,790,153060
2011-12-31,800,850,780,830,65140
2012-03-31,850,1293,825,1129,136900
2012-06-30,1050,1225,950,1175,108380
2012-09-30,1175,1610,1175,1600,92680
2012-12-31,1600,2100,1500,2100,234820
2013-03-31,1943,2250,1780,2150,162660
2013-06-30,2250,2250,1850,1975,125680
2013-09-30,1975,2400,1975,2275,81020
2013-12-31,2275,3500,2250,3100,1409860
2014-03-31,3050,3050,2250,2325,107700
2014-06-30,2325,2500,2081,2376,214700
2014-09-30,2376,2950,2350,2650,851820
2014-12-31,2650,4325,2600,4125,375860
2015-03-31,3816,3816,3250,3500,86140
2015-06-30,3500,3975,2900,3750,238820
2015-09-30,3750,4250,3700,4075,681300
2015-12-31,4075,4550,3261,3500,730280
2016-03-31,3500,4415,3261,4400,716340
2016-06-30,4350,4925,3780,4025,764780
2016-09-30,3900,3951,3500,3749,353200
2016-12-31,3700,3788,3372,3725,821940
2017-03-31,3600,3750,3100,3700,386900
2017-06-30,3600,3625,2860,3400,202240
2017-09-30,3150,3500,2775,2895,112500
2017-12-31,2895,3150,1715,2100,270613
2018-03-31,2100,2200,1760,2090,716718
2018-06-30,2200,2360,1280,1795,95661
2018-09-30,1710,1800,1490,1550,212962
2018-12-31,1590,1600,1150,1445,194206
2019-03-31,1350,1425,1140,1245,74067
2019-06-30,1165,1505,1160,1350,98615
2019-09-30,1400,1500,1110,1275,50347
2019-12-31,1280,1600,1190,1600,422370
2020-03-31,1500,1500,1110,1295,110622
2020-06-30,1295,1350,1055,1240,85234
2020-09-30,1240,1300,1050,1125,124006
2020-12-31,1105,1500,1015,1500,334354
2021-03-31,1500,1500,1300,1350,56714
2021-06-30,1395,1800,1315,1790,384232
2021-09-30,1810,2315,1450,2000,591971
2021-12-31,2000,2045,1780,1895,241792
2022-03-31,1895,2495,1800,2495,333616
2022-06-30,2495,2550,2000,2400,138019
2022-09-30,2400,2450,2000,2200,109063
2022-12-31,2200,2200,1715,1990,203393
2023-03-31,1990,2335,1860,2120,176154
2023-06-30,2120,2120,1800,2100,53364
2023-09-30,2100,2300,1900,2000,311830
2023-12-31,2065,2130,1670,1700,194849
2024-03-31,1700,1825,1530,1670,305239
2024-06-30,1670,2100,1520,1970,543163
2024-09-30,1995,2240,1880,2195,422664
2024-12-31,2195,2550,1995,2195,576893
2025-03-31,2200,2860,2035,2600,199773
2025-06-30,2595,2710,2130,2550,184867
2025-09-30,2550,2550,2100,2305,235978
2025-12-31,2305,2650,2175,2360,472151
2026-03-31,2430,3495,2315,3400,437889
2026-06-30,3400,5350,2950,5315,412247
2026-09-30,5400,7325,4850,6970,177699
