Date,Open,High,Low,Close,Volume
1998-09-21,895,895.0,825.0,825,8700
1998-09-28,775,810.0,775.0,810,5980
1998-10-05,810,810.0,810.0,810,4700
1998-10-12,800,800.0,750.0,750,8460
1998-10-19,850,850.0,850.0,850,8500
1998-10-26,850,875.0,850.0,875,607160
1998-11-02,900,900.0,900.0,900,5940
1998-11-09,850,890.0,850.0,850,5780
1998-11-16,850,850.0,786.0,845,6500
1998-11-23,850,850.0,850.0,850,1400
1998-12-14,850,850.0,850.0,850,11900
1998-12-21,850,850.0,850.0,850,2900
1998-12-28,850,850.0,850.0,850,2000
1999-01-11,750,750.0,750.0,750,2000
1999-01-25,750,750.0,750.0,750,15200
1999-02-01,750,750.0,750.0,750,28660
1999-02-08,750,750.0,750.0,750,85840
1999-02-15,750,750.0,725.0,725,3800
1999-02-22,725,725.0,725.0,725,11780
1999-03-01,720,828.0,720.0,828,8000
1999-03-08,850,850.0,828.0,828,3880
1999-03-15,825,825.0,775.0,775,1880
1999-03-22,775,775.0,775.0,775,3300
1999-03-29,775,850.0,775.0,850,388400
1999-04-05,786,800.0,786.0,800,5300
1999-04-12,775,776.0,775.0,776,4060
1999-04-19,776,776.0,776.0,776,5340
1999-04-26,750,750.0,700.0,700,3320
1999-05-03,700,700.0,675.0,675,6140
1999-05-10,675,750.0,675.0,750,3640
1999-05-17,775,800.0,775.0,800,3000
1999-05-24,740,740.0,740.0,740,1500
1999-05-31,750,750.0,694.0,694,960
1999-06-07,675,675.0,671.0,671,680
1999-06-14,700,800.0,700.0,800,85580
1999-06-21,860,900.0,860.0,900,27600
1999-06-28,900,900.0,900.0,900,2000
1999-07-05,850,850.0,850.0,850,240
1999-07-12,800,800.0,740.0,740,300
1999-07-19,725,725.0,722.0,722,600
1999-07-26,700,800.0,700.0,800,6780
1999-08-02,825,825.0,800.0,823,5300
1999-08-09,840,840.0,822.0,822,2940
1999-08-23,725,725.0,700.0,700,7360
1999-08-30,675,675.0,675.0,675,9820
1999-09-06,675,675.0,675.0,675,1860
1999-09-13,675,675.0,675.0,675,11060
1999-09-20,675,675.0,675.0,675,1220
1999-09-27,675,675.0,675.0,675,4480
1999-10-04,675,675.0,675.0,675,7460
1999-10-11,675,676.0,675.0,676,7580
1999-10-18,700,700.0,700.0,700,8620
1999-10-25,700,708.0,700.0,708,4080
1999-11-01,700,700.0,700.0,700,4780
1999-11-08,700,700.0,700.0,700,3540
1999-11-15,700,700.0,700.0,700,3060
1999-11-22,695,695.0,695.0,695,5260
1999-11-29,700,700.0,700.0,700,13080
1999-12-06,700,725.0,675.0,725,12400
1999-12-13,750,750.0,675.0,675,24860
1999-12-20,675,779.0,675.0,779,16440
1999-12-27,800,800.0,798.0,798,11000
2000-01-03,823,875.0,823.0,875,5400
2000-01-17,775,775.0,750.0,750,2200
