Date,Open,High,Low,Close,Volume
1998-12-31,895,900,750,850,679920
1999-12-31,750,900,671,875,881380
2000-12-31,775,775,520,733,341200
2001-12-31,678,912,525,912,270660
2002-12-31,725,727,475,727,275580
2003-12-31,576,867,475,867,162740
2004-12-31,686,795,500,718,235280
2005-12-31,650,650,376,600,395080
2006-12-31,575,575,472,475,149700
2007-12-31,475,786,475,675,252920
2008-12-31,675,1284,650,1091,310400
2009-12-31,1050,1050,700,825,179000
2010-12-31,800,875,663,700,1713060
2011-12-31,700,902,675,830,502980
2012-12-31,850,2100,825,2100,572780
2013-12-31,1943,3500,1780,3100,1779220
2014-12-31,3050,4325,2081,4125,1550080
2015-12-31,3816,4550,2900,3500,1736540
2016-12-31,3500,4925,3261,3725,2656260
2017-12-31,3600,3750,1715,2100,972253
2018-12-31,2100,2360,1150,1445,1219547
2019-12-31,1350,1600,1110,1600,645399
2020-12-31,1500,1500,1015,1500,654216
2021-12-31,1500,2315,1300,1895,1274709
2022-12-31,1895,2550,1715,1990,784091
2023-12-31,1990,2335,1670,1700,736197
2024-12-31,1700,2550,1520,2195,1847959
2025-12-31,2200,2860,2035,2360,1092769
2026-12-31,2430,7325,2315,6680,1041036
