Date,Open,High,Low,Close,Volume
2017-12-12,4300,4300,4280,4300,35915
2017-12-13,4299,4622,4199,4622,30315
2017-12-14,4800,4900,4641,4890,29270
2017-12-15,4800,5199,4780,5199,92230
2017-12-18,5000,5588,5000,5588,166095
2017-12-19,5440,6000,5332,6000,59700
2017-12-20,5999,6300,5600,6300,350125
2017-12-21,6200,6400,6000,6379,98075
2017-12-22,6000,6000,5901,6000,129125
2017-12-26,5900,6398,5600,5999,238335
2017-12-27,5900,6060,5600,5600,193920
2017-12-28,5700,5800,5180,5600,181840
2017-12-29,5500,5936,5180,5936,198425
2018-01-02,5800,5800,5600,5700,1175
2018-01-03,5600,5600,5499,5499,605
2018-01-04,5301,5301,5100,5100,680
2018-01-05,5000,5098,4718,5098,9805
2018-01-08,4918,4918,4716,4716,20080
2018-01-09,4700,4700,4622,4622,4745
2018-01-10,4622,4622,4530,4622,7945
2018-01-11,4532,4622,4531,4622,2785
2018-01-12,4541,4622,4540,4622,9410
2018-01-15,4622,4622,4540,4620,3075
2018-01-16,4619,4622,4580,4600,4455
2018-01-17,4600,4945,4600,4945,6730
2018-01-18,4800,4800,4622,4800,635
2018-01-19,4704,4860,4704,4704,3045
2018-01-22,4700,4780,4700,4780,5225
2018-01-23,4760,4780,4685,4685,1455
2018-01-24,4660,4800,4652,4800,785
2018-01-25,4712,5000,4704,5000,23275
2018-01-26,4820,4821,4800,4820,7440
2018-01-29,4820,4820,4702,4798,2745
2018-01-30,4798,4798,4720,4760,2315
2018-01-31,4760,4799,4720,4799,2995
2018-02-01,4703,4800,4680,4800,13835
2018-02-02,4778,4800,4778,4800,320
2018-02-05,4800,4800,4740,4800,1585
2018-02-06,4760,4799,4720,4760,1785
2018-02-07,4779,4799,4720,4799,2230
2018-02-08,4760,4799,4740,4740,4740
2018-02-09,4741,4760,4740,4741,1565
2018-02-12,4750,4760,4700,4760,3655
2018-02-13,4760,4760,4700,4720,1545
2018-02-14,4720,4981,4720,4980,4155
2018-02-15,4800,5000,4800,5000,1105
2018-02-16,5000,5199,4900,5197,16435
2018-02-19,5196,5196,5020,5100,165
2018-02-20,5000,5100,5000,5100,985105
2018-02-21,5080,5080,5001,5001,305
2018-02-22,5001,5060,4800,4800,6225
2018-02-23,4800,4896,4800,4896,2025
2018-02-26,4889,4889,4799,4820,745
2018-02-27,4840,4900,4700,4900,3160
2018-02-28,4800,5000,4720,5000,5245
2018-03-01,4979,5000,4960,5000,385
2018-03-02,4980,4998,4900,4998,2695
2018-03-05,4901,4901,4800,4900,2625
2018-03-06,4900,5000,4900,5000,5070
2018-03-07,4910,5200,4902,5200,11020
2018-03-08,5000,5100,4810,4810,1005
2018-03-09,5000,5000,4900,5000,2755
2018-03-12,5000,5149,4999,4999,600
2018-03-13,4920,4999,4840,4999,7530
2018-03-14,4999,5180,4900,5180,11545
2018-03-15,5120,5179,4900,5000,495
2018-03-16,5000,5176,5000,5000,7090
2018-03-19,4920,5079,4920,4999,595
2018-03-20,4999,5099,4912,5099,3165
2018-03-21,4942,5080,4900,5030,2495
2018-03-22,4960,5040,4960,5019,1615
2018-03-23,5000,5001,5000,5001,1945
2018-03-26,5002,5099,5001,5099,785
2018-03-27,5100,5180,5001,5139,5410
2018-03-28,5060,5470,5040,5470,7120
2018-03-29,5400,5600,5400,5400,4705
2018-03-30,5398,5500,5300,5499,8025
2018-04-03,5400,5400,5342,5342,2015
2018-04-04,5343,5460,5342,5398,5840
2018-04-05,5340,5398,5278,5278,6970
2018-04-06,5173,5270,5173,5260,785
2018-04-09,5260,5278,5200,5278,1610
2018-04-10,5200,5300,5200,5300,3485
2018-04-11,5201,5300,5121,5300,1700
2018-04-12,5200,5200,5123,5140,2620
2018-04-13,5140,5279,5100,5100,213895
2018-04-16,5101,5199,5100,5199,1830
2018-04-17,5150,5200,5100,5200,1980
2018-04-18,5101,5200,5100,5198,1180
2018-04-19,5130,5130,5000,5000,1230
2018-04-20,5000,5198,5000,5000,1240
2018-04-23,5001,5180,5000,5090,5350
2018-04-24,5100,5100,5090,5090,2215
2018-04-25,5100,5198,5090,5160,2210
2018-04-26,5101,5140,5060,5100,7300
2018-04-27,5120,5120,5100,5100,7550
2018-04-30,5140,5140,5102,5102,35
2018-05-02,5120,5198,5100,5198,1185
2018-05-03,5101,5101,5060,5080,3255
2018-05-04,5180,5180,5000,5000,3680
2018-05-07,5080,5198,4900,4999,4050
2018-05-08,4900,5095,4810,5000,2530
2018-05-09,4970,4970,4800,4800,1945
2018-05-11,4800,4800,4610,4610,2745
2018-05-14,4611,4779,4600,4779,6600
2018-05-15,4700,4999,4700,4999,435
2018-05-16,5000,5000,4800,4977,445
2018-05-17,4900,4960,4640,4640,5050
2018-05-18,4610,4960,4602,4800,2175
2018-05-22,4800,4960,4800,4960,650
2018-05-23,4958,5000,4900,5000,3095
2018-05-24,4960,4999,4960,4960,1015
