Date,Open,High,Low,Close,Volume
2017-12-31,4300,6400,4199,5936,1803370
2018-03-31,5800,5800,4530,5499,1266010
2018-06-30,5400,5460,4600,4860,380050
2018-09-30,4800,4860,4500,4640,717430
2018-12-31,4580,4598,3332,4240,77599
2019-03-31,4200,4220,3055,3340,140168
2019-06-30,3340,3850,3000,3345,153925
2019-09-30,3280,3345,2500,2725,181894
2019-12-31,2695,3990,2405,3990,199628
2020-03-31,3695,3695,2810,2905,124476
2020-06-30,3120,3425,2800,3400,82926
2020-09-30,3400,3420,2750,3185,674244
2020-12-31,3000,4070,2675,3895,3013186
2021-03-31,3605,3695,2960,3310,163434
2021-06-30,3350,3600,3005,3400,435253
2021-09-30,3300,4200,3150,4100,173433
2021-12-31,4100,5245,4065,4785,107471
2022-03-31,4785,5205,4200,5050,251041
2022-06-30,5050,5500,3980,4550,905361
2022-09-30,4300,5000,4200,4700,1285602
2022-12-31,4625,5125,4535,4945,552056
2023-03-31,4865,5150,4505,4950,187122
2023-06-30,4945,5650,4800,5285,237190
2023-09-30,5280,6815,5260,6625,320138
2023-12-31,6630,7000,6250,6800,449940
2024-03-31,6800,7000,6400,6985,96358
2024-06-30,6900,7600,6490,6990,119289
2024-09-30,7000,9000,6600,8795,138005
2024-12-31,8800,8950,8260,8795,526574
2025-03-31,8750,10500,7770,9860,51230
2025-06-30,9900,12650,9255,11860,67363
2025-09-30,11845,13410,10915,12505,78703
2025-12-31,12300,16770,12300,16000,360855
2026-03-31,16000,17945,15640,16500,160173
2026-06-30,16315,17520,14500,16600,140499
2026-09-30,17180,17395,14800,16855,228869
