Date,Open,High,Low,Close,Volume
2017-12-18,4300,5588,4199,5588,353825
2017-12-25,5440,6400,5332,6000,637025
2018-01-01,5900,6398,5180,5936,812520
2018-01-08,5800,5800,4716,4716,32345
2018-01-15,4700,4700,4530,4620,27960
2018-01-22,4619,4945,4580,4780,20090
2018-01-29,4760,5000,4652,4798,35700
2018-02-05,4798,4800,4680,4800,21050
2018-02-12,4760,4799,4700,4760,13975
2018-02-19,4760,5199,4700,5100,23405
2018-02-26,5000,5100,4799,4820,994405
2018-03-05,4840,5000,4700,4900,14110
2018-03-12,4900,5200,4810,4999,20450
2018-03-19,4920,5180,4840,4999,27255
2018-03-26,4999,5099,4900,5099,10005
2018-04-02,5100,5600,5001,5499,25260
2018-04-09,5400,5460,5173,5278,17220
2018-04-16,5200,5300,5100,5199,223530
2018-04-23,5150,5200,5000,5090,10980
2018-04-30,5100,5198,5060,5102,19310
2018-05-07,5120,5198,4900,4999,12170
2018-05-14,4900,5095,4600,4779,13820
2018-05-21,4700,5000,4602,4800,8105
2018-05-28,4800,5000,4800,4940,7290
2018-06-04,5000,5000,4842,4920,19920
2018-06-11,4962,5100,4822,4999,18680
2018-06-18,5020,5400,5000,5011,15410
2018-06-25,5280,5280,4600,4641,3085
2018-07-02,4642,4880,4600,4800,10570
2018-07-09,4600,4860,4600,4680,12510
2018-07-16,4780,4780,4680,4701,4145
2018-07-23,4720,4800,4700,4701,8560
2018-07-30,4720,4840,4700,4800,40115
2018-08-06,4721,4800,4670,4760,28060
2018-08-13,4700,4800,4700,4800,16390
2018-08-20,4730,4800,4730,4740,5555
2018-08-27,4760,4800,4560,4797,23890
2018-09-03,4797,4800,4560,4700,10475
2018-09-10,4780,4799,4560,4698,7185
2018-09-17,4697,4839,4560,4560,544015
2018-09-24,4560,4719,4510,4560,9595
2018-10-01,4500,4651,4500,4580,6940
2018-10-08,4596,4598,4480,4480,3440
2018-10-15,4479,4500,4308,4308,1580
