Date,Open,High,Low,Close,Volume
2006-09-11,150,150,150,150,2441250
2006-09-13,173,173,173,173,2055170
2006-09-18,213,213,213,213,197350
2006-09-19,229,229,229,229,1145000
2006-09-21,264,264,264,264,1662600
2006-09-22,283,283,283,283,109400
2006-09-25,262,262,262,262,504550
2006-09-26,243,243,243,243,283160
2006-09-29,193,193,193,193,177290
2006-10-04,154,154,154,154,168350
2006-10-05,142,142,142,142,900
2006-10-06,132,132,132,132,1970
2006-10-09,122,122,122,122,20440
2006-10-10,113,113,113,113,234620
2006-10-11,121,121,121,121,788240
2006-10-12,124,124,124,124,790480
2006-10-13,124,124,124,124,129660
2006-10-16,119,119,119,119,46460
2006-10-17,115,115,115,115,22600
2006-10-18,124,124,124,124,75350
2006-10-20,122,122,122,122,57200
2006-10-24,120,120,120,120,65430
2006-10-25,120,120,120,120,150
2006-10-26,119,119,119,119,56750
2006-10-27,120,120,120,120,6770
2006-10-30,111,111,111,111,18710
2006-10-31,119,119,119,119,36500
2006-11-02,119,119,119,119,6050
2006-11-03,118,118,118,118,10710
2006-11-06,114,114,114,114,81250
2006-11-07,113,113,113,113,22440
2006-11-08,115,115,115,115,152240
2006-11-09,113,113,113,113,10550
2006-11-10,113,113,113,113,630
2006-11-13,110,110,110,110,9500
2006-11-14,109,109,109,109,228510
2006-11-16,101,101,101,101,22980
2006-11-17,100,100,100,100,69810
2006-11-20,93,93,93,93,5080
2006-11-22,95,95,95,95,20200
2006-11-23,95,95,95,95,17370
2006-11-24,95,95,95,95,3500
2006-11-27,95,95,95,95,3620
2006-11-28,93,93,93,93,14180
2006-11-29,93,93,93,93,91160
2006-11-30,90,90,90,90,15370
2006-12-01,90,90,90,90,58900
2006-12-04,88,88,88,88,25000
2006-12-05,86,86,86,86,95660
2006-12-06,85,85,85,85,57000
2006-12-07,86,86,86,86,28350
2006-12-08,85,85,85,85,22370
2006-12-11,85,85,85,85,35050
2006-12-12,80,80,80,80,45810
2006-12-13,80,80,80,80,60500
2006-12-14,80,80,80,80,1690
2006-12-15,80,80,80,80,56770
2006-12-18,80,80,80,80,68000
2006-12-19,80,80,80,80,116940
2006-12-20,80,80,80,80,21730
2006-12-21,80,80,80,80,2360
2006-12-27,80,80,80,80,49200
2006-12-29,80,80,80,80,5440
2007-01-02,80,80,80,80,5000
2007-01-03,80,80,80,80,21650
2007-01-04,79,79,79,79,164040
2007-01-05,80,80,80,80,7300
2007-01-08,80,80,80,80,224370
2007-01-09,80,80,80,80,5300
2007-01-11,80,80,80,80,17860
2007-01-12,80,80,80,80,1230
2007-01-15,80,80,80,80,44400
2007-01-16,79,79,79,79,14050
2007-01-17,80,80,80,80,217450
2007-01-18,80,80,80,80,37340
2007-01-19,80,80,80,80,50050
2007-01-22,80,80,80,80,59310
2007-01-23,80,80,80,80,20200
2007-01-24,85,85,85,85,9000
2007-01-25,80,80,80,80,64900
2007-01-26,79,79,79,79,40250
2007-01-29,79,79,79,79,30380
2007-01-31,78,78,78,78,100
2007-02-01,73,73,73,73,9720
2007-02-02,75,75,75,75,12900
2007-02-05,75,75,75,75,16050
2007-02-06,75,75,75,75,169720
2007-02-07,74,74,74,74,204210
2007-02-08,74,74,74,74,90120
2007-02-09,74,74,74,74,21410
2007-02-12,74,74,74,74,370500
2007-02-13,76,76,76,76,521880
2007-02-14,76,76,76,76,499835
2007-02-15,80,80,80,80,76990
2007-02-16,80,80,80,80,37150
2007-02-19,80,80,80,80,361340
2007-02-20,80,80,80,80,419405
2007-02-21,86,86,86,86,12500
2007-02-22,90,90,90,90,85500
2007-02-23,94,94,94,94,94970
2007-02-26,90,90,90,90,211720
2007-02-27,90,90,90,90,471560
2007-02-28,96,96,96,96,32740
2007-03-01,100,100,100,100,5000
2007-03-02,107,107,107,107,30000
2007-03-05,107,107,107,107,23145
2007-03-06,107,107,107,107,289195
2007-03-08,107,107,107,107,53660
2007-03-09,107,107,107,107,18070
2007-03-12,103,103,103,103,1012560
2007-03-13,106,106,106,106,17575
2007-03-14,103,103,103,103,600270
2007-03-15,100,100,100,100,16285
2007-03-16,99,99,99,99,44460
2007-03-19,100,100,100,100,514635
2007-03-20,100,100,100,100,34475
2007-03-21,100,100,100,100,1015800
2007-03-22,100,100,100,100,92190
2007-03-23,107,107,107,107,1125
2007-03-26,114,114,114,114,26375
2007-03-28,120,120,120,120,21900
2007-03-29,114,114,114,114,27530
2007-03-30,114,114,114,114,2300
2007-04-02,114,114,114,114,9900
2007-04-03,112,112,112,112,10275
2007-04-04,110,110,110,110,240280
2007-04-05,114,114,114,114,19095
2007-04-06,114,114,114,114,812425
2007-04-10,114,114,114,114,20165
2007-04-11,113,113,113,113,8720
2007-04-12,107,107,107,107,8860
2007-04-13,107,107,107,107,22245
2007-04-16,112,112,112,112,3575
2007-04-17,112,112,112,112,4400
2007-04-18,110,110,110,110,313875
2007-04-19,108,108,108,108,103330
2007-04-20,110,110,110,110,127010
2007-04-23,114,114,114,114,7245
2007-04-24,114,114,114,114,17380
2007-04-25,114,114,114,114,39405
2007-04-26,114,114,114,114,46725
2007-04-27,114,114,114,114,13010
2007-04-30,114,114,114,114,275140
2007-05-02,112,112,112,112,2500
2007-05-03,114,114,114,114,22290
2007-05-04,114,114,114,114,4890
2007-05-07,112,112,112,112,20740
2007-05-08,110,110,110,110,7675
2007-05-09,110,110,110,110,87580
2007-05-10,110,110,110,110,1563715
2007-05-11,110,110,110,110,519285
2007-05-14,110,110,110,110,38335
2007-05-15,109,109,109,109,9550
2007-05-16,106,106,106,106,64785
2007-05-18,106,106,106,106,10350
2007-05-21,106,106,106,106,29550
2007-05-22,102,102,102,102,16575
2007-05-23,99,99,99,99,76960
2007-05-24,100,100,100,100,277575
2007-05-25,106,106,106,106,10000
2007-05-29,106,106,106,106,585430
2007-05-30,106,106,106,106,705490
2007-05-31,102,102,102,102,55000
2007-06-01,102,102,102,102,200015
2007-06-04,102,102,102,102,69810
2007-06-05,100,100,100,100,4590
2007-06-07,102,102,102,102,54050
2007-06-08,104,104,104,104,25325
2007-06-11,104,104,104,104,21350
2007-06-12,102,102,102,102,114520
2007-06-13,100,100,100,100,32780
2007-06-14,100,100,100,100,285000
2007-06-15,102,102,102,102,207050
2007-06-18,100,100,100,100,18875
2007-06-19,99,99,99,99,155000
2007-06-20,100,100,100,100,28265
2007-06-21,106,106,106,106,403000
2007-06-22,104,104,104,104,40525
2007-06-25,104,104,104,104,802150
2007-06-26,106,106,106,106,575000
2007-06-27,112,112,112,112,504395
2007-06-28,120,120,120,120,505500
2007-06-29,129,129,129,129,2500
2007-07-02,129,129,129,129,18120
2007-07-03,120,120,120,120,17390
2007-07-04,129,129,129,129,47775
2007-07-05,129,129,129,129,592750
2007-07-06,129,129,129,129,28130
2007-07-09,129,129,129,129,505175
2007-07-11,129,129,129,129,77370
2007-07-12,128,128,128,128,236140
2007-07-13,128,128,128,128,6220
2007-07-16,120,120,120,120,6850
2007-07-17,113,113,113,113,18125
2007-07-18,112,112,112,112,13275
2007-07-19,112,112,112,112,41300
2007-07-20,119,119,119,119,107115
2007-07-24,109,109,109,109,12875
2007-07-25,106,106,106,106,31025
2007-07-26,109,109,109,109,58665
2007-07-27,106,106,106,106,14095
2007-07-31,106,106,106,106,220730
2007-08-01,106,106,106,106,243250
2007-08-02,109,109,109,109,68100
2007-08-03,108,108,108,108,85860
2007-08-08,106,106,106,106,316025
2007-08-09,100,100,100,100,80800
2007-08-10,106,106,106,106,358180
2007-08-13,106,106,106,106,220425
2007-08-14,102,102,102,102,49320
2007-08-16,106,106,106,106,123205
2007-08-17,104,104,104,104,47300
2007-08-20,104,104,104,104,316765
2007-08-21,108,108,108,108,519015
2007-08-22,108,108,108,108,141480
2007-08-23,107,107,107,107,633120
2007-08-24,107,107,107,107,539125
2007-08-27,107,107,107,107,511210
2007-08-28,106,106,106,106,234735
2007-08-29,107,107,107,107,69465
2007-08-30,106,106,106,106,104300
2007-08-31,110,110,110,110,42975
2007-09-03,110,110,110,110,163625
2007-09-04,110,110,110,110,601350
2007-09-05,110,110,110,110,2840
2007-09-06,109,109,109,109,3715
2007-09-07,104,104,104,104,180345
2007-09-10,104,104,104,104,181670
2007-09-11,104,104,104,104,201660
2007-09-12,104,104,104,104,46900
2007-09-13,104,104,104,104,27295
2007-09-14,103,103,103,103,44905
2007-09-17,102,102,102,102,26460
2007-09-18,102,102,102,102,16215
2007-09-19,100,100,100,100,109945
2007-09-20,100,100,100,100,68150
2007-09-21,99,99,99,99,84525
2007-09-24,100,100,100,100,31675
2007-09-25,101,101,101,101,248810
2007-09-26,101,101,101,101,2281015
2007-09-27,101,101,101,101,2415730
2007-09-28,100,100,100,100,48040
2007-10-01,100,100,100,100,159400
2007-10-02,101,101,101,101,213520
2007-10-03,100,100,100,100,78925
2007-10-04,101,101,101,101,302975
2007-10-05,101,101,101,101,103750
2007-10-08,99,99,99,99,137700
2007-10-10,101,101,101,101,89000
2007-10-11,101,101,101,101,54845
2007-10-15,100,100,100,100,27395
2007-10-16,100,100,100,100,108745
2007-10-17,100,100,100,100,107075
2007-10-18,101,101,101,101,2885
2007-10-19,101,101,101,101,26745
2007-10-22,101,101,101,101,102180
2007-10-23,102,102,102,102,2507050
2007-10-24,103,103,103,103,21045
2007-10-25,102,102,102,102,60000
2007-10-26,101,101,101,101,15000
2007-10-29,102,102,102,102,5000
2007-10-30,102,102,102,102,60370
2007-10-31,101,101,101,101,150000
2007-11-02,101,101,101,101,19495
2007-11-05,101,101,101,101,30430
2007-11-06,102,102,102,102,525810
2007-11-07,102,102,102,102,191920
2007-11-08,102,102,102,102,9000
2007-11-09,108,108,108,108,3000
2007-11-12,109,109,109,109,3500
2007-11-13,110,110,110,110,400500
2007-11-14,110,110,110,110,3340
2007-11-16,102,102,102,102,30000
2007-11-20,104,104,104,104,79680
2007-11-21,104,104,104,104,72130
2007-11-22,106,106,106,106,17800
2007-11-23,106,106,106,106,25375
2007-11-26,106,106,106,106,16295
2007-11-27,106,106,106,106,10095
2007-11-28,104,104,104,104,1500
