Date,Open,High,Low,Close,Volume
2006-09-30,150,283,150,193,8575770
2006-10-31,154,154,111,119,2520580
2006-11-30,119,119,90,90,785150
2006-12-31,90,90,80,80,750770
2007-01-31,80,85,78,78,1034180
2007-02-28,73,96,73,96,3720220
2007-03-31,100,120,99,114,3846550
2007-04-30,114,114,107,114,2103060
2007-05-31,112,114,99,102,4108275
2007-06-30,102,129,99,129,4049700
2007-07-31,129,129,106,106,2053125
2007-08-31,106,110,100,110,4704655
2007-09-30,110,110,99,100,6784870
2007-10-31,100,103,99,101,4333605
2007-11-30,101,110,101,104,1947820
2007-12-31,102,104,100,102,1421140
2008-01-31,100,107,100,107,5691040
2008-02-29,102,125,102,125,13882190
2008-03-31,124,160,123,158,11712990
2008-04-30,154,154,125,150,5162705
2008-05-31,150,166,149,166,5592985
2008-06-30,170,180,145,145,4395040
2008-07-31,135,150,125,150,4911145
2008-08-31,160,160,130,135,2558505
2008-09-30,130,140,130,135,3533689
2008-10-31,135,140,125,125,4848314
2008-11-30,125,130,115,115,2078880
2008-12-31,115,115,95,95,1797840
2009-01-31,95,105,75,100,3731130
2009-02-28,100,100,90,95,3972581
2009-03-31,95,95,60,60,2653647
2009-04-30,60,60,54,55,2463706
2009-05-31,55,55,40,40,1018558
2009-06-30,37,67,37,63,1026872
2009-07-31,63,63,40,50,1304102
2009-08-31,47,51,45,48,2409293
2009-09-30,47,49,43,45,4361424
2009-10-31,45,45,43,45,874435
2009-11-30,44,44,39,39,1450822
2009-12-31,39,43,39,39,1451336
2010-01-31,40,41,38,41,1305587
2010-02-28,41,43,39,40,1047264
2010-03-31,40,44,39,44,2369917
2010-04-30,43,58,43,53,9728793
2010-05-31,53,56,52,56,967953
2010-06-30,56,58,47,47,646447
2010-07-31,46,50,42,47,1022493
2010-08-31,47,50,45,47,2308642
2010-09-30,50,50,45,45,1453011
2010-10-31,45,46,43,44,2699937
2010-11-30,44,46,43,45,2532606
2010-12-31,45,47,42,47,710977
2011-01-31,47,50,47,50,867346
2011-02-28,49,50,48,48,1677860
2011-03-31,49,49,47,47,138185
2011-04-30,47,47,45,45,282620
2011-05-31,45,47,45,47,982477
2011-06-30,46,47,43,43,882319
2011-07-31,44,44,40,42,1465295
2011-08-31,44,49,44,47,1114517
2011-09-30,48,48,43,45,3756972
2011-10-31,45,45,41,42,1344067
2011-11-30,42,42,39,39,3235833
2011-12-31,39,39,37,37,1190164
2012-01-31,37,38,36,37,1686189
2012-02-29,37,38,36,37,1193582
2012-03-31,38,40,36,40,2906657
2012-04-30,43,45,43,44,4910607
2012-05-31,44,44,38,38,3642153
2012-06-30,38,42,38,40,1169204
2012-07-31,41,41,38,38,3770427
2012-08-31,38,40,36,37,4930967
2012-09-30,38,38,36,36,1415483
2012-10-31,36,36,33,35,1413880
2012-11-30,36,36,35,36,6351942
2012-12-31,36,36,33,35,1210758
2013-01-31,35,35,33,35,1648347
2013-02-28,35,54,35,54,3275871
2013-03-31,54,60,50,50,11094672
2013-04-30,50,53,50,50,3350274
2013-05-31,50,68,50,68,4120137
2013-06-30,70,75,56,60,1837690
2013-07-31,56,60,52,56,4072998
2013-08-31,56,60,56,56,2616958
2013-09-30,56,56,50,52,3414160
2013-10-31,52,57,50,51,7133850
2013-11-30,51,55,50,52,6269378
2013-12-31,53,53,50,51,5593510
2014-01-31,51,53,50,52,6060478
2014-02-28,52,53,50,50,11213806
2014-03-31,52,54,49,50,10731685
2014-04-30,49,50,42,44,2842886
2014-05-31,42,43,39,43,7655823
2014-06-30,43,50,42,50,1621610
2014-07-31,50,50,44,48,2639261
2014-08-31,48,51,47,50,22769390
2014-09-30,50,65,49,62,13262687
2014-10-31,62,63,51,54,5413859
2014-11-30,54,55,50,52,3175325
2014-12-31,51,54,46,50,10132453
2015-01-31,50,50,47,49,2021476
2015-02-28,48,49,45,47,5117924
2015-03-31,46,48,45,48,10342445
2015-04-30,48,57,48,55,10731191
2015-05-31,55,58,54,56,6836717
2015-06-30,56,57,52,55,17707529
2015-07-31,55,65,53,55,21063006
2015-08-31,55,60,55,58,5022960
2015-09-30,58,58,52,54,3008377
2015-10-31,54,55,51,52,4939239
2015-11-30,53,53,48,50,4578160
2015-12-31,49,49,46,48,5800324
2016-01-31,49,51,45,46,4204629
2016-02-29,46,46,39,42,36331445
2016-03-31,42,44,32,38,6564987
2016-04-30,39,40,34,37,20933293
2016-05-31,37,39,36,37,40358294
2016-06-30,38,38,31,32,16835451
2016-07-31,31,33,28,28,5236936
2016-08-31,28,29,20,29,21738413
2016-09-30,29,34,26,29,6232940
2016-10-31,29,30,25,27,1922233
2016-11-30,27,29,24,27,5124754
2016-12-31,26,27,23,25,8897524
2017-01-31,24,25,23,24,6266864
2017-02-28,24,24,21,22,4963095
2017-03-31,23,23,20,21,4065248
2017-04-30,21,21,17,19,9305825
2017-05-31,19,19,17,19,25443587
2017-06-30,18,19,16,18,40193598
