Date,Open,High,Low,Close,Volume
2006-09-30,150,283,150,193,8575770
2006-12-31,154,154,80,80,4056500
2007-03-31,80,120,73,114,8600950
2007-06-30,114,129,99,129,10261035
2007-09-30,129,129,99,100,13542650
2007-12-31,100,110,99,102,7702565
2008-03-31,100,160,100,158,31286220
2008-06-30,154,180,125,145,15150730
2008-09-30,135,160,125,135,11003339
2008-12-31,135,140,95,95,8725034
2009-03-31,95,105,60,60,10357358
2009-06-30,60,67,37,63,4509136
2009-09-30,63,63,40,45,8074819
2009-12-31,45,45,39,39,3776593
2010-03-31,40,44,38,44,4722768
2010-06-30,43,58,43,47,11343193
2010-09-30,46,50,42,45,4784146
2010-12-31,45,47,42,47,5943520
2011-03-31,47,50,47,47,2683391
2011-06-30,47,47,43,43,2147416
2011-09-30,44,49,40,45,6336784
2011-12-31,45,45,37,37,5770064
2012-03-31,37,40,36,40,5786428
2012-06-30,43,45,38,40,9721964
2012-09-30,41,41,36,36,10116877
2012-12-31,36,36,33,35,8976580
2013-03-31,35,60,33,50,16018890
2013-06-30,50,75,50,60,9308101
2013-09-30,56,60,50,52,10104116
2013-12-31,52,57,50,51,18996738
2014-03-31,51,54,49,50,28005969
2014-06-30,49,50,39,50,12120319
2014-09-30,50,65,44,62,38671338
2014-12-31,62,63,46,50,18721637
2015-03-31,50,50,45,48,17481845
2015-06-30,48,58,48,55,35275437
2015-09-30,55,65,52,54,29094343
2015-12-31,54,55,46,48,15317723
2016-03-31,49,51,32,38,47101061
2016-06-30,39,40,31,32,78127038
2016-09-30,31,34,20,29,33208289
2016-12-31,29,30,23,25,15944511
2017-03-31,24,25,20,21,15295207
2017-06-30,21,21,16,18,74943010
2017-09-30,17,23,16,20,75956393
2017-12-31,20,20,17,17,33515566
2018-03-31,17,20,16,18,41803127
2018-06-30,19,26,18,20,28693909
2018-09-30,20,23,20,22,6947067
2018-12-31,21,23,17,18,15183441
2019-03-31,18,21,17,19,11703290
2019-06-30,19,19,16,16,10181053
2019-09-30,16,19,15,16,25925514
2019-12-31,15,16,13,14,7023037
2020-03-31,14,14,13,13,21405156
2020-06-30,13,13,13,13,1119137
2020-09-30,13,13,13,13,1017479
2020-12-31,13,13,13,13,482906
2021-03-31,13,13,13,13,955239
2021-06-30,13,13,13,13,3316482
2021-09-30,13,13,13,13,5615797
2021-12-31,13,19,13,18,127319672
2022-03-31,19,27,14,17,96265148
2022-06-30,17,18,14,16,35304923
2022-09-30,15,19,15,19,21239344
2022-12-31,19,20,17,19,25234775
2023-03-31,19,21,17,17,30155288
2023-06-30,16,18,16,18,19283915
2023-09-30,18,19,17,19,11860857
2023-12-31,19,19,17,19,17977829
2024-03-31,19,19,16,18,12556934
2024-06-30,17,18,16,17,12973257
2024-09-30,17,17,15,16,16977264
2024-12-31,16,17,15,16,21653188
2025-03-31,16,16,15,16,49038521
2025-06-30,15,19,14,18,42904992
2025-09-30,17,18,15,18,47514781
2025-12-31,17,24,17,23,59087193
2026-03-31,23,34,21,33,101875069
2026-06-30,33,40,25,40,52658545
2026-09-30,40,83,40,67,82830517
