Date,Open,High,Low,Close,Volume
2006-09-11,150,150.0,150.0,150,2441250
2006-09-18,173,213.0,173.0,213,2252520
2006-09-25,229,283.0,229.0,262,3421550
2006-10-02,243,243.0,193.0,193,460450
2006-10-09,154,154.0,122.0,122,191660
2006-10-16,113,124.0,113.0,119,1989460
2006-10-23,115,124.0,115.0,122,155150
2006-10-30,120,120.0,111.0,111,147810
2006-11-06,119,119.0,114.0,114,134510
2006-11-13,113,115.0,110.0,110,195360
2006-11-20,109,109.0,93.0,93,326380
2006-11-27,95,95.0,95.0,95,44690
2006-12-04,93,93.0,88.0,88,204610
2006-12-11,86,86.0,85.0,85,238430
2006-12-18,80,80.0,80.0,80,232770
2006-12-25,80,80.0,80.0,80,141030
2007-01-01,80,80.0,80.0,80,54640
2007-01-08,80,80.0,79.0,80,422360
2007-01-15,80,80.0,80.0,80,68790
2007-01-22,79,80.0,79.0,80,378200
2007-01-29,80,85.0,79.0,79,164730
2007-02-05,78,78.0,73.0,75,38770
2007-02-12,75,75.0,74.0,74,855960
2007-02-19,76,80.0,76.0,80,1497195
2007-02-26,80,94.0,80.0,90,824095
2007-03-05,90,107.0,90.0,107,562445
2007-03-12,107,107.0,103.0,103,1373485
2007-03-19,106,106.0,99.0,100,1193225
2007-03-26,100,114.0,100.0,114,1169965
2007-04-02,120,120.0,114.0,114,61630
2007-04-09,112,114.0,110.0,114,1082075
2007-04-16,114,114.0,107.0,112,63565
2007-04-23,112,114.0,108.0,114,555860
2007-04-30,114,114.0,114.0,114,391660
2007-05-07,112,114.0,112.0,112,50420
2007-05-14,110,110.0,110.0,110,2216590
2007-05-21,109,109.0,106.0,106,114235
2007-05-28,102,106.0,99.0,106,381110
2007-06-04,106,106.0,102.0,102,1615745
2007-06-11,100,104.0,100.0,104,105315
2007-06-18,102,102.0,100.0,100,658225
2007-06-25,99,106.0,99.0,104,1428940
2007-07-02,106,129.0,106.0,129,1605515
2007-07-09,120,129.0,120.0,129,1191220
2007-07-16,129,129.0,120.0,120,326580
2007-07-23,113,119.0,112.0,119,179815
2007-07-30,109,109.0,106.0,106,116660
2007-08-06,106,109.0,106.0,108,617940
2007-08-13,106,106.0,100.0,106,975430
2007-08-20,102,106.0,102.0,104,536590
2007-08-27,108,108.0,107.0,107,2343950
2007-09-03,106,110.0,106.0,110,615100
2007-09-10,110,110.0,104.0,104,969920
2007-09-17,104,104.0,102.0,102,347220
2007-09-24,102,102.0,99.0,100,310510
2007-10-01,101,101.0,100.0,100,5152995
2007-10-08,101,101.0,99.0,99,836870
2007-10-15,101,101.0,100.0,100,171240
2007-10-22,100,101.0,100.0,101,347630
2007-10-29,102,103.0,101.0,102,2608095
2007-11-05,102,102.0,101.0,101,260295
2007-11-12,102,109.0,102.0,109,733230
2007-11-19,110,110.0,102.0,102,433840
2007-11-26,104,106.0,104.0,106,211280
2007-12-03,106,106.0,102.0,102,521045
2007-12-10,100,102.0,100.0,102,75445
2007-12-17,101,104.0,101.0,104,221455
2007-12-24,101,102.0,101.0,102,423075
2007-12-31,102,102.0,101.0,102,699665
2008-01-07,100,102.0,100.0,102,679550
2008-01-14,102,106.0,102.0,106,368100
2008-01-21,107,107.0,106.0,107,442950
2008-01-28,104,104.0,103.0,103,3542785
2008-02-04,104,107.0,102.0,104,11316385
2008-02-11,105,108.0,104.0,108,2212580
2008-02-18,108,110.0,108.0,110,278215
2008-02-25,110,111.0,110.0,111,255315
2008-03-03,115,125.0,115.0,124,3175710
2008-03-10,125,125.0,123.0,124,7233400
2008-03-17,124,130.0,124.0,130,1067030
2008-03-24,130,140.0,130.0,140,277685
2008-03-31,142,160.0,142.0,158,436515
2008-04-07,154,154.0,145.0,145,683795
2008-04-14,135,135.0,125.0,134,2238790
2008-04-21,138,140.0,138.0,140,617630
2008-04-28,140,150.0,140.0,150,829025
2008-05-05,150,150.0,150.0,150,1224820
2008-05-12,150,150.0,149.0,149,809325
2008-05-19,150,150.0,149.0,149,2222205
2008-05-26,149,150.0,149.0,150,873615
2008-06-02,150,170.0,150.0,170,1914605
2008-06-09,178,180.0,169.0,180,2014195
2008-06-16,170,170.0,155.0,160,512738
2008-06-23,160,160.0,150.0,160,216074
2008-06-30,160,160.0,145.0,145,993913
2008-07-07,135,135.0,125.0,125,871115
2008-07-14,135,135.0,135.0,135,1059021
2008-07-21,135,135.0,135.0,135,1208596
2008-07-28,135,140.0,135.0,135,1197253
2008-08-04,145,160.0,145.0,160,795167
2008-08-11,160,160.0,145.0,145,254937
2008-08-18,140,150.0,140.0,145,986181
2008-08-25,140,140.0,130.0,140,774659
2008-09-01,135,135.0,130.0,130,339471
2008-09-08,135,140.0,135.0,140,1767518
2008-09-15,140,140.0,135.0,135,579952
2008-09-22,140,140.0,140.0,140,572090
2008-09-29,140,140.0,135.0,135,597379
2008-10-06,135,140.0,135.0,140,1520133
2008-10-13,135,135.0,135.0,135,278079
2008-10-20,135,135.0,125.0,130,62891
2008-10-27,125,130.0,125.0,125,597258
2008-11-03,125,125.0,125.0,125,2612598
2008-11-10,125,130.0,125.0,130,886815
2008-11-17,130,130.0,125.0,130,319090
2008-11-24,130,130.0,125.0,125,303531
2008-12-01,120,120.0,115.0,115,972065
2008-12-08,115,115.0,110.0,115,500509
2008-12-15,115,115.0,100.0,100,147964
2008-12-22,100,100.0,95.0,100,175546
2008-12-29,100,100.0,100.0,100,210799
2009-01-05,100,100.0,95.0,95,313283
