Date,Open,High,Low,Close,Volume
2006-12-31,150,283,80,80,12632270
2007-12-31,80,129,73,102,40107200
2008-12-31,100,180,95,95,66165323
2009-12-31,95,105,37,39,26717906
2010-12-31,40,58,38,47,26793627
2011-12-31,47,50,37,37,16937655
2012-12-31,37,45,33,35,34601849
2013-12-31,35,75,33,51,54427845
2014-12-31,51,65,39,50,97519263
2015-12-31,50,65,45,48,97169348
2016-12-31,49,51,20,25,174380899
2017-12-31,24,25,16,17,199710176
2018-12-31,17,26,16,18,92627544
2019-12-31,18,21,13,14,54832894
2020-12-31,14,14,13,13,24024678
2021-12-31,13,19,13,18,137207190
2022-12-31,19,27,14,19,178044190
2023-12-31,19,21,16,19,79277889
2024-12-31,19,19,15,16,64160643
2025-12-31,16,24,14,23,198545487
2026-12-31,23,83,21,67,237364131
