Date,Open,High,Low,Close,Volume
1998-09-16,2719,2719,2719,2719,1280
1998-09-18,2719,2719,2719,2719,4907
1998-09-21,2813,2813,2813,2813,7573
1998-09-23,2813,2813,2813,2813,939
1998-09-25,2813,2813,2813,2813,533
1998-09-28,2813,2813,2813,2813,117
1998-10-02,3000,3000,3000,3000,992
1998-10-05,3225,3225,3225,3225,213
1998-10-07,3188,3188,3188,3188,1387
1998-10-09,3188,3188,3188,3188,373
1998-10-14,3188,3188,3188,3188,3648
1998-10-16,3375,3375,3375,3375,3072
1998-10-19,3467,3467,3467,3467,203
1998-10-21,3234,3234,3234,3234,11840
1998-10-23,3000,3000,3000,3000,1280
1998-10-26,2813,2813,2813,2813,11520
1998-10-28,2813,2813,2813,2813,7925
1998-10-30,2813,2813,2813,2813,907
1998-11-02,2813,2813,2813,2813,480
1998-11-04,2625,2625,2625,2625,1163
1998-11-06,2438,2438,2438,2438,1120
1998-11-09,2255,2255,2255,2255,2133
1998-11-11,2250,2250,2250,2250,2720
1998-11-13,2082,2082,2082,2082,2251
1998-11-16,2063,2063,2063,2063,555
1998-11-18,1969,1969,1969,1969,15712
1998-11-20,1969,1969,1969,1969,1173
1998-11-23,1821,1821,1821,1821,14315
1998-11-25,1821,1821,1821,1821,12821
1998-11-27,1958,1958,1958,1958,1621
1998-11-30,1958,1958,1958,1958,1845
1998-12-02,1958,1958,1958,1958,7627
1998-12-04,1958,1958,1958,1958,2080
1998-12-09,1958,1958,1958,1958,107
1998-12-11,1828,1828,1828,1828,49397
1998-12-14,1959,1959,1959,1959,2240
1998-12-16,1959,1959,1959,1959,1333
1998-12-18,1959,1959,1959,1959,640
1998-12-23,1959,1959,1959,1959,1067
1998-12-28,2063,2063,2063,2063,160
1998-12-30,2063,2063,2063,2063,12800
1999-01-08,2063,2063,2063,2063,4373
1999-01-11,2063,2063,2063,2063,160
1999-01-13,2063,2063,2063,2063,21
1999-01-20,2063,2063,2063,2063,53
1999-01-22,2063,2063,2063,2063,43
1999-01-27,2063,2063,2063,2063,789
1999-02-01,2250,2250,2250,2250,2795
1999-02-03,2250,2250,2250,2250,3819
1999-02-05,2250,2250,2250,2250,1077
1999-02-08,2156,2156,2156,2156,85
1999-02-10,2156,2156,2156,2156,1259
1999-02-12,2250,2250,2250,2250,11221
1999-02-15,2250,2250,2250,2250,363
1999-02-17,2250,2250,2250,2250,533
1999-02-19,2203,2203,2203,2203,533
1999-02-26,2108,2108,2108,2108,10709
1999-03-01,2108,2108,2108,2108,373
1999-03-03,2109,2109,2109,2109,2027
1999-03-05,2109,2109,2109,2109,8203
1999-03-08,2109,2109,2109,2109,64
1999-03-10,2109,2109,2109,2109,267
1999-03-12,2109,2109,2109,2109,139
1999-03-15,2109,2109,2109,2109,32
1999-03-17,2109,2109,2109,2109,256
1999-03-19,2109,2109,2109,2109,928
1999-03-24,2109,2109,2109,2109,4565
1999-03-26,2109,2109,2109,2109,1707
1999-03-31,2109,2109,2109,2109,53
1999-04-02,2109,2109,2109,2109,320
1999-04-07,2109,2109,2109,2109,320
1999-04-09,2091,2091,2091,2091,213
1999-04-14,2108,2108,2108,2108,10325
1999-04-16,2108,2108,2108,2108,3221
1999-04-19,2109,2109,2109,2109,5653
1999-04-21,2108,2108,2108,2108,1867
1999-04-28,2108,2108,2108,2108,267
1999-04-30,2108,2108,2108,2108,75
1999-05-10,2109,2109,2109,2109,1600
1999-05-19,1969,1969,1969,1969,533
