Date,Open,High,Low,Close,Volume
1998-09-30,2719,2813.0,2719.0,2813,15349
1998-10-31,3000,3467.0,2813.0,2813,43360
1998-11-30,2813,2813.0,1821.0,1958,57909
1998-12-31,1958,2063.0,1828.0,2063,77451
1999-01-31,2063,2063.0,2063.0,2063,5439
1999-02-28,2250,2250.0,2108.0,2108,32394
1999-03-31,2108,2109.0,2108.0,2109,18614
1999-04-30,2109,2109.0,2091.0,2108,22261
1999-05-31,2109,2109.0,1875.0,1969,9792
1999-06-30,1875,1968.0,1875.0,1968,15498
1999-07-31,1968,2015.0,1968.0,1968,3317
1999-08-31,1968,1968.0,1875.0,1922,2144
1999-09-30,1875,1875.0,1874.0,1874,534
1999-10-31,1781,1813.0,1688.0,1781,34325
1999-11-30,1781,1781.0,1781.0,1781,9600
2000-01-31,1668,1668.0,1594.0,1594,768
2000-02-29,1594,1594.0,1594.0,1594,21
2000-03-31,1406,1406.0,1406.0,1406,42005
2000-05-31,1313,1313.0,1313.0,1313,42667
2000-06-30,1313,1313.0,1313.0,1313,3893
2000-07-31,1313,1406.0,1313.0,1313,14433
2000-08-31,1313,1359.0,1313.0,1359,106880
2000-09-30,1359,1359.0,1330.0,1330,1812
2000-10-31,1313,1313.0,1313.0,1313,1067
2000-11-30,1313,1313.0,1313.0,1313,4768
2000-12-31,1313,1359.0,1313.0,1350,6965
2001-01-31,1350,1350.0,1266.0,1266,3157
2001-02-28,1266,1266.0,1266.0,1266,201109
2001-03-31,1322,1327.0,1322.0,1327,3200
2001-05-31,1406,1500.0,1406.0,1500,2389
2001-06-30,1613,1613.0,1594.0,1594,13269
2001-07-31,1594,1594.0,1547.0,1547,1493
2001-08-31,1563,1563.0,1413.0,1413,2848
2001-09-30,1413,1413.0,1413.0,1413,1584
2001-10-31,1413,1413.0,1375.0,1375,1600
2001-11-30,1374,1374.0,1356.0,1356,664
2001-12-31,1356,2075.0,1356.0,2075,13192
2002-01-31,2075,2075.0,1875.0,1875,201616
2002-02-28,1875,1875.0,1544.0,1544,28216
2002-03-31,1544,1544.0,1250.0,1250,4936
2002-04-30,1250,1313.0,1124.0,1124,274280
2002-05-31,1313,1550.0,1313.0,1550,31408
2002-06-30,1500,1563.0,1413.0,1413,2688
2002-07-31,1413,1545.0,1413.0,1545,60800
2002-08-31,1438,1463.0,1413.0,1437,413904
2002-09-30,1437,1438.0,1437.0,1438,12608
2002-10-31,1463,1700.0,1463.0,1700,6816
2002-11-30,1826,2106.0,1826.0,2106,11648
2002-12-31,2106,2996.0,2106.0,2996,5016
2003-01-31,2996,2996.0,2772.0,2772,1608
2003-02-28,2772,2772.0,2772.0,2772,48
2003-03-31,2754,2754.0,2747.0,2747,96
2003-04-30,2747,2747.0,2530.0,2531,61817
2003-05-31,2531,2531.0,2513.0,2531,2811
2003-06-30,2344,2438.0,2255.0,2255,614
2003-07-31,2255,2438.0,2086.0,2438,30432
2003-08-31,2494,2644.0,2494.0,2644,27414
2003-09-30,2636,2636.0,2625.0,2625,1759
2003-10-31,2438,2438.0,2250.0,2250,12192
2003-11-30,2259,2438.0,2259.0,2438,9450
2003-12-31,2442,2896.0,2442.0,2812,275365
2004-01-31,2811,3000.0,2811.0,2988,3176
2004-02-29,2925,2925.0,2825.0,2825,7904
2004-03-31,2825,2825.0,2736.0,2749,47764
2004-04-30,2749,2749.0,2500.0,2500,46140
2004-05-31,2500,2500.0,2500.0,2500,16000
2004-06-30,2539,2625.0,2250.0,2500,147860
2004-07-31,2499,2500.0,2313.0,2470,147312
2004-08-31,2471,2750.0,2471.0,2750,5228
2004-09-30,2750,2750.0,2544.0,2750,4640
2004-10-31,2625,2821.0,2625.0,2746,36788
2004-11-30,2746,2746.0,2544.0,2544,4912
2004-12-31,2544,3225.0,2544.0,3200,26124
2005-01-31,2550,2550.0,2500.0,2500,704
2005-02-28,2500,2500.0,2499.0,2500,4156
2005-03-31,2475,2475.0,2340.0,2350,5296
2005-04-30,2350,2350.0,2345.0,2345,285344
2005-05-31,2320,2875.0,1988.0,2850,25280
2005-06-30,2824,2824.0,2325.0,2499,580
2005-07-31,2625,2625.0,2325.0,2325,816
2005-08-31,2313,2313.0,2025.0,2131,4012
2005-09-30,2133,2134.0,2124.0,2124,2624
2005-10-31,2124,2124.0,2000.0,2000,4048
2005-11-30,2000,2000.0,1863.0,1863,2008
2005-12-31,2000,2000.0,1875.0,1998,3332
2006-01-31,1875,1875.0,1750.0,1874,5004
2006-02-28,1875,1875.0,1750.0,1750,3364
2006-03-31,1725,1725.0,1699.0,1699,1120
2006-04-30,1699,1699.0,1688.0,1688,480
2006-05-31,1688,1688.0,1650.0,1650,1064
2006-06-30,1649,1649.0,1500.0,1500,82456
2006-07-31,1500,1500.0,1328.0,1376,29248
2006-08-31,1428,1428.0,1374.0,1375,15432
2006-09-30,1375,1413.0,1375.0,1413,776
2006-10-31,1413,1413.0,1413.0,1413,768
2006-11-30,1415,1500.0,1400.0,1400,828
2006-12-31,1398,1398.0,1394.0,1394,220
2007-01-31,1394,1400.0,1394.0,1394,3484
2007-02-28,1394,1450.0,1394.0,1450,3680
2007-03-31,1500,1500.0,1394.0,1450,7392
2007-04-30,1450,1500.0,1374.0,1500,23612
2007-05-31,1503,1650.0,1503.0,1650,12808
2007-06-30,1625,1625.0,1565.0,1623,9588
2007-07-31,1623,1625.0,1575.0,1623,9448
2007-08-31,1625,1776.0,1625.0,1776,35416
2007-09-30,2205,3376.0,2205.0,3125,15496
2007-10-31,3000,3000.0,2500.0,2524,12940
2007-11-30,2450,2500.0,2098.0,2500,9872
2007-12-31,2500,2688.0,2488.0,2488,2984
2008-01-31,2488,2488.0,2474.0,2474,360
2008-02-29,2450,2450.0,2249.0,2249,392
2008-03-31,2200,2251.0,2200.0,2250,1268
2008-04-30,2250,2250.0,2150.0,2250,1528
2008-05-31,2248,2248.0,2000.0,2000,12956
2008-06-30,2000,2426.0,2000.0,2254,5308
2008-07-31,2085,2250.0,2000.0,2250,45524
2008-08-31,2250,2250.0,1999.0,2125,20264
2008-09-30,2125,2125.0,1974.0,2000,17396
2008-10-31,2000,2000.0,1850.0,1850,8388
2008-11-30,1850,1850.0,1625.0,1625,192
2008-12-31,1499,1693.0,1100.0,1674,49536
2009-01-31,1674,1674.0,1475.0,1475,848
2009-02-28,1475,1475.0,1249.0,1249,1912
2009-03-31,1138,1138.0,1109.0,1109,1536
2009-04-30,1108,1108.0,925.0,925,1652
2009-05-31,925,925.0,750.0,750,11456
2009-06-30,750,813.0,750.0,813,65408
2009-07-31,1101,1250.0,975.0,1000,17432
2009-08-31,1000,1000.0,950.0,951,5096
2009-09-30,951,999.0,800.0,800,6792
2009-10-31,750,930.0,744.0,883,21860
2009-11-30,875,875.0,800.0,875,2656
2009-12-31,875,875.0,726.0,728,14136
2010-01-31,725,806.0,671.0,725,13248
2010-02-28,779,779.0,675.0,775,5700
2010-03-31,775,800.0,775.0,775,5136
2010-04-30,800,800.0,775.0,800,34588
2010-05-31,801,801.0,795.0,800,19212
2010-06-30,800,981.0,800.0,975,6912
2010-07-31,913,913.0,800.0,800,19832
2010-08-31,825,825.0,750.0,800,32052
2010-09-30,800,876.0,750.0,800,15668
2010-10-31,788,1010.0,788.0,1010,8400
2010-11-30,1009,1009.0,764.0,874,26568
2010-12-31,873,875.0,776.0,813,14652
2011-01-31,813,813.0,788.0,788,6012
2011-02-28,813,813.0,775.0,813,3032
2011-03-31,800,800.0,800.0,800,232
2011-04-30,800,800.0,800.0,800,80
2011-05-31,800,800.0,694.0,800,1716
2011-06-30,800,800.0,625.0,688,5620
2011-07-31,750,875.0,700.0,838,5296
2011-08-31,838,875.0,718.0,875,10036
2011-09-30,900,975.0,800.0,915,13044
2011-10-31,915,975.0,875.0,900,2704
2011-11-30,798,850.0,750.0,800,17032
2011-12-31,763,763.0,675.0,675,57016
2012-01-31,675,675.0,663.0,675,10088
2012-02-29,675,675.0,625.0,650,6408
2012-03-31,663,688.0,650.0,688,22400
2012-04-30,700,871.0,700.0,775,12476
2012-05-31,775,775.0,675.0,725,8252
2012-06-30,701,775.0,694.0,775,40128
2012-07-31,800,1253.0,800.0,995,45056
2012-08-31,995,995.0,813.0,818,14464
2012-09-30,800,1000.0,800.0,988,13404
2012-10-31,988,1656.0,975.0,1425,37432
2012-11-30,1425,1550.0,1425.0,1525,21024
2012-12-31,1500,1550.0,1425.0,1525,12660
2013-01-31,1523,1523.0,1499.0,1500,14300
2013-02-28,1525,2250.0,1525.0,2250,12284
2013-03-31,2248,2250.0,1763.0,1775,22436
2013-04-30,1908,2001.0,1775.0,1900,16336
2013-05-31,1900,1900.0,1573.0,1875,59848
2013-06-30,1825,2000.0,1825.0,1875,12000
2013-07-31,1875,2300.0,1875.0,2000,11236
2013-08-31,2124,2125.0,1863.0,1863,9908
2013-09-30,1863,1881.0,1735.0,1750,6932
2013-10-31,1725,1950.0,1513.0,1938,27188
2013-11-30,2000,2000.0,1825.0,1935,7536
2013-12-31,1938,1950.0,1900.0,1925,14384
2014-01-31,1900,2550.0,1888.0,2500,12340
2014-02-28,2550,3570.0,2500.0,2975,31552
2014-03-31,2875,3300.0,2750.0,3125,24416
2014-04-30,3125,3125.0,2533.0,2613,19148
2014-05-31,2613,2956.0,2500.0,2956,21804
2014-06-30,2958,4558.0,2958.0,4075,72812
2014-07-31,4125,4600.0,3970.0,4120,74944
2014-08-31,4075,4429.0,3775.0,4050,78384
2014-09-30,4350,5750.0,3839.0,5498,108004
2014-10-31,5375,5875.0,4459.0,4988,112800
2014-11-30,4988,6289.0,4750.0,6123,50004
2014-12-31,5664,7450.0,5240.0,7375,64132
2015-01-31,7425,8601.0,5781.0,8601,56412
2015-02-28,8650,10000.0,8375.0,8375,24436
2015-03-31,8250,9749.0,7000.0,9499,79876
2015-04-30,9500,9500.0,6693.0,7000,28636
2015-05-31,7000,7243.0,6750.0,6999,85124
2015-06-30,6875,7375.0,5750.0,7375,425372
2015-07-31,7500,7928.0,6625.0,7500,235088
2015-08-31,7500,8063.0,6875.0,6875,77212
2015-09-30,6375,7500.0,6375.0,6871,193292
2015-10-31,6900,7975.0,6763.0,7500,268536
2015-11-30,7750,7875.0,6505.0,7438,876632
2015-12-31,7425,8000.0,6750.0,7499,50696
2016-01-31,7499,7751.0,7026.0,7625,265564
2016-02-29,7501,7999.0,7256.0,7500,74576
2016-03-31,7525,7871.0,7375.0,7725,65760
2016-04-30,7750,8249.0,6875.0,7450,665868
2016-05-31,7463,7500.0,7000.0,7000,23272
2016-06-30,7000,7500.0,6475.0,7500,58076
2016-07-31,7375,7375.0,6025.0,6725,40188
2016-08-31,6725,7500.0,6501.0,6863,409512
2016-09-30,6750,7124.0,6000.0,6000,88760
2016-10-31,6000,6600.0,5500.0,5850,14912
2016-11-30,5411,6315.0,4856.0,6125,35172
2016-12-31,6100,6125.0,5243.0,5875,13056
2017-01-31,5625,5750.0,4749.0,4874,8468
2017-02-28,4750,4874.0,4250.0,4400,16192
2017-03-31,4250,4499.0,3350.0,4499,33452
2017-04-30,4250,4475.0,3250.0,3525,19632
2017-05-31,3750,4800.0,3625.0,4500,50524
2017-06-30,4500,4500.0,3750.0,4434,36080
2017-07-31,4101,4813.0,3794.0,4813,39340
2017-08-31,4750,4800.0,3539.0,3875,17516
2017-09-30,3875,3875.0,3250.0,3725,7700
2017-10-31,3500,4125.0,3450.0,4000,105836
2017-11-30,3998,4031.0,3500.0,3875,37220
2017-12-31,3875,5000.0,3775.0,4925,381868
2018-01-31,4925,4925.0,3853.0,4400,27504
2018-02-28,4315,5000.0,4200.0,4950,37366
2018-03-31,4945,5500.0,4560.0,5485,49204
2018-04-30,5380,5480.0,4440.0,4900,29490
2018-05-31,4805,4900.0,3795.0,4000,11149
2018-06-30,3900,4000.0,3250.0,4000,10681
2018-07-31,3990,3990.0,3200.0,3600,10627
2018-08-31,3405,3600.0,2500.0,3000,20020
2018-09-30,3000,3000.0,2000.0,2135,50870
2018-10-31,2125,2140.0,1805.0,1895,19975
2018-11-30,1895,1900.0,1475.0,1475,67123
2018-12-31,1455,2120.0,1295.0,2120,416800
