Date,Open,High,Low,Close,Volume
1998-09-30,2719,2813,2719,2813,15349
1998-12-31,3000,3467,1821,2063,178720
1999-03-31,2063,2250,2063,2109,56447
1999-06-30,2109,2109,1875,1968,47551
1999-09-30,1968,2015,1874,1874,5995
1999-12-31,1781,1813,1688,1781,43925
2000-03-31,1668,1668,1406,1406,42794
2000-06-30,1313,1313,1313,1313,46560
2000-09-30,1313,1406,1313,1330,123125
2000-12-31,1313,1359,1313,1350,12800
2001-03-31,1350,1350,1266,1327,207466
2001-06-30,1406,1613,1406,1594,15658
2001-09-30,1594,1594,1413,1413,5925
2001-12-31,1413,2075,1356,2075,15456
2002-03-31,2075,2075,1250,1250,234768
2002-06-30,1250,1563,1124,1413,308376
2002-09-30,1413,1545,1413,1438,487312
2002-12-31,1463,2996,1463,2996,23480
2003-03-31,2996,2996,2747,2747,1752
2003-06-30,2747,2747,2255,2255,65242
2003-09-30,2255,2644,2086,2625,59605
2003-12-31,2438,2896,2250,2812,297007
2004-03-31,2811,3000,2736,2749,58844
2004-06-30,2749,2749,2250,2500,210000
2004-09-30,2499,2750,2313,2750,157180
2004-12-31,2625,3225,2544,3200,67824
2005-03-31,2550,2550,2340,2350,10156
2005-06-30,2350,2875,1988,2499,311204
2005-09-30,2625,2625,2025,2124,7452
2005-12-31,2124,2124,1863,1998,9388
2006-03-31,1875,1875,1699,1699,9488
2006-06-30,1699,1699,1500,1500,84000
2006-09-30,1500,1500,1328,1413,45456
2006-12-31,1413,1500,1394,1394,1816
2007-03-31,1394,1500,1394,1450,14556
2007-06-30,1450,1650,1374,1623,46008
2007-09-30,1623,3376,1575,3125,60360
2007-12-31,3000,3000,2098,2488,25796
2008-03-31,2488,2488,2200,2250,2020
2008-06-30,2250,2426,2000,2254,19792
2008-09-30,2085,2250,1974,2000,83184
2008-12-31,2000,2000,1100,1674,58116
2009-03-31,1674,1674,1109,1109,4296
2009-06-30,1108,1108,750,813,78516
2009-09-30,1101,1250,800,800,29320
2009-12-31,750,930,726,728,38652
2010-03-31,725,806,671,775,24084
2010-06-30,800,981,775,975,60712
2010-09-30,913,913,750,800,67552
2010-12-31,788,1010,764,813,49620
2011-03-31,813,813,775,800,9276
2011-06-30,800,800,625,688,7416
2011-09-30,750,975,700,915,28376
2011-12-31,915,975,675,675,76752
2012-03-31,675,688,625,688,38896
2012-06-30,700,871,675,775,60856
2012-09-30,800,1253,800,988,72924
2012-12-31,988,1656,975,1525,71116
2013-03-31,1523,2250,1499,1775,49020
2013-06-30,1908,2001,1573,1875,88184
2013-09-30,1875,2300,1735,1750,28076
2013-12-31,1725,2000,1513,1925,49108
2014-03-31,1900,3570,1888,3125,68308
2014-06-30,3125,4558,2500,4075,113764
2014-09-30,4125,5750,3775,5498,261332
2014-12-31,5375,7450,4459,7375,226936
2015-03-31,7425,10000,5781,9499,160724
2015-06-30,9500,9500,5750,7375,539132
2015-09-30,7500,8063,6375,6871,505592
2015-12-31,6900,8000,6505,7499,1195864
2016-03-31,7499,7999,7026,7725,405900
2016-06-30,7750,8249,6475,7500,747216
2016-09-30,7375,7500,6000,6000,538460
2016-12-31,6000,6600,4856,5875,63140
2017-03-31,5625,5750,3350,4499,58112
2017-06-30,4250,4800,3250,4434,106236
2017-09-30,4101,4813,3250,3725,64556
2017-12-31,3500,5000,3450,4925,524924
2018-03-31,4925,5500,3853,5485,114074
2018-06-30,5380,5480,3250,4000,51320
2018-09-30,3990,3990,2000,2135,81517
2018-12-31,2125,2140,1295,2120,503898
2019-03-31,2090,2275,1235,1285,87246
2019-06-30,1285,1450,1210,1395,137928
2019-09-30,1360,1545,1000,1000,17038
2019-12-31,1000,1725,750,1725,234951
2020-03-31,1695,1695,975,1000,18287
2020-06-30,1000,1400,790,1400,161562
2020-09-30,1400,1400,920,1130,95022
2020-12-31,1055,1610,1000,1610,482211
2021-03-31,1605,1605,1305,1475,31722
2021-06-30,1450,2090,1325,2090,358332
2021-09-30,2100,2195,1800,1945,175559
2021-12-31,1940,1940,1470,1680,163570
2022-03-31,1650,1800,1400,1550,206786
2022-06-30,1600,1640,1200,1205,189106
2022-09-30,1205,1395,1205,1245,72808
2022-12-31,1245,1630,1080,1600,129157
2023-03-31,1480,1495,1080,1195,133769
2023-06-30,1200,1230,1050,1100,35654
2023-09-30,1100,1180,1030,1115,227075
2023-12-31,1115,2085,1075,1840,448894
2024-03-31,1800,2000,1610,1930,96635
2024-06-30,1930,2000,1275,1380,198860
2024-09-30,1380,1555,1300,1440,125501
2024-12-31,1440,1860,1235,1850,311794
2025-03-31,1850,3390,1770,3280,389506
2025-06-30,3280,6845,3000,3880,2366201
2025-09-30,3590,5350,1885,2520,909032
2025-12-31,2600,3395,1780,2220,541771
2026-03-31,2210,2500,1800,2345,278017
2026-06-30,2350,2440,1900,2000,234327
2026-09-30,2000,2225,1900,2150,151661
