Date,Open,High,Low,Close,Volume
1998-09-21,2719,2813.0,2719.0,2813,13760
1998-09-28,2813,2813.0,2813.0,2813,1589
1998-10-05,3000,3225.0,3000.0,3225,1205
1998-10-12,3188,3188.0,3188.0,3188,1760
1998-10-19,3188,3467.0,3188.0,3467,6923
1998-10-26,3234,3234.0,2813.0,2813,24640
1998-11-02,2813,2813.0,2813.0,2813,9312
1998-11-09,2625,2625.0,2255.0,2255,4416
1998-11-16,2250,2250.0,2063.0,2063,5526
1998-11-23,1969,1969.0,1821.0,1821,31200
1998-11-30,1821,1958.0,1821.0,1958,16287
1998-12-07,1958,1958.0,1958.0,1958,9707
1998-12-14,1958,1959.0,1828.0,1959,51744
1998-12-21,1959,1959.0,1959.0,1959,1973
1998-12-28,1959,2063.0,1959.0,2063,1227
1999-01-04,2063,2063.0,2063.0,2063,12800
1999-01-11,2063,2063.0,2063.0,2063,4533
1999-01-18,2063,2063.0,2063.0,2063,21
1999-01-25,2063,2063.0,2063.0,2063,96
1999-02-01,2063,2250.0,2063.0,2250,3584
1999-02-08,2250,2250.0,2156.0,2156,4981
1999-02-15,2156,2250.0,2156.0,2250,12843
1999-02-22,2250,2250.0,2203.0,2203,1066
1999-03-01,2108,2108.0,2108.0,2108,11082
1999-03-08,2109,2109.0,2109.0,2109,10294
1999-03-15,2109,2109.0,2109.0,2109,438
1999-03-22,2109,2109.0,2109.0,2109,1184
1999-03-29,2109,2109.0,2109.0,2109,6272
1999-04-05,2109,2109.0,2109.0,2109,373
1999-04-12,2109,2109.0,2091.0,2091,533
1999-04-19,2108,2109.0,2108.0,2109,19199
1999-04-26,2108,2108.0,2108.0,2108,1867
1999-05-03,2108,2108.0,2108.0,2108,342
1999-05-10,2109,2109.0,2109.0,2109,1600
1999-05-24,1969,1969.0,1969.0,1969,7616
1999-05-31,1969,1969.0,1875.0,1969,576
1999-06-07,1875,1875.0,1875.0,1875,12981
1999-06-14,1875,1875.0,1875.0,1875,267
1999-06-21,1875,1875.0,1875.0,1875,800
1999-06-28,1875,1875.0,1875.0,1875,917
1999-07-05,1968,1968.0,1968.0,1968,533
1999-07-12,1968,2015.0,1968.0,2015,3104
1999-07-26,1968,1968.0,1968.0,1968,213
1999-08-09,1968,1968.0,1968.0,1968,1003
