Date,Open,High,Low,Close,Volume
1998-12-31,2719,3467,1821,2063,194069
1999-12-31,2063,2250,1688,1781,153918
2000-12-31,1668,1668,1313,1350,225279
2001-12-31,1350,2075,1266,2075,244505
2002-12-31,2075,2996,1124,2996,1053936
2003-12-31,2996,2996,2086,2812,423606
2004-12-31,2811,3225,2250,3200,493848
2005-12-31,2550,2875,1863,1998,338200
2006-12-31,1875,1875,1328,1394,140760
2007-12-31,1394,3376,1374,2488,146720
2008-12-31,2488,2488,1100,1674,163112
2009-12-31,1674,1674,726,728,150784
2010-12-31,725,1010,671,813,201968
2011-12-31,813,975,625,675,121820
2012-12-31,675,1656,625,1525,243792
2013-12-31,1523,2300,1499,1925,214388
2014-12-31,1900,7450,1888,7375,670340
2015-12-31,7425,10000,5750,7499,2401312
2016-12-31,7499,8249,4856,5875,1754716
2017-12-31,5625,5750,3250,4925,753828
2018-12-31,4925,5500,1295,2120,750809
2019-12-31,2090,2275,750,1725,477163
2020-12-31,1695,1695,790,1610,757082
2021-12-31,1605,2195,1305,1680,729183
2022-12-31,1650,1800,1080,1600,597857
2023-12-31,1480,2085,1030,1840,845392
2024-12-31,1800,2000,1235,1850,732790
2025-12-31,1850,6845,1770,2220,4206510
2026-12-31,2210,2500,1800,2090,683064
