Date,Open,High,Low,Close,Volume
2024-12-16,5025,5160,4850,5150,22943
2024-12-23,5100,5100,4705,5000,77765
2024-12-30,4995,4995,4710,4900,2523
2025-01-06,4800,4850,4700,4845,4446
2025-01-13,4830,4845,4705,4845,6353
2025-01-20,4715,4850,4705,4850,5817
2025-01-27,4845,4875,4700,4875,20218
2025-02-03,4800,5000,4730,4995,15177
2025-02-10,4730,5000,4730,4995,3712
2025-02-17,4995,4995,4730,4900,5923
2025-02-24,4900,4900,4735,4900,5756
2025-03-03,4885,5000,4705,4995,10456
2025-03-10,4945,4945,4485,4840,8713
2025-03-17,4840,4850,4700,4845,6857
2025-03-24,4845,4845,4720,4820,1972
2025-03-31,4820,4950,4730,4950,15800
2025-04-07,4900,4900,4460,4800,8741
2025-04-14,4995,4995,4400,4805,24201
2025-04-21,4800,4850,4700,4700,28167
2025-04-28,4710,4820,4700,4820,19858
2025-05-05,4810,4815,4680,4800,1004
2025-05-12,4800,4800,4600,4800,4959
2025-05-19,4605,4800,4605,4800,1314
2025-05-26,4790,4790,4620,4700,2537
2025-06-02,4700,4800,4400,4800,9940
2025-06-09,4440,4800,4435,4800,10805
2025-06-16,4775,4800,4440,4765,17939
2025-06-23,4775,4800,4470,4785,7623
2025-06-30,4700,4785,4460,4780,29325
2025-07-07,4780,4780,4500,4780,2061
2025-07-14,4485,4780,4485,4760,4951
2025-07-21,4500,4780,4450,4745,11508
2025-07-28,4450,4740,4450,4695,6457
2025-08-04,4100,4700,4100,4690,6551
2025-08-11,4600,4600,4105,4550,5148
2025-08-18,4480,4575,4300,4525,2709
2025-08-25,4325,4500,4325,4500,5922
2025-09-01,4450,4500,4250,4400,9381
2025-09-08,4395,4400,4000,4320,8408
2025-09-15,4310,4310,4000,4150,18874
2025-09-22,4150,4400,4000,4360,17325
2025-09-29,4350,4385,4025,4025,18635
2025-10-06,3725,4025,3465,3985,27127
2025-10-13,3985,4000,3750,4000,4228
2025-10-20,4000,4020,3850,4000,13128
2025-10-27,4000,4070,3850,3860,26389
2025-11-03,3800,4000,3750,3850,18724
2025-11-10,3805,3900,3705,3825,2682
2025-11-17,3825,4025,3800,3890,7500
2025-11-24,3950,3950,3755,3755,16447
2025-12-01,3750,3855,3600,3800,17149
2025-12-08,3800,3885,3700,3700,9607
2025-12-15,3700,3880,3700,3800,9364
2025-12-22,3800,3900,3720,3900,5199
2025-12-29,3900,4520,3760,4520,26138
2026-01-05,4445,4445,3995,4295,906
2026-01-12,4295,4295,3885,4095,4432
2026-01-19,4090,4095,3800,4070,4029
2026-01-26,4070,4070,3850,3900,4052
2026-02-02,3805,4000,3800,3850,8419
2026-02-09,3845,3940,3845,3900,3659
2026-02-16,3900,4000,3860,3895,7218
2026-02-23,3895,3895,3755,3875,5583
2026-03-02,3875,3895,3800,3895,4722
2026-03-09,3880,4000,3800,3880,10678
2026-03-16,3880,4000,3800,3895,6065
2026-03-23,3850,3945,3800,3825,3962
2026-03-30,3825,3900,3750,3900,6757
2026-04-06,3895,3925,3800,3850,3087
2026-04-13,3850,3920,3850,3855,1698
2026-04-20,3895,3980,3805,3860,12036
2026-04-27,3860,3935,3850,3900,8591
2026-05-04,3850,4000,3800,3875,7415
2026-05-11,3900,4245,3800,3865,29249
2026-05-18,3865,4000,3860,3890,11271
2026-05-25,3900,3990,3860,3860,6042
2026-06-01,3830,3990,3800,3850,6129
2026-06-08,3850,3850,3805,3835,24128
2026-06-15,3835,3850,3815,3850,19310
2026-06-22,3850,4190,3815,4000,25191
2026-06-29,3990,4400,3990,4400,21147
2026-07-06,4465,4465,4055,4340,8964
2026-07-13,4340,4415,4050,4345,27533
2026-07-20,4200,4345,4100,4100,7431
2026-07-27,4300,4340,4100,4215,4511
2026-08-03,4300,4835,4200,4560,20209
2026-08-10,4560,4560,4000,4295,26868
2026-08-17,4290,4295,4000,4055,28177
2026-08-24,4100,4245,4000,4075,38509
2026-08-31,4100,4145,3980,4000,35737
2026-09-07,4000,4175,3980,4005,30375
