Date,Open,High,Low,Close,Volume
2000-04-30,300,300.0,300.0,300,7500
2000-05-31,280,280.0,280.0,280,775
2000-07-31,240,240.0,240.0,240,2500
2000-10-31,240,240.0,240.0,240,7525
2000-11-30,240,240.0,240.0,240,125
2000-12-31,240,257.0,240.0,257,13625
2001-01-31,239,260.0,239.0,260,3650
2001-02-28,260,260.0,260.0,260,8100
2001-04-30,260,260.0,260.0,260,3250
2001-06-30,256,256.0,256.0,256,7000
2001-07-31,254,254.0,254.0,254,375
2001-08-31,254,254.0,254.0,254,250
2001-09-30,252,252.0,252.0,252,500
2002-03-31,252,252.0,252.0,252,25
2002-06-30,252,252.0,252.0,252,5000
2004-07-31,248,248.0,248.0,248,250
2004-12-31,229,229.0,229.0,229,5750
2005-02-28,200,200.0,200.0,200,250
2005-09-30,192,192.0,192.0,192,375
2006-04-30,190,190.0,190.0,190,1250
2006-08-31,190,190.0,190.0,190,25
2006-09-30,190,190.0,190.0,190,50
2006-11-30,190,190.0,190.0,190,75
2007-03-31,188,188.0,188.0,188,25000
2007-07-31,188,188.0,188.0,188,125
2008-06-30,174,174.0,174.0,174,300
2008-07-31,161,161.0,149.0,149,775
2008-08-31,149,149.0,146.0,146,9875
2008-09-30,146,146.0,140.0,140,675
2008-10-31,136,136.0,136.0,136,875
2008-11-30,136,136.0,136.0,136,275
2008-12-31,146,157.0,146.0,157,1000
2009-04-30,157,157.0,157.0,157,50
2009-07-31,152,152.0,152.0,152,375
2009-10-31,144,144.0,144.0,144,625
2010-06-30,144,144.0,123.0,123,27100
2010-07-31,123,123.0,123.0,123,9200
2010-11-30,123,123.0,123.0,123,75
2011-07-31,123,123.0,116.0,120,15275
2011-08-31,120,120.0,120.0,120,450
2011-09-30,120,120.0,120.0,120,25
2011-10-31,120,120.0,120.0,120,525
2011-11-30,120,120.0,120.0,120,500
2012-03-31,120,120.0,120.0,120,200
2012-05-31,120,120.0,111.0,111,550
2012-06-30,111,111.0,111.0,111,575
2012-07-31,104,111.0,104.0,111,3450
2012-08-31,111,111.0,111.0,111,600
2012-11-30,111,111.0,111.0,111,250
2012-12-31,103,103.0,103.0,103,1000
2013-03-31,103,103.0,103.0,103,250
2013-04-30,95,95.0,95.0,95,350
2013-05-31,88,88.0,88.0,88,1550
2013-06-30,88,88.0,88.0,88,11125
2013-07-31,95,108.0,95.0,108,2625
2013-08-31,116,134.0,116.0,134,5625
2013-09-30,144,231.0,144.0,228,10100
2013-10-31,228,266.0,228.0,240,15375
2013-11-30,240,240.0,240.0,240,325
2014-01-31,240,240.0,222.0,222,1650
2014-02-28,205,205.0,176.0,180,8800
2014-03-31,179,179.0,179.0,179,250
2014-04-30,179,179.0,179.0,179,50
2014-05-31,166,166.0,148.0,148,1725
2014-06-30,148,148.0,142.0,142,24300
2014-07-31,140,166.0,140.0,160,10025
2014-08-31,160,160.0,160.0,160,1725
2014-09-30,148,148.0,148.0,148,4700
2014-10-31,148,148.0,138.0,138,975
2014-11-30,138,138.0,138.0,138,4525
2014-12-31,148,172.0,148.0,160,4625
2015-01-31,160,160.0,148.0,148,3850
2015-02-28,156,156.0,156.0,156,700
2015-03-31,160,169.0,160.0,169,9900
2015-04-30,180,204.0,167.0,204,8325
2015-05-31,204,219.0,204.0,219,2475
2015-06-30,232,249.0,232.0,240,13775
2015-07-31,222,222.0,200.0,200,6850
2015-08-31,200,205.0,200.0,200,6200
2015-09-30,200,200.0,176.0,176,1400
2015-10-31,172,180.0,160.0,180,5600
2015-11-30,180,180.0,164.0,164,1200
2015-12-31,164,168.0,164.0,168,750
