Date,Open,High,Low,Close,Volume
2000-06-30,300,300.0,280.0,280,8275
2000-09-30,240,240.0,240.0,240,2500
2000-12-31,240,257.0,240.0,257,21275
2001-03-31,239,260.0,239.0,260,11750
2001-06-30,260,260.0,256.0,256,10250
2001-09-30,254,254.0,252.0,252,1125
2002-03-31,252,252.0,252.0,252,25
2002-06-30,252,252.0,252.0,252,5000
2004-09-30,248,248.0,248.0,248,250
2004-12-31,229,229.0,229.0,229,5750
2005-03-31,200,200.0,200.0,200,250
2005-09-30,192,192.0,192.0,192,375
2006-06-30,190,190.0,190.0,190,1250
2006-09-30,190,190.0,190.0,190,75
2006-12-31,190,190.0,190.0,190,75
2007-03-31,188,188.0,188.0,188,25000
2007-09-30,188,188.0,188.0,188,125
2008-06-30,174,174.0,174.0,174,300
2008-09-30,161,161.0,140.0,140,11325
2008-12-31,136,157.0,136.0,157,2150
2009-06-30,157,157.0,157.0,157,50
2009-09-30,152,152.0,152.0,152,375
2009-12-31,144,144.0,144.0,144,625
2010-06-30,144,144.0,123.0,123,27100
2010-09-30,123,123.0,123.0,123,9200
2010-12-31,123,123.0,123.0,123,75
2011-09-30,123,123.0,116.0,120,15750
2011-12-31,120,120.0,120.0,120,1025
2012-03-31,120,120.0,120.0,120,200
2012-06-30,120,120.0,111.0,111,1125
2012-09-30,104,111.0,104.0,111,4050
2012-12-31,111,111.0,103.0,103,1250
2013-03-31,103,103.0,103.0,103,250
2013-06-30,95,95.0,88.0,88,13025
2013-09-30,95,231.0,95.0,228,18350
2013-12-31,228,266.0,228.0,240,15700
2014-03-31,240,240.0,176.0,179,10700
2014-06-30,179,179.0,142.0,142,26075
2014-09-30,140,166.0,140.0,148,16450
2014-12-31,148,172.0,138.0,160,10125
2015-03-31,160,169.0,148.0,169,14450
2015-06-30,180,249.0,167.0,240,24575
2015-09-30,222,222.0,176.0,176,14450
2015-12-31,172,180.0,160.0,168,7550
2016-03-31,168,168.0,144.0,144,17025
2016-06-30,144,175.0,144.0,175,3925
2016-09-30,166,166.0,136.0,140,9350
2016-12-31,150,150.0,120.0,120,6175
2017-03-31,120,128.0,74.0,74,8725
2017-06-30,69,70.0,48.0,48,12375
2017-09-30,48,48.0,44.0,48,36067
2017-12-31,47,47.0,35.0,37,12618
2018-03-31,37,250.0,37.0,250,72272
2018-06-30,265,985.0,150.0,160,111068
2018-09-30,150,230.0,145.0,160,76265
2018-12-31,160,330.0,125.0,170,75800
2019-03-31,180,490.0,180.0,490,183923
2019-06-30,490,490.0,225.0,295,75007
2019-09-30,295,295.0,200.0,260,18483
2019-12-31,270,275.0,140.0,140,35900
2020-03-31,150,170.0,135.0,140,27682
2020-06-30,140,140.0,115.0,130,67129
2020-09-30,130,160.0,120.0,150,19506
2020-12-31,150,230.0,125.0,230,142109
2021-03-31,230,230.0,180.0,180,55697
2021-06-30,190,475.0,150.0,450,157984
2021-09-30,450,625.0,300.0,500,496917
2021-12-31,535,670.0,490.0,625,159123
2022-03-31,615,955.0,560.0,800,178226
2022-06-30,800,870.0,580.0,625,120533
2022-09-30,645,725.0,605.0,695,46305
2022-12-31,700,810.0,610.0,800,92592
2023-03-31,750,775.0,600.0,680,16790
2023-06-30,680,700.0,605.0,695,18778
2023-09-30,695,705.0,605.0,640,18087
2023-12-31,635,755.0,550.0,725,48376
2024-03-31,725,750.0,580.0,660,96338
2024-06-30,650,890.0,600.0,845,95472
2024-09-30,840,845.0,715.0,780,225982
2024-12-31,785,815.0,685.0,750,80565
2025-03-31,750,750.0,620.0,730,56639
2025-06-30,730,730.0,515.0,595,157619
2025-09-30,595,690.0,550.0,680,51436
2025-12-31,680,1200.0,640.0,1200,228952
2026-03-31,1190,1600.0,980.0,1405,355408
2026-06-30,1405,2400.0,1325.0,2330,450986
2026-09-30,2330,3100.0,1990.0,3000,88192
